;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.3573711048930883;0.4964;0.3478979237228632;0.515;0.0;6.25;3.12;6.25;4.69;9.38;10.16;12.5;3.91;2.34;3.12;50.0;18.75;31.25;31.25;43.75;28.12;42.19;29.69;35.94;12.5;10.94;39.06;50.0
1;0.354955353346467;0.5042;0.3940479249060154;0.4705;6.25;6.25;6.25;9.38;4.69;3.12;4.69;6.25;3.91;2.34;3.12;50.0;18.75;31.25;28.12;43.75;31.25;42.19;36.72;45.31;17.19;11.72;35.94;50.0
2;0.3543056635528803;0.4995;0.34369981598854066;0.552;6.25;6.25;6.25;12.5;4.69;4.69;5.47;7.03;3.91;3.12;4.69;50.0;12.5;25.0;25.0;34.38;28.12;35.94;35.16;45.31;15.62;12.5;34.38;50.0
3;0.35258925174474715;0.5066;0.38297020611166954;0.5325;6.25;12.5;9.38;12.5;6.25;4.69;6.25;9.38;4.69;4.69;6.25;50.0;12.5;31.25;28.12;37.5;28.12;37.5;36.72;47.66;16.41;13.28;34.38;50.0
4;0.35175640576779843;0.4989;0.39074180532246827;0.531;6.25;12.5;9.38;9.38;4.69;4.69;5.47;8.59;4.69;5.47;7.81;50.0;12.5;31.25;25.0;37.5;25.0;34.38;37.5;48.44;16.41;13.28;34.38;50.0
5;0.3510643848270178;0.4993;0.34679474057257176;0.5515;6.25;12.5;9.38;9.38;4.69;4.69;6.25;10.16;5.47;5.47;7.81;50.0;12.5;31.25;25.0;37.5;23.44;32.81;38.28;50.0;17.19;14.06;34.38;50.0
6;0.3503579242348671;0.5019;0.37277425891160965;0.531;6.25;12.5;9.38;9.38;4.69;4.69;6.25;10.16;6.25;6.25;9.38;50.0;12.5;31.25;25.0;37.5;23.44;32.81;39.06;50.0;17.19;14.06;35.94;50.0
7;0.3496001120865345;0.5077;0.35137436801195143;0.5195;6.25;12.5;9.38;12.5;6.25;6.25;6.25;10.94;6.25;6.25;7.81;50.0;12.5;31.25;25.0;37.5;23.44;32.81;39.06;50.78;17.19;14.06;34.38;50.0
8;0.3496456288218498;0.4974;0.34920649172365664;0.5225;6.25;12.5;9.38;12.5;6.25;6.25;6.25;10.16;6.25;5.47;7.81;50.0;12.5;31.25;25.0;40.62;23.44;32.81;39.84;51.56;17.19;13.28;32.81;50.0
9;0.34868113233447073;0.5049;0.34882189451158047;0.5335;6.25;12.5;12.5;12.5;4.69;6.25;6.25;10.16;6.25;6.25;9.38;50.0;12.5;31.25;28.12;40.62;23.44;32.81;39.84;51.56;16.41;13.28;32.81;50.0
10;0.34843275508880617;0.5074;0.3530242588222027;0.52;6.25;18.75;12.5;12.5;4.69;6.25;6.25;10.16;6.25;6.25;9.38;50.0;12.5;31.25;28.12;40.62;23.44;32.81;39.84;51.56;16.41;13.28;31.25;50.0
11;0.34828799766898155;0.4987;0.3577686537504196;0.531;6.25;18.75;12.5;12.5;4.69;6.25;6.25;9.38;6.25;5.47;7.81;50.0;12.5;31.25;28.12;40.62;23.44;32.81;39.06;50.78;15.62;12.5;31.25;50.0
12;0.3479135221004486;0.5055;0.4007325629889965;0.536;6.25;18.75;12.5;9.38;4.69;4.69;5.47;9.38;5.47;5.47;7.81;50.0;12.5;31.25;28.12;40.62;23.44;32.81;39.06;50.78;15.62;11.72;31.25;50.0
13;0.34785894377231596;0.5083;0.370361721649766;0.5365;6.25;18.75;12.5;9.38;4.69;4.69;5.47;9.38;5.47;5.47;7.81;50.0;12.5;31.25;28.12;37.5;23.44;32.81;39.06;50.0;14.84;11.72;29.69;50.0
14;0.34798760880231855;0.5017;0.3638736143261194;0.545;6.25;18.75;9.38;9.38;4.69;4.69;5.47;9.38;5.47;5.47;7.81;50.0;12.5;31.25;28.12;37.5;21.88;32.81;39.06;50.0;14.84;11.72;29.69;50.0
15;0.34772942877411844;0.4995;0.3476808676421642;0.5525;6.25;18.75;9.38;9.38;4.69;4.69;5.47;9.38;5.47;5.47;6.25;50.0;12.5;31.25;28.12;37.5;21.88;31.25;38.28;50.0;14.84;11.72;29.69;50.0
16;0.34785575299263;0.4909;0.34604118211567403;0.5275;6.25;18.75;9.38;9.38;4.69;4.69;5.47;9.38;5.47;5.47;6.25;50.0;12.5;31.25;28.12;37.5;21.88;31.25;38.28;50.0;14.84;11.72;29.69;50.0
17;0.34715514760017396;0.5127;0.3454532161056995;0.535;6.25;12.5;9.38;9.38;3.12;4.69;5.47;9.38;5.47;5.47;6.25;50.0;12.5;31.25;28.12;37.5;21.88;31.25;37.5;49.22;14.06;10.94;29.69;50.0
18;0.34743116437792776;0.5055;0.3450811181366444;0.54;6.25;12.5;9.38;9.38;3.12;4.69;5.47;9.38;5.47;5.47;6.25;50.0;12.5;31.25;28.12;37.5;21.88;31.25;36.72;49.22;14.06;10.94;28.12;50.0
19;0.3469214020550251;0.5097;0.34604334832727907;0.5355;6.25;12.5;9.38;9.38;3.12;4.69;5.47;8.59;5.47;5.47;6.25;50.0;12.5;31.25;28.12;37.5;20.31;29.69;36.72;48.44;14.06;10.94;28.12;50.0
