;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-3;eval-saturation_features-31;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-3;train-saturation_features-31;train-saturation_features-7;training_accuracy;training_loss
0;50.0;50.0;6.25;12.5;6.25;17.19;14.84;38.28;54.69;12.5;64.84;9.38;0.6375;0.08075870202481747;81.25;50.0;25.0;40.62;25.0;35.94;28.91;53.91;67.19;43.75;76.56;37.5;0.5622;0.08509625363349914
1;50.0;0.0;12.5;21.88;12.5;23.44;17.19;42.19;57.81;25.0;67.19;18.75;0.6685;0.07619624190032483;76.56;50.0;25.0;40.62;28.12;37.5;29.69;54.69;66.41;50.0;75.78;40.62;0.6164;0.08176165626645088
2;50.0;0.0;18.75;28.12;15.62;28.12;18.75;43.75;58.59;31.25;67.97;21.88;0.693;0.07297540122270584;73.44;50.0;31.25;43.75;31.25;39.06;30.47;54.69;66.41;50.0;75.78;40.62;0.641;0.07912144656479358
3;48.44;0.0;18.75;31.25;17.19;29.69;19.53;44.53;59.38;37.5;67.97;25.0;0.7;0.07120230659842491;70.31;0.0;31.25;43.75;31.25;40.62;30.47;54.69;65.62;56.25;75.0;43.75;0.6634;0.07672351534068585
4;48.44;0.0;25.0;34.38;18.75;32.81;20.31;46.09;59.38;43.75;67.97;28.12;0.7195;0.06776795279234647;68.75;0.0;37.5;43.75;31.25;40.62;31.25;55.47;64.84;56.25;74.22;43.75;0.6822;0.07427413061857223
5;45.31;0.0;31.25;34.38;20.31;32.81;21.09;46.09;59.38;43.75;67.19;31.25;0.719;0.06717584460228682;67.19;0.0;43.75;43.75;32.81;42.19;31.25;55.47;64.84;56.25;73.44;43.75;0.7003;0.07235058993697166
6;45.31;0.0;31.25;37.5;21.88;34.38;21.09;46.09;59.38;50.0;67.19;31.25;0.7395;0.06601518393307924;65.62;0.0;43.75;43.75;32.81;42.19;31.25;55.47;64.06;56.25;73.44;43.75;0.7152;0.06925048231482506
7;45.31;0.0;37.5;37.5;21.88;35.94;21.88;46.88;59.38;50.0;67.19;34.38;0.753;0.06240208211541176;64.06;0.0;50.0;43.75;32.81;42.19;31.25;55.47;64.06;62.5;72.66;43.75;0.7206;0.06828053606152534
8;43.75;0.0;43.75;40.62;21.88;35.94;21.88;47.66;58.59;56.25;66.41;34.38;0.7595;0.05905210890620947;62.5;0.0;56.25;43.75;32.81;43.75;31.25;55.47;64.06;62.5;71.88;43.75;0.7281;0.0670627832338214
9;43.75;0.0;43.75;40.62;23.44;37.5;22.66;47.66;58.59;56.25;66.41;34.38;0.781;0.061910118207335475;60.94;0.0;56.25;43.75;32.81;43.75;32.03;55.47;63.28;62.5;71.88;43.75;0.7382;0.0659586624622345
10;43.75;0.0;50.0;40.62;23.44;39.06;23.44;48.44;58.59;56.25;66.41;34.38;0.7695;0.058730256140232084;60.94;0.0;62.5;43.75;32.81;43.75;32.03;55.47;63.28;62.5;71.09;43.75;0.7507;0.06384862480610609
11;42.19;0.0;50.0;40.62;23.44;39.06;23.44;49.22;58.59;56.25;65.62;34.38;0.7955;0.05585956121981144;59.38;0.0;62.5;43.75;32.81;43.75;32.03;56.25;62.5;62.5;70.31;43.75;0.7592;0.061697935704886915
12;42.19;0.0;50.0;40.62;25.0;40.62;24.22;49.22;58.59;56.25;65.62;37.5;0.803;0.05508109278976917;59.38;0.0;62.5;43.75;32.81;45.31;32.03;56.25;62.5;62.5;70.31;43.75;0.7629;0.0610610245808959
13;43.75;0.0;50.0;40.62;25.0;40.62;24.22;50.0;58.59;56.25;65.62;37.5;0.815;0.055855514265596866;59.38;0.0;68.75;43.75;32.81;45.31;32.03;56.25;62.5;62.5;69.53;43.75;0.7741;0.05958876545280218
14;42.19;0.0;56.25;40.62;25.0;40.62;24.22;50.0;58.59;62.5;65.62;37.5;0.8;0.05401421270146966;57.81;0.0;68.75;43.75;32.81;45.31;32.03;56.25;61.72;62.5;69.53;43.75;0.7728;0.05944465323239565
15;42.19;0.0;56.25;40.62;25.0;42.19;25.0;50.78;57.81;62.5;64.84;37.5;0.8115;0.05208508399128914;57.81;0.0;68.75;43.75;32.81;45.31;32.03;56.25;61.72;62.5;69.53;43.75;0.7769;0.05910724923610687
16;42.19;0.0;62.5;43.75;25.0;42.19;25.0;50.78;57.81;62.5;64.84;37.5;0.805;0.051605797197669744;57.81;0.0;68.75;43.75;32.81;45.31;32.03;56.25;61.72;62.5;68.75;43.75;0.789;0.05768545677810907
17;42.19;0.0;62.5;43.75;25.0;42.19;25.0;50.78;57.81;56.25;64.84;40.62;0.8155;0.050454366743564606;57.81;0.0;68.75;43.75;32.81;45.31;32.03;56.25;60.94;62.5;68.75;43.75;0.7906;0.05711766747459769
18;42.19;0.0;62.5;43.75;26.56;42.19;25.78;50.78;57.81;56.25;64.84;40.62;0.819;0.050746530991047624;57.81;0.0;75.0;43.75;32.81;45.31;32.03;57.03;60.94;62.5;68.75;43.75;0.789;0.05688295403122902
19;43.75;0.0;62.5;43.75;26.56;43.75;25.78;51.56;57.81;56.25;64.06;40.62;0.822;0.0508506522923708;57.81;0.0;75.0;43.75;32.81;46.88;32.03;57.03;60.94;62.5;67.97;43.75;0.7862;0.05639409328326583
