;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.08392649715840816;0.5904;0.07824948808550834;0.682;12.5;18.75;12.5;12.5;3.12;6.25;3.12;3.91;3.12;0.78;0.0;0.0;43.75;50.0;46.88;53.12;28.12;42.19;26.56;34.38;31.25;15.62;34.38;50.0
1;0.07685492577254772;0.6689;0.06733327982574701;0.74;18.75;31.25;18.75;18.75;6.25;9.38;3.12;4.69;3.12;1.56;1.56;0.0;56.25;62.5;59.38;56.25;29.69;43.75;18.75;30.47;18.75;14.84;25.0;0.0
2;0.07050400150716304;0.7148;0.06396383062750101;0.757;25.0;31.25;21.88;21.88;7.81;12.5;3.12;4.69;3.12;2.34;3.12;0.0;68.75;62.5;56.25;50.0;28.12;43.75;12.5;26.56;14.06;15.62;18.75;0.0
3;0.06757100495398044;0.733;0.060420874044299126;0.775;31.25;37.5;25.0;25.0;9.38;14.06;3.12;4.69;3.91;3.12;3.12;0.0;75.0;56.25;53.12;43.75;26.56;40.62;10.16;24.22;11.72;15.62;15.62;0.0
4;0.06453455018252134;0.7495;0.055521835785359144;0.795;37.5;37.5;28.12;25.0;10.94;15.62;3.91;6.25;3.91;3.91;3.12;0.0;75.0;56.25;50.0;40.62;26.56;40.62;9.38;25.78;10.16;16.41;12.5;0.0
5;0.06282098768651485;0.7546;0.05556258844584227;0.784;43.75;43.75;31.25;25.0;12.5;18.75;4.69;6.25;3.91;3.91;4.69;0.0;75.0;56.25;50.0;37.5;26.56;39.06;10.16;25.78;9.38;16.41;12.5;0.0
6;0.06038325924128294;0.7699;0.05413258814811706;0.8115;50.0;43.75;31.25;25.0;12.5;20.31;4.69;7.03;4.69;4.69;4.69;0.0;81.25;56.25;53.12;34.38;26.56;39.06;10.16;25.78;8.59;16.41;10.94;0.0
7;0.058923623540997505;0.7793;0.05543842041864991;0.81;50.0;43.75;34.38;25.0;14.06;21.88;5.47;7.81;4.69;5.47;4.69;0.0;81.25;56.25;53.12;34.38;28.12;37.5;10.16;26.56;7.03;16.41;9.38;0.0
8;0.05872325787246227;0.7813;0.05284174089878797;0.7975;56.25;50.0;37.5;28.12;15.62;21.88;5.47;7.81;4.69;6.25;3.12;0.0;81.25;56.25;53.12;34.38;28.12;37.5;10.16;26.56;7.03;17.19;7.81;0.0
9;0.05743986333459616;0.7848;0.056341913394629954;0.793;56.25;50.0;37.5;28.12;17.19;21.88;6.25;8.59;4.69;6.25;3.12;0.0;81.25;56.25;53.12;34.38;28.12;37.5;10.16;26.56;6.25;16.41;7.81;0.0
10;0.056809827114641664;0.7869;0.0512021897546947;0.8205;62.5;50.0;37.5;28.12;17.19;25.0;6.25;9.38;4.69;7.03;4.69;0.0;81.25;50.0;53.12;31.25;28.12;35.94;10.94;28.12;7.03;16.41;7.81;0.0
11;0.054749602512270214;0.7966;0.04970417031273246;0.8225;62.5;50.0;40.62;28.12;18.75;25.0;7.03;10.16;4.69;7.03;4.69;0.0;81.25;50.0;53.12;31.25;28.12;34.38;10.94;28.91;7.03;15.62;9.38;0.0
12;0.054296209091693165;0.8071;0.04897223083674908;0.8205;68.75;43.75;40.62;28.12;18.75;25.0;7.03;10.94;5.47;7.81;4.69;0.0;81.25;50.0;50.0;31.25;29.69;34.38;10.94;29.69;6.25;14.84;9.38;0.0
13;0.05386694354861975;0.8108;0.047421794686466456;0.8445;68.75;43.75;40.62;28.12;20.31;26.56;7.81;11.72;5.47;7.81;6.25;0.0;81.25;50.0;53.12;31.25;29.69;34.38;11.72;29.69;6.25;14.06;10.94;0.0
14;0.05266849017292261;0.8126;0.04718639546632767;0.8215;68.75;43.75;43.75;28.12;20.31;26.56;8.59;11.72;5.47;7.81;7.81;0.0;81.25;50.0;53.12;31.25;29.69;34.38;11.72;29.69;6.25;13.28;12.5;0.0
15;0.05079898332804442;0.8269;0.04930997971445322;0.8215;68.75;50.0;43.75;28.12;21.88;26.56;8.59;12.5;5.47;8.59;7.81;0.0;81.25;50.0;53.12;31.25;31.25;32.81;11.72;29.69;6.25;13.28;14.06;0.0
16;0.049388520082831386;0.8287;0.04724124109745026;0.8435;68.75;50.0;43.75;31.25;21.88;26.56;9.38;13.28;4.69;8.59;7.81;0.0;81.25;50.0;56.25;31.25;31.25;32.81;12.5;29.69;5.47;12.5;14.06;0.0
17;0.050540265130251644;0.8256;0.04498892110958695;0.8325;68.75;50.0;46.88;31.25;23.44;28.12;9.38;14.06;4.69;8.59;7.81;0.0;81.25;50.0;56.25;31.25;31.25;32.81;13.28;28.91;5.47;11.72;15.62;0.0
18;0.04961078979894519;0.8282;0.04519336487352848;0.8505;68.75;50.0;46.88;31.25;23.44;28.12;10.16;14.06;4.69;8.59;9.38;0.0;81.25;50.0;56.25;31.25;31.25;32.81;13.28;28.91;5.47;11.72;15.62;0.0
19;0.048875654320418835;0.8331;0.047917658794671296;0.835;75.0;50.0;46.88;31.25;25.0;28.12;10.16;14.84;4.69;8.59;9.38;0.0;81.25;50.0;56.25;31.25;32.81;32.81;14.06;28.91;4.69;10.94;15.62;0.0
