;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.0038335920429229736;0.2633;0.0033751253366470337;0.3779;12.5;25.0;15.62;25.0;10.94;21.88;17.97;39.84;59.38;64.84;20.31;20.0;25.0;43.75;25.0;40.62;21.88;37.5;28.12;54.69;67.97;75.0;67.19;20.0
1;0.0030383576679229737;0.42878;0.002760568654537201;0.492;18.75;37.5;21.88;31.25;14.06;29.69;20.31;43.75;60.16;64.84;23.44;40.0;37.5;50.0;31.25;43.75;23.44;39.06;28.91;54.69;66.41;72.66;60.94;40.0
2;0.0026674861311912538;0.50576;0.0024634503602981566;0.5485;18.75;43.75;25.0;34.38;15.62;31.25;21.09;45.31;60.94;64.84;25.0;40.0;37.5;50.0;34.38;43.75;23.44;40.62;29.69;54.69;66.41;71.88;59.38;40.0
3;0.002419901247024536;0.5557;0.0022288806796073916;0.5974;25.0;50.0;28.12;34.38;17.19;34.38;22.66;46.09;60.94;64.06;25.0;40.0;43.75;50.0;34.38;43.75;23.44;40.62;29.69;53.91;65.62;70.31;56.25;50.0
4;0.002245570358037949;0.59138;0.0020785798490047455;0.625;25.0;50.0;28.12;34.38;18.75;35.94;23.44;46.88;60.94;63.28;26.56;50.0;43.75;50.0;34.38;43.75;23.44;42.19;30.47;54.69;65.62;69.53;54.69;50.0
5;0.002086652318239212;0.6215;0.001970195859670639;0.6445;25.0;50.0;28.12;34.38;17.19;35.94;23.44;46.88;60.94;63.28;25.0;50.0;43.75;50.0;34.38;40.62;23.44;42.19;30.47;53.91;65.62;68.75;51.56;50.0
6;0.0020400058102607727;0.63084;0.0019359753847122193;0.647;25.0;50.0;28.12;34.38;17.19;35.94;23.44;46.88;60.94;62.5;23.44;50.0;43.75;50.0;31.25;40.62;21.88;40.62;29.69;53.12;64.84;67.97;48.44;50.0
7;0.002010777117013931;0.63606;0.0019094617545604706;0.6521;25.0;50.0;28.12;34.38;17.19;35.94;22.66;46.09;60.16;61.72;23.44;50.0;43.75;50.0;31.25;37.5;20.31;40.62;28.91;52.34;64.06;67.19;46.88;50.0
8;0.001992653249502182;0.63888;0.0019002560496330261;0.6575;25.0;50.0;28.12;31.25;15.62;34.38;22.66;46.09;60.16;61.72;21.88;50.0;37.5;50.0;31.25;37.5;20.31;39.06;28.12;52.34;64.06;66.41;45.31;50.0
9;0.0019768566632270813;0.64452;0.0018839260518550872;0.6594;25.0;50.0;25.0;31.25;15.62;34.38;22.66;46.09;60.16;61.72;21.88;50.0;37.5;50.0;28.12;37.5;20.31;39.06;27.34;51.56;63.28;65.62;43.75;50.0
10;0.001960742825269699;0.64482;0.0018734857082366944;0.661;25.0;50.0;25.0;31.25;15.62;34.38;21.88;46.09;59.38;60.94;20.31;50.0;37.5;50.0;28.12;37.5;18.75;39.06;27.34;51.56;63.28;64.84;42.19;50.0
11;0.0019599396336078645;0.64524;0.001871433925628662;0.6625;25.0;43.75;25.0;31.25;15.62;34.38;21.88;45.31;59.38;60.94;20.31;50.0;37.5;50.0;28.12;34.38;18.75;37.5;26.56;50.78;63.28;64.84;40.62;50.0
12;0.0019512709105014802;0.6459;0.001866594010591507;0.6613;18.75;43.75;25.0;31.25;15.62;32.81;21.88;45.31;59.38;60.94;20.31;50.0;37.5;50.0;28.12;34.38;18.75;37.5;26.56;50.78;62.5;64.06;40.62;50.0
13;0.0019530988538265228;0.64734;0.0018693976521492004;0.662;18.75;43.75;25.0;31.25;15.62;32.81;21.88;45.31;59.38;60.16;18.75;50.0;37.5;50.0;28.12;34.38;18.75;37.5;25.78;50.0;62.5;64.06;39.06;50.0
14;0.0019559319639205932;0.64518;0.00186443133354187;0.662;18.75;43.75;25.0;31.25;14.06;32.81;21.09;45.31;59.38;60.16;18.75;50.0;31.25;50.0;28.12;34.38;17.19;35.94;25.78;50.0;62.5;64.06;37.5;50.0
15;0.0019457208871841432;0.64686;0.0018667444229125976;0.6621;18.75;43.75;25.0;28.12;14.06;32.81;21.09;44.53;58.59;60.16;18.75;50.0;31.25;50.0;25.0;34.38;17.19;35.94;25.0;50.0;62.5;63.28;37.5;50.0
16;0.0019513529360294342;0.6472;0.0018657524287700653;0.6619;18.75;43.75;25.0;28.12;14.06;32.81;21.09;44.53;58.59;60.16;18.75;50.0;31.25;43.75;25.0;34.38;17.19;35.94;25.0;49.22;62.5;63.28;37.5;50.0
17;0.0019440444552898408;0.64862;0.0018651719987392425;0.6623;18.75;43.75;25.0;28.12;14.06;31.25;21.09;44.53;58.59;60.16;17.19;50.0;31.25;43.75;25.0;34.38;17.19;35.94;25.0;49.22;61.72;63.28;35.94;50.0
18;0.0019396886229515076;0.64934;0.0018653507947921752;0.6628;18.75;43.75;25.0;28.12;14.06;31.25;21.09;44.53;58.59;59.38;17.19;50.0;31.25;43.75;25.0;34.38;17.19;35.94;24.22;49.22;61.72;62.5;35.94;50.0
19;0.0019399417698383332;0.6484;0.001863907700777054;0.6628;18.75;43.75;25.0;28.12;14.06;31.25;20.31;44.53;58.59;59.38;17.19;50.0;31.25;43.75;25.0;34.38;17.19;34.38;24.22;49.22;61.72;62.5;35.94;50.0
