;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-3;eval-saturation_features-31;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-3;train-saturation_features-31;train-saturation_features-7;training_accuracy;training_loss
0;20.31;10.0;12.5;25.0;10.94;29.69;21.88;40.62;61.72;18.75;63.28;15.62;0.2677;0.0040994614124298095;71.88;70.0;12.5;31.25;15.62;37.5;28.91;48.44;67.97;18.75;77.34;15.62;0.20408;0.0043523353910446165
1;14.06;20.0;12.5;28.12;14.06;32.81;21.09;37.5;58.59;25.0;57.81;18.75;0.3946;0.003424079954624176;57.81;30.0;12.5;34.38;18.75;40.62;30.47;49.22;67.19;25.0;72.66;21.88;0.33406;0.0037075634837150572
2;15.62;30.0;12.5;31.25;17.19;37.5;22.66;38.28;57.81;31.25;54.69;21.88;0.4935;0.0028509910345077515;51.56;30.0;12.5;37.5;21.88;43.75;32.81;50.0;65.62;31.25;68.75;25.0;0.42838;0.00316190140247345
3;17.19;30.0;12.5;34.38;20.31;40.62;24.22;39.06;56.25;31.25;51.56;25.0;0.5387;0.002583077049255371;50.0;30.0;18.75;37.5;25.0;46.88;34.38;51.56;64.84;31.25;66.41;25.0;0.50228;0.002752195065021515
4;18.75;40.0;18.75;34.38;21.88;42.19;25.78;40.62;55.47;31.25;48.44;25.0;0.5674;0.002395364737510681;46.88;40.0;18.75;40.62;26.56;48.44;36.72;53.12;64.84;31.25;64.06;25.0;0.56238;0.0024319611740112306
5;20.31;50.0;18.75;34.38;23.44;43.75;28.12;42.97;53.91;37.5;46.88;25.0;0.6143;0.002138250422477722;45.31;50.0;18.75;40.62;28.12;50.0;39.84;55.47;64.06;37.5;61.72;25.0;0.60534;0.002201488572359085
6;20.31;50.0;18.75;37.5;25.0;45.31;29.69;44.53;53.91;37.5;45.31;25.0;0.6645;0.0019032674372196198;42.19;50.0;18.75;40.62;29.69;51.56;41.41;57.03;63.28;37.5;60.16;25.0;0.63712;0.0020291025292873384
7;21.88;50.0;18.75;34.38;26.56;45.31;31.25;46.88;52.34;37.5;43.75;28.12;0.6678;0.001880706822872162;40.62;50.0;18.75;40.62;31.25;51.56;43.75;58.59;62.5;37.5;57.81;28.12;0.66168;0.0018897541189193726
8;21.88;50.0;18.75;34.38;26.56;46.88;32.81;48.44;51.56;37.5;42.97;28.12;0.6928;0.001781943678855896;39.06;60.0;18.75;37.5;31.25;53.12;45.31;60.16;60.94;37.5;57.03;28.12;0.687;0.0017561609196662903
9;21.88;60.0;18.75;34.38;28.12;46.88;35.16;50.0;51.56;37.5;42.19;28.12;0.699;0.0017602545559406281;37.5;60.0;18.75;37.5;32.81;53.12;47.66;61.72;60.16;37.5;55.47;28.12;0.70504;0.0016683753859996796
10;23.44;60.0;18.75;34.38;29.69;48.44;35.94;50.78;51.56;37.5;41.41;28.12;0.7294;0.0015848538398742676;35.94;60.0;18.75;37.5;34.38;54.69;48.44;62.5;60.16;37.5;53.91;28.12;0.72026;0.001580938857793808
11;23.44;60.0;18.75;34.38;29.69;48.44;37.5;52.34;50.78;37.5;40.62;28.12;0.7199;0.0016258399546146393;34.38;70.0;18.75;37.5;34.38;54.69;50.0;64.06;59.38;37.5;52.34;28.12;0.73488;0.0014959248661994935
12;23.44;70.0;18.75;34.38;31.25;50.0;38.28;53.91;50.78;37.5;39.84;28.12;0.7389;0.001504295963048935;34.38;70.0;25.0;37.5;34.38;54.69;51.56;64.84;58.59;37.5;50.78;28.12;0.7478;0.0014321155989170074
13;25.0;70.0;18.75;34.38;31.25;50.0;39.84;54.69;50.0;37.5;38.28;28.12;0.7304;0.0015713031589984893;34.38;70.0;25.0;37.5;35.94;54.69;52.34;65.62;58.59;37.5;49.22;28.12;0.75544;0.0013833620119094849
14;25.0;70.0;18.75;34.38;31.25;50.0;40.62;56.25;50.0;37.5;37.5;28.12;0.7505;0.0014653113901615144;32.81;70.0;25.0;37.5;35.94;56.25;53.12;66.41;57.81;37.5;48.44;28.12;0.76766;0.001317791954278946
15;25.0;70.0;18.75;34.38;32.81;51.56;41.41;57.03;50.0;37.5;36.72;28.12;0.765;0.0013758735001087189;32.81;70.0;25.0;37.5;35.94;56.25;54.69;67.19;57.03;37.5;46.88;28.12;0.777;0.0012842334866523743
16;25.0;70.0;18.75;34.38;32.81;51.56;42.97;57.81;49.22;37.5;36.72;28.12;0.7731;0.0013295539021492004;32.81;70.0;25.0;37.5;37.5;56.25;55.47;67.97;57.03;37.5;45.31;28.12;0.7807;0.0012456792187690736
17;25.0;70.0;18.75;34.38;32.81;51.56;43.75;58.59;49.22;37.5;35.94;28.12;0.7623;0.0013852091133594513;31.25;70.0;25.0;37.5;37.5;56.25;56.25;68.75;56.25;37.5;44.53;28.12;0.78928;0.0012064003229141234
18;25.0;70.0;25.0;34.38;32.81;53.12;44.53;59.38;49.22;37.5;35.16;28.12;0.7661;0.0013838580965995788;31.25;70.0;25.0;37.5;37.5;56.25;57.03;69.53;56.25;37.5;43.75;28.12;0.79428;0.00117115802526474
19;25.0;70.0;25.0;34.38;34.38;53.12;45.31;60.16;49.22;37.5;35.16;28.12;0.7613;0.0014330108344554901;31.25;70.0;31.25;37.5;37.5;56.25;57.81;70.31;55.47;37.5;42.19;31.25;0.80394;0.0011225009632110595
