;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.5265674403715134;0.04612;0.4841197329521179;0.0839;12.5;18.75;12.5;12.5;6.25;7.81;2.34;3.12;2.34;2.34;6.25;6.0;62.5;56.25;46.88;46.88;25.0;34.38;18.75;25.0;17.19;14.06;48.44;51.0
1;0.4914129617500305;0.07626;0.4484488090515137;0.1264;25.0;37.5;18.75;21.88;7.81;10.94;5.47;6.25;4.69;3.12;10.94;9.0;68.75;62.5;46.88;43.75;25.0;31.25;17.19;23.44;11.72;11.72;46.88;51.0
2;0.4662527613592148;0.10316;0.4190977779150009;0.1658;31.25;43.75;25.0;25.0;10.94;14.06;7.03;8.59;5.47;3.91;15.62;13.0;68.75;68.75;46.88;37.5;25.0;31.25;17.97;24.22;9.38;10.94;48.44;50.0
3;0.44562892927646636;0.13192;0.39306979463100433;0.1938;37.5;43.75;28.12;25.0;14.06;17.19;8.59;10.94;5.47;4.69;20.31;15.0;68.75;68.75;50.0;37.5;26.56;29.69;19.53;25.78;8.59;9.38;48.44;48.0
4;0.4249232347726822;0.1585;0.369860435962677;0.2335;37.5;43.75;31.25;28.12;15.62;20.31;10.94;12.5;6.25;4.69;23.44;17.0;68.75;62.5;53.12;37.5;28.12;29.69;21.88;26.56;7.81;7.81;48.44;46.0
5;0.40798550075769424;0.183;0.367587691450119;0.2321;43.75;50.0;34.38;31.25;18.75;21.88;13.28;14.06;7.03;4.69;26.56;18.0;68.75;62.5;53.12;37.5;29.69;29.69;25.0;28.12;7.03;5.47;48.44;45.0
6;0.3935771906065941;0.20798;0.34313094841241837;0.2807;43.75;50.0;34.38;31.25;20.31;23.44;14.84;15.62;7.03;3.91;29.69;19.0;68.75;62.5;56.25;37.5;31.25;29.69;27.34;29.69;7.03;4.69;48.44;44.0
7;0.38094902468919756;0.22784;0.3365352160215378;0.2881;50.0;50.0;37.5;34.38;21.88;25.0;17.19;17.97;7.03;3.91;31.25;20.0;68.75;62.5;56.25;37.5;31.25;29.69;29.69;31.25;7.03;3.91;50.0;43.0
8;0.36940615609407423;0.24662;0.3200947296321392;0.3234;50.0;50.0;37.5;34.38;23.44;26.56;18.75;19.53;7.81;3.12;32.81;20.0;68.75;62.5;53.12;37.5;32.81;29.69;31.25;32.81;7.03;3.12;50.0;42.0
9;0.3600814594244957;0.2612;0.32646820881962774;0.32;50.0;50.0;37.5;34.38;25.0;28.12;20.31;21.09;7.81;2.34;34.38;20.0;68.75;62.5;53.12;34.38;32.81;31.25;32.81;33.59;7.03;2.34;50.0;41.0
10;0.35242413979768755;0.27642;0.32284787262678144;0.3237;50.0;50.0;37.5;34.38;25.0;28.12;21.88;22.66;7.81;2.34;35.94;20.0;62.5;62.5;53.12;34.38;34.38;31.25;34.38;34.38;7.03;2.34;50.0;40.0
11;0.346565383002758;0.2876;0.30679068439006807;0.3488;50.0;50.0;40.62;34.38;26.56;29.69;22.66;23.44;7.81;1.56;37.5;20.0;62.5;62.5;53.12;34.38;34.38;31.25;35.94;35.16;7.03;1.56;51.56;39.0
12;0.34068383527994156;0.2985;0.2964587436854839;0.3697;50.0;56.25;40.62;34.38;26.56;29.69;24.22;25.0;7.81;1.56;39.06;20.0;62.5;56.25;53.12;34.38;34.38;31.25;36.72;35.94;7.03;1.56;51.56;39.0
13;0.33423253310203555;0.30976;0.3021441596746445;0.3574;50.0;56.25;37.5;34.38;28.12;29.69;25.78;25.78;7.81;1.56;39.06;20.0;62.5;56.25;53.12;34.38;34.38;31.25;38.28;35.94;7.03;1.56;51.56;38.0
14;0.32863485226631167;0.3185;0.29242241565585136;0.3711;50.0;56.25;40.62;34.38;28.12;29.69;26.56;27.34;7.81;1.56;40.62;20.0;62.5;56.25;53.12;34.38;35.94;31.25;39.06;36.72;7.03;1.56;51.56;38.0
15;0.32323146471381187;0.32942;0.31599585046768186;0.3462;50.0;56.25;40.62;34.38;29.69;31.25;28.12;28.12;7.81;1.56;40.62;20.0;62.5;56.25;53.12;34.38;35.94;31.25;39.84;37.5;7.03;1.56;51.56;37.0
16;0.31863026369810105;0.33652;0.2811611847639084;0.3907;50.0;56.25;40.62;34.38;29.69;31.25;28.91;28.91;7.81;1.56;42.19;20.0;62.5;56.25;53.12;34.38;35.94;31.25;40.62;38.28;7.03;1.56;53.12;37.0
17;0.3145333579480648;0.34472;0.2843462374925613;0.3954;50.0;56.25;40.62;34.38;29.69;31.25;29.69;30.47;7.81;1.56;42.19;21.0;62.5;56.25;50.0;34.38;35.94;31.25;41.41;39.06;7.03;1.56;53.12;37.0
18;0.31143441920280457;0.35;0.28259907630085945;0.3888;50.0;56.25;40.62;34.38;31.25;31.25;31.25;31.25;7.81;1.56;43.75;21.0;56.25;56.25;50.0;34.38;35.94;31.25;42.19;39.84;7.03;1.56;53.12;36.0
