;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.5294848403930664;0.04258;0.48639359424114226;0.0779;12.5;25.0;12.5;15.62;6.25;7.81;3.91;3.91;3.12;2.34;4.69;5.0;68.75;62.5;40.62;53.12;35.94;42.19;28.12;30.47;22.66;19.53;42.19;47.0
1;0.4961346571779251;0.07214;0.45843992023468016;0.1086;25.0;31.25;18.75;18.75;10.94;14.06;7.03;6.25;4.69;3.12;9.38;9.0;75.0;62.5;43.75;43.75;31.25;35.94;28.12;27.34;15.62;17.19;43.75;52.0
2;0.4735140476465225;0.09292;0.42489568586349485;0.1454;31.25;37.5;25.0;25.0;14.06;17.19;10.16;8.59;5.47;3.91;14.06;13.0;75.0;62.5;43.75;37.5;29.69;34.38;27.34;26.56;11.72;14.84;43.75;51.0
3;0.452682631855011;0.11928;0.4013091198205948;0.1845;37.5;43.75;28.12;28.12;15.62;20.31;11.72;10.94;6.25;4.69;20.31;16.0;75.0;62.5;46.88;37.5;31.25;31.25;29.69;27.34;9.38;14.06;46.88;49.0
4;0.4306607918691635;0.14906;0.39664211016893386;0.1965;43.75;50.0;31.25;31.25;17.19;23.44;13.28;13.28;7.03;5.47;25.0;18.0;75.0;62.5;50.0;37.5;31.25;31.25;31.25;28.91;8.59;11.72;48.44;47.0
5;0.41246999910593035;0.17682;0.36161934447288513;0.2516;43.75;50.0;34.38;31.25;20.31;26.56;15.62;15.62;7.03;5.47;29.69;18.0;75.0;62.5;53.12;37.5;31.25;31.25;33.59;30.47;8.59;9.38;50.0;46.0
6;0.39905805689573287;0.19548;0.34923786410093305;0.2663;50.0;50.0;37.5;34.38;21.88;26.56;17.97;17.97;7.81;5.47;31.25;20.0;68.75;62.5;53.12;37.5;32.81;31.25;35.16;32.03;7.81;7.03;50.0;44.0
7;0.3843131209206581;0.22042;0.3288543867588043;0.3093;50.0;50.0;40.62;34.38;23.44;29.69;19.53;20.31;7.81;4.69;34.38;20.0;68.75;56.25;53.12;37.5;32.81;32.81;36.72;34.38;7.81;6.25;51.56;44.0
8;0.3724154795217514;0.24258;0.3273548039913177;0.3142;50.0;50.0;40.62;34.38;25.0;31.25;21.88;21.88;7.81;3.91;35.94;21.0;68.75;56.25;53.12;37.5;34.38;32.81;39.06;35.94;7.81;4.69;51.56;43.0
9;0.36134629724264145;0.26156;0.3132079842925072;0.3337;50.0;50.0;40.62;34.38;25.0;31.25;23.44;23.44;7.81;3.12;37.5;21.0;68.75;56.25;53.12;37.5;34.38;32.81;40.62;37.5;7.81;3.91;53.12;41.0
10;0.3538301814198494;0.2725;0.3157678406894207;0.3434;50.0;50.0;43.75;37.5;26.56;32.81;25.0;25.78;7.81;3.12;39.06;21.0;68.75;56.25;53.12;37.5;35.94;32.81;42.19;39.06;7.81;3.12;53.12;41.0
11;0.3468943713831902;0.2881;0.30065698397755625;0.3589;50.0;50.0;43.75;37.5;26.56;32.81;26.56;27.34;7.81;2.34;40.62;22.0;62.5;56.25;53.12;40.62;35.94;32.81;42.97;39.84;7.81;2.34;53.12;40.0
12;0.3408103298521042;0.29732;0.29341163985133173;0.3794;50.0;50.0;43.75;37.5;28.12;32.81;27.34;28.91;7.81;2.34;42.19;22.0;62.5;56.25;53.12;40.62;35.94;32.81;43.75;41.41;7.81;2.34;54.69;39.0
13;0.333429225628376;0.31192;0.2986857215106487;0.3674;50.0;50.0;43.75;40.62;29.69;34.38;28.91;30.47;7.81;2.34;42.19;22.0;62.5;56.25;53.12;40.62;37.5;32.81;45.31;42.19;7.81;1.56;54.69;39.0
14;0.3281793468880653;0.31822;0.29580833282470703;0.3735;50.0;50.0;43.75;40.62;29.69;34.38;30.47;32.03;7.81;1.56;43.75;22.0;62.5;56.25;50.0;40.62;37.5;32.81;46.09;42.97;7.81;1.56;54.69;38.0
