;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-3;eval-saturation_features-31;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-3;train-saturation_features-31;train-saturation_features-7;training_accuracy;training_loss
0;81.25;50.0;25.0;25.0;12.5;28.12;28.12;50.0;70.31;37.5;76.56;12.5;0.5335;0.005533658534288406;84.38;50.0;37.5;31.25;18.75;34.38;29.69;51.56;71.88;37.5;79.69;12.5;0.5111;0.005470715445280075
1;81.25;50.0;25.0;25.0;15.62;31.25;28.12;50.0;71.88;37.5;78.12;12.5;0.5315;0.005506826907396316;84.38;50.0;37.5;31.25;18.75;34.38;29.69;51.56;71.88;37.5;79.69;12.5;0.5401;0.005445831495523453
2;81.25;50.0;25.0;25.0;15.62;31.25;28.12;50.0;71.88;37.5;78.12;12.5;0.548;0.005472577095031738;84.38;50.0;37.5;31.25;18.75;34.38;29.69;51.56;71.88;37.5;79.69;12.5;0.5495;0.005418249452114105
3;81.25;50.0;37.5;25.0;15.62;31.25;28.12;50.0;71.88;37.5;78.12;12.5;0.5635;0.005424393475055695;84.38;50.0;37.5;31.25;18.75;34.38;31.25;51.56;71.88;37.5;79.69;12.5;0.5636;0.005375997906923294
4;81.25;50.0;37.5;25.0;15.62;31.25;28.12;50.0;71.88;37.5;78.12;12.5;0.5805;0.005381648659706115;84.38;50.0;50.0;31.25;18.75;34.38;31.25;51.56;71.88;37.5;79.69;12.5;0.5727;0.005342988955974579
5;81.25;50.0;37.5;25.0;15.62;31.25;29.69;50.0;71.88;37.5;78.12;12.5;0.5845;0.005328928291797638;84.38;50.0;50.0;31.25;18.75;34.38;31.25;51.56;71.88;37.5;79.69;12.5;0.5815;0.005308276271820068
6;81.25;50.0;37.5;25.0;15.62;31.25;29.69;50.0;71.88;37.5;78.12;12.5;0.5935;0.005277345180511475;84.38;50.0;50.0;31.25;18.75;34.38;31.25;51.56;71.88;37.5;79.69;12.5;0.5958;0.005270599335432053
7;81.25;50.0;37.5;25.0;15.62;31.25;29.69;50.0;71.88;37.5;78.12;12.5;0.598;0.0052382172346115115;84.38;50.0;50.0;31.25;18.75;34.38;31.25;51.56;71.88;37.5;79.69;12.5;0.5989;0.005245989841222763
8;81.25;0.0;37.5;25.0;15.62;31.25;29.69;50.0;71.88;50.0;78.12;12.5;0.596;0.005248826324939728;84.38;50.0;50.0;31.25;18.75;34.38;31.25;51.56;71.88;37.5;79.69;12.5;0.6081;0.005191406530141831
9;81.25;0.0;37.5;25.0;15.62;31.25;29.69;50.0;71.88;50.0;78.12;12.5;0.596;0.0052134935557842255;84.38;50.0;50.0;31.25;18.75;34.38;31.25;51.56;71.88;37.5;79.69;12.5;0.6111;0.0051607229948043825
10;81.25;0.0;50.0;25.0;18.75;31.25;29.69;50.0;71.88;50.0;78.12;12.5;0.6185;0.005142403781414032;84.38;50.0;50.0;31.25;21.88;34.38;32.81;51.56;71.88;37.5;79.69;12.5;0.6131;0.0051419806957244876
11;78.12;0.0;50.0;25.0;18.75;31.25;29.69;50.0;71.88;50.0;78.12;12.5;0.6065;0.005145770817995071;84.38;50.0;50.0;31.25;21.88;37.5;32.81;51.56;71.88;37.5;79.69;12.5;0.6229;0.005099402689933777
12;78.12;0.0;50.0;31.25;18.75;31.25;29.69;50.0;71.88;50.0;78.12;12.5;0.619;0.005127949923276901;81.25;50.0;50.0;31.25;21.88;37.5;32.81;51.56;71.88;37.5;79.69;12.5;0.6312;0.005042110854387283
13;78.12;0.0;50.0;31.25;18.75;31.25;29.69;50.0;71.88;50.0;78.12;12.5;0.635;0.005067988112568855;81.25;50.0;50.0;31.25;21.88;37.5;32.81;51.56;71.88;37.5;79.69;12.5;0.6376;0.00500712109208107
14;78.12;0.0;50.0;31.25;18.75;34.38;29.69;50.0;71.88;50.0;78.12;12.5;0.651;0.004938568323850632;81.25;0.0;50.0;31.25;21.88;37.5;32.81;51.56;71.88;37.5;79.69;12.5;0.6439;0.0049752418637275695
15;78.12;0.0;50.0;31.25;18.75;34.38;29.69;50.0;71.88;50.0;78.12;12.5;0.649;0.004922329053282738;81.25;0.0;50.0;31.25;21.88;37.5;32.81;51.56;71.88;37.5;79.69;12.5;0.6538;0.004892949277162552
16;75.0;0.0;50.0;31.25;18.75;34.38;31.25;50.0;71.88;50.0;78.12;18.75;0.6635;0.004824585825204849;81.25;0.0;50.0;31.25;21.88;37.5;32.81;51.56;71.88;37.5;79.69;12.5;0.6616;0.0048569677948951725
17;75.0;0.0;50.0;31.25;18.75;34.38;31.25;50.0;71.88;50.0;78.12;18.75;0.6515;0.004939330905675888;81.25;0.0;50.0;31.25;21.88;37.5;32.81;51.56;71.88;37.5;79.69;12.5;0.6661;0.0048049616992473605
18;75.0;0.0;50.0;31.25;18.75;34.38;31.25;50.0;71.88;37.5;78.12;18.75;0.679;0.004737899869680404;81.25;0.0;62.5;31.25;21.88;37.5;32.81;51.56;71.88;37.5;79.69;18.75;0.6777;0.004769931429624557
19;75.0;0.0;50.0;31.25;18.75;34.38;31.25;50.0;70.31;50.0;78.12;18.75;0.6795;0.004705436915159226;81.25;0.0;50.0;31.25;21.88;37.5;32.81;51.56;71.88;50.0;78.12;18.75;0.6844;0.004655820825695991
