;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.0013683026671409606;0.5503;0.001373449444770813;0.6065;25.0;37.5;25.0;31.25;12.5;28.12;20.31;46.88;62.5;53.12;40.62;0.0;25.0;37.5;18.75;37.5;15.62;37.5;29.69;56.25;68.75;68.75;78.12;50.0
1;0.0013119347274303437;0.6095;0.001281798392534256;0.6225;25.0;37.5;25.0;31.25;15.62;34.38;23.44;48.44;65.62;50.0;21.88;0.0;25.0;37.5;25.0;37.5;18.75;40.62;31.25;57.81;68.75;65.62;68.75;0.0
2;0.001263655823469162;0.6388;0.00123042631149292;0.662;25.0;37.5;25.0;37.5;18.75;37.5;25.0;50.0;64.06;50.0;21.88;0.0;25.0;37.5;25.0;43.75;21.88;43.75;31.25;56.25;68.75;64.06;59.38;0.0
3;0.0012263274490833282;0.6597;0.00124052295088768;0.664;25.0;37.5;25.0;37.5;18.75;40.62;26.56;50.0;62.5;50.0;15.62;0.0;25.0;37.5;25.0;43.75;21.88;46.88;32.81;56.25;67.19;60.94;53.12;0.0
4;0.0011943057656288148;0.6747;0.0011635062992572784;0.6765;25.0;37.5;25.0;37.5;21.88;43.75;28.12;51.56;62.5;48.44;12.5;0.0;25.0;37.5;25.0;43.75;25.0;46.88;34.38;56.25;67.19;59.38;46.88;0.0
5;0.0011510105073451995;0.6912;0.0011276944130659103;0.7005;25.0;37.5;25.0;43.75;21.88;43.75;28.12;51.56;62.5;48.44;12.5;0.0;25.0;37.5;25.0;43.75;25.0;50.0;34.38;57.81;67.19;59.38;43.75;0.0
6;0.0011252628564834594;0.7045;0.00109625244140625;0.7075;25.0;37.5;25.0;43.75;21.88;46.88;29.69;53.12;62.5;46.88;9.38;0.0;25.0;37.5;25.0;50.0;25.0;50.0;35.94;57.81;65.62;57.81;37.5;0.0
7;0.001085332429409027;0.7225;0.0011209605783224106;0.702;25.0;50.0;25.0;43.75;21.88;46.88;31.25;53.12;62.5;46.88;9.38;0.0;25.0;50.0;31.25;43.75;25.0;50.0;35.94;57.81;65.62;56.25;34.38;0.0
8;0.0010808799862861633;0.7234;0.0011934793293476105;0.6875;25.0;50.0;31.25;43.75;25.0;46.88;32.81;54.69;62.5;45.31;6.25;0.0;37.5;50.0;31.25;43.75;25.0;50.0;37.5;57.81;65.62;54.69;31.25;0.0
9;0.0010446249097585678;0.7372;0.0011034878492355348;0.716;25.0;50.0;31.25;43.75;25.0;50.0;32.81;54.69;62.5;45.31;6.25;0.0;37.5;50.0;31.25;43.75;28.12;50.0;37.5;59.38;65.62;54.69;31.25;0.0
10;0.0010337158381938934;0.7426;0.0010409694164991378;0.7275;25.0;50.0;31.25;43.75;21.88;50.0;34.38;54.69;62.5;43.75;6.25;0.0;37.5;50.0;31.25;43.75;28.12;53.12;39.06;59.38;65.62;53.12;28.12;0.0
11;0.0010120149493217467;0.746;0.0010408511459827424;0.728;25.0;50.0;31.25;43.75;25.0;50.0;34.38;56.25;62.5;42.19;6.25;0.0;37.5;50.0;31.25;43.75;28.12;53.12;39.06;59.38;65.62;51.56;25.0;0.0
12;0.0010032482028007508;0.7479;0.0010672294199466706;0.7165;25.0;50.0;31.25;43.75;25.0;50.0;34.38;56.25;60.94;40.62;6.25;0.0;37.5;50.0;31.25;43.75;28.12;53.12;40.62;59.38;65.62;50.0;25.0;0.0
13;0.0009799431800842286;0.7582;0.0010040644407272338;0.7495;25.0;50.0;31.25;37.5;25.0;53.12;35.94;56.25;60.94;40.62;6.25;0.0;37.5;50.0;31.25;43.75;28.12;53.12;40.62;59.38;65.62;50.0;25.0;0.0
14;0.0009698906540870667;0.7573;0.001013595700263977;0.739;25.0;50.0;31.25;37.5;25.0;53.12;35.94;56.25;60.94;39.06;6.25;0.0;37.5;50.0;31.25;43.75;28.12;53.12;40.62;60.94;65.62;48.44;21.88;0.0
15;0.0009680643528699875;0.7615;0.0009957595467567444;0.746;25.0;50.0;31.25;37.5;25.0;53.12;35.94;57.81;60.94;39.06;6.25;0.0;37.5;50.0;31.25;43.75;28.12;53.12;42.19;60.94;64.06;46.88;21.88;0.0
16;0.0009426764398813248;0.773;0.0009650323837995529;0.759;25.0;50.0;31.25;37.5;25.0;53.12;35.94;57.81;60.94;37.5;6.25;0.0;37.5;50.0;31.25;43.75;28.12;56.25;42.19;60.94;64.06;46.88;18.75;0.0
17;0.000929867422580719;0.7735;0.0009888463765382767;0.7485;25.0;50.0;31.25;37.5;25.0;53.12;37.5;57.81;59.38;35.94;6.25;0.0;37.5;50.0;31.25;43.75;28.12;56.25;42.19;60.94;64.06;45.31;18.75;0.0
18;0.0009242818087339402;0.7757;0.0009545171409845352;0.7675;25.0;50.0;31.25;37.5;25.0;53.12;37.5;57.81;59.38;35.94;6.25;0.0;37.5;50.0;31.25;43.75;28.12;56.25;42.19;60.94;64.06;43.75;18.75;0.0
19;0.0009330271929502487;0.7736;0.0009783140271902085;0.757;25.0;50.0;31.25;37.5;25.0;53.12;37.5;59.38;59.38;34.38;6.25;0.0;37.5;50.0;31.25;43.75;28.12;56.25;42.19;62.5;64.06;42.19;15.62;0.0
