;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.0847251169770956;0.5696;0.0803305449038744;0.6435;12.5;25.0;18.75;25.0;9.38;25.0;15.62;31.25;40.62;29.69;6.25;0.0;25.0;50.0;31.25;37.5;34.38;50.0;40.62;67.19;68.75;75.0;68.75;50.0
1;0.07935053848028183;0.6418;0.0716037346124649;0.7075;25.0;37.5;25.0;37.5;18.75;34.38;17.19;31.25;29.69;17.19;9.38;0.0;37.5;50.0;37.5;50.0;43.75;59.38;45.31;64.06;62.5;65.62;53.12;0.0
2;0.07572335259914398;0.6738;0.06941347253322601;0.721;37.5;50.0;31.25;43.75;21.88;37.5;17.19;29.69;21.88;14.06;9.38;0.0;50.0;62.5;43.75;56.25;46.88;62.5;43.75;60.94;50.0;54.69;40.62;0.0
3;0.07215811846852302;0.7013;0.06601799315214157;0.7445;37.5;50.0;37.5;43.75;25.0;40.62;17.19;23.44;14.06;12.5;12.5;0.0;50.0;62.5;43.75;56.25;50.0;62.5;43.75;57.81;37.5;43.75;34.38;0.0
4;0.06992948603779077;0.7131;0.07053294238448143;0.7005;37.5;62.5;37.5;50.0;25.0;43.75;15.62;17.19;9.38;10.94;9.38;0.0;62.5;62.5;50.0;62.5;53.12;65.62;42.19;53.12;29.69;39.06;31.25;0.0
5;0.0668161213427782;0.7334;0.06070999413728714;0.759;50.0;62.5;37.5;56.25;28.12;46.88;17.19;18.75;10.94;12.5;12.5;0.0;62.5;62.5;50.0;62.5;53.12;65.62;40.62;50.0;25.0;34.38;28.12;0.0
6;0.06631428780406713;0.7433;0.061079725012183186;0.7545;50.0;62.5;43.75;56.25;28.12;46.88;18.75;18.75;10.94;12.5;12.5;0.0;62.5;62.5;56.25;62.5;53.12;65.62;40.62;48.44;21.88;28.12;21.88;0.0
7;0.06476638186275958;0.7451;0.058679067738354206;0.7845;50.0;62.5;43.75;56.25;31.25;50.0;20.31;18.75;12.5;12.5;12.5;0.0;62.5;62.5;56.25;62.5;53.12;65.62;40.62;46.88;21.88;25.0;21.88;0.0
8;0.06279150117337703;0.7594;0.05923644350469112;0.795;62.5;62.5;43.75;56.25;34.38;50.0;20.31;20.31;12.5;14.06;12.5;0.0;62.5;62.5;56.25;56.25;53.12;65.62;40.62;45.31;21.88;23.44;18.75;0.0
9;0.06164603987783194;0.7651;0.05593557071685791;0.7995;62.5;62.5;43.75;56.25;34.38;50.0;21.88;21.88;12.5;14.06;12.5;0.0;62.5;62.5;56.25;56.25;53.12;62.5;40.62;45.31;20.31;21.88;15.62;0.0
10;0.06166596022993326;0.7678;0.056857798092067244;0.79;62.5;62.5;50.0;56.25;34.38;53.12;23.44;23.44;12.5;14.06;9.38;0.0;62.5;62.5;56.25;56.25;53.12;62.5;40.62;43.75;20.31;20.31;15.62;0.0
11;0.06033526105284691;0.771;0.054157510347664355;0.799;62.5;62.5;50.0;56.25;37.5;53.12;23.44;25.0;14.06;14.06;9.38;0.0;62.5;62.5;56.25;56.25;53.12;62.5;40.62;43.75;18.75;18.75;12.5;0.0
12;0.059034108379483224;0.7777;0.05314484161138534;0.8065;62.5;62.5;50.0;56.25;37.5;53.12;25.0;26.56;14.06;14.06;9.38;0.0;62.5;62.5;56.25;56.25;53.12;59.38;40.62;45.31;18.75;18.75;12.5;0.0
13;0.058434217171370983;0.7839;0.05254820741713047;0.815;62.5;62.5;50.0;56.25;37.5;53.12;25.0;26.56;14.06;14.06;9.38;0.0;62.5;62.5;62.5;56.25;53.12;59.38;40.62;45.31;18.75;17.19;12.5;0.0
14;0.05804321349412203;0.7862;0.05236081188172102;0.8155;62.5;62.5;50.0;56.25;40.62;50.0;26.56;28.12;14.06;14.06;9.38;0.0;62.5;62.5;62.5;56.25;53.12;59.38;40.62;46.88;18.75;17.19;12.5;0.0
15;0.05641987541168928;0.8017;0.05131817979738116;0.823;62.5;62.5;56.25;56.25;40.62;50.0;28.12;29.69;14.06;14.06;9.38;0.0;62.5;62.5;62.5;56.25;53.12;56.25;40.62;46.88;17.19;15.62;12.5;0.0
16;0.056864870179444554;0.799;0.048112426485866305;0.8285;62.5;62.5;56.25;56.25;40.62;50.0;28.12;29.69;14.06;14.06;9.38;0.0;62.5;62.5;62.5;56.25;53.12;56.25;40.62;46.88;17.19;15.62;15.62;0.0
17;0.055917018691450354;0.798;0.05034533854573965;0.829;62.5;62.5;56.25;56.25;43.75;50.0;29.69;31.25;14.06;14.06;12.5;0.0;62.5;62.5;62.5;56.25;50.0;56.25;40.62;46.88;17.19;15.62;15.62;0.0
18;0.05494405998885631;0.8037;0.050716229569166896;0.8175;62.5;62.5;56.25;56.25;43.75;50.0;29.69;32.81;14.06;14.06;12.5;0.0;62.5;62.5;62.5;50.0;50.0;56.25;40.62;46.88;17.19;15.62;18.75;0.0
19;0.054008689969033005;0.8066;0.054665025055408475;0.7905;62.5;62.5;56.25;56.25;43.75;50.0;31.25;32.81;14.06;14.06;12.5;0.0;62.5;62.5;62.5;50.0;50.0;53.12;40.62;46.88;17.19;15.62;18.75;0.0
