;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.003996178665161133;0.24076;0.0036540277242660523;0.3515;25.0;37.5;18.75;25.0;12.5;25.0;17.19;23.44;37.5;21.88;12.5;10.0;37.5;50.0;25.0;37.5;25.0;46.88;32.81;43.75;57.81;51.56;28.12;10.0
1;0.003252998833656311;0.39218;0.0029358464479446412;0.4404;25.0;50.0;25.0;31.25;18.75;34.38;20.31;29.69;37.5;21.88;15.62;30.0;37.5;62.5;31.25;37.5;28.12;50.0;35.94;48.44;56.25;48.44;28.12;30.0
2;0.002806244966983795;0.47082;0.0025914008378982545;0.529;25.0;50.0;25.0;31.25;21.88;40.62;25.0;35.94;42.19;25.0;18.75;30.0;37.5;62.5;31.25;37.5;31.25;53.12;39.06;53.12;56.25;45.31;31.25;30.0
3;0.002543450677394867;0.52944;0.002374628448486328;0.5683;25.0;50.0;25.0;31.25;25.0;43.75;28.12;39.06;43.75;25.0;21.88;30.0;50.0;62.5;31.25;37.5;34.38;56.25;42.19;56.25;56.25;43.75;31.25;30.0
4;0.0023562192893028257;0.5694;0.0022813268065452574;0.5865;25.0;62.5;31.25;31.25;28.12;50.0;29.69;42.19;45.31;25.0;25.0;40.0;50.0;62.5;31.25;37.5;34.38;56.25;43.75;57.81;56.25;42.19;31.25;40.0
5;0.002214326636791229;0.59708;0.0023421126008033753;0.5894;37.5;62.5;31.25;31.25;28.12;50.0;31.25;43.75;45.31;26.56;25.0;40.0;50.0;62.5;31.25;37.5;37.5;59.38;45.31;57.81;56.25;40.62;31.25;40.0
6;0.00208619807600975;0.6241;0.002040898185968399;0.6386;37.5;62.5;31.25;31.25;31.25;53.12;34.38;46.88;45.31;28.12;25.0;40.0;50.0;62.5;31.25;37.5;37.5;59.38;46.88;60.94;56.25;40.62;34.38;40.0
7;0.0019810241615772248;0.64536;0.0018864219307899476;0.6665;37.5;62.5;31.25;31.25;31.25;53.12;35.94;48.44;45.31;28.12;28.12;50.0;50.0;62.5;31.25;37.5;37.5;59.38;46.88;60.94;56.25;40.62;34.38;50.0
8;0.0018901845109462738;0.66346;0.0018489509224891662;0.674;37.5;50.0;31.25;31.25;31.25;53.12;37.5;50.0;46.88;29.69;28.12;50.0;50.0;62.5;31.25;37.5;40.62;59.38;48.44;62.5;56.25;39.06;34.38;50.0
9;0.0018293926882743834;0.67622;0.001867998105287552;0.6766;37.5;50.0;25.0;31.25;34.38;53.12;39.06;51.56;46.88;29.69;28.12;50.0;50.0;62.5;31.25;37.5;40.62;59.38;50.0;64.06;54.69;39.06;34.38;60.0
