;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.23222917998671533;0.29922;0.1842256432533264;0.4402;25.0;37.5;18.75;31.25;9.38;15.62;7.81;14.06;21.88;6.25;12.5;40.0;75.0;62.5;50.0;62.5;46.88;53.12;40.62;54.69;56.25;45.31;56.25;60.0
1;0.19741220041394233;0.42646;0.1586904799193144;0.5306;50.0;50.0;25.0;31.25;15.62;25.0;14.06;21.88;26.56;12.5;21.88;40.0;75.0;75.0;56.25;68.75;50.0;53.12;45.31;56.25;53.12;42.19;56.25;50.0
2;0.1784961983078718;0.5002;0.1431138504356146;0.5961;50.0;62.5;31.25;37.5;21.88;31.25;18.75;29.69;29.69;17.19;28.12;50.0;75.0;75.0;56.25;62.5;53.12;53.12;48.44;60.94;51.56;42.19;56.25;50.0
3;0.16654791401207447;0.54048;0.1345382715344429;0.6169;50.0;62.5;37.5;43.75;25.0;34.38;23.44;34.38;31.25;20.31;34.38;50.0;75.0;75.0;62.5;62.5;53.12;53.12;50.0;62.5;48.44;42.19;56.25;60.0
4;0.15757093952536583;0.57076;0.12527425787448884;0.6583;62.5;62.5;37.5;43.75;28.12;34.38;26.56;39.06;31.25;23.44;40.62;50.0;75.0;75.0;56.25;56.25;50.0;50.0;51.56;64.06;46.88;42.19;59.38;60.0
5;0.13989369002580643;0.62002;0.11050666598975659;0.6974;62.5;62.5;37.5;37.5;28.12;34.38;26.56;40.62;29.69;23.44;40.62;60.0;75.0;75.0;50.0;50.0;46.88;46.88;50.0;62.5;43.75;39.06;56.25;60.0
6;0.13478030244112016;0.6333;0.10729617877602578;0.6996;62.5;62.5;37.5;37.5;28.12;34.38;26.56;40.62;29.69;23.44;37.5;60.0;75.0;75.0;50.0;50.0;40.62;40.62;46.88;60.94;42.19;35.94;56.25;60.0
7;0.1330461276835203;0.64118;0.10638254533410073;0.7038;62.5;62.5;37.5;37.5;28.12;31.25;26.56;40.62;29.69;23.44;37.5;60.0;75.0;62.5;43.75;43.75;37.5;40.62;45.31;59.38;40.62;34.38;53.12;60.0
8;0.13114172204136848;0.6472;0.10493611032664776;0.7119;62.5;62.5;37.5;37.5;28.12;31.25;26.56;40.62;28.12;23.44;37.5;60.0;75.0;62.5;43.75;43.75;37.5;37.5;43.75;57.81;39.06;32.81;53.12;60.0
9;0.12957246491849422;0.65124;0.1027166825801134;0.7132;62.5;62.5;37.5;37.5;25.0;31.25;26.56;42.19;28.12;23.44;37.5;60.0;62.5;62.5;43.75;43.75;34.38;37.5;42.19;57.81;37.5;31.25;53.12;60.0
10;0.12760352421402932;0.65786;0.101919087728858;0.7222;50.0;62.5;31.25;37.5;25.0;31.25;26.56;42.19;28.12;21.88;37.5;60.0;62.5;62.5;43.75;43.75;34.38;34.38;40.62;56.25;35.94;29.69;50.0;60.0
11;0.12655134652793407;0.65722;0.10127731726020575;0.7234;50.0;50.0;31.25;37.5;25.0;31.25;26.56;42.19;28.12;21.88;37.5;60.0;62.5;62.5;37.5;37.5;31.25;34.38;39.06;56.25;34.38;29.69;50.0;60.0
12;0.12632703605651854;0.6604;0.10188287816494704;0.7186;50.0;50.0;31.25;37.5;25.0;31.25;25.0;40.62;26.56;21.88;34.38;60.0;62.5;62.5;37.5;37.5;31.25;31.25;37.5;54.69;34.38;28.12;50.0;60.0
13;0.12538613888978958;0.66324;0.10161362860053778;0.721;50.0;50.0;31.25;37.5;25.0;31.25;25.0;40.62;26.56;21.88;34.38;60.0;62.5;50.0;37.5;37.5;31.25;31.25;37.5;54.69;32.81;28.12;50.0;60.0
14;0.1257662483716011;0.66108;0.1030823294699192;0.7165;50.0;50.0;31.25;31.25;25.0;28.12;25.0;40.62;26.56;21.88;34.38;60.0;62.5;50.0;37.5;37.5;28.12;31.25;35.94;53.12;32.81;26.56;46.88;60.0
15;0.12583969025790692;0.6613;0.10104737190902233;0.7215;50.0;50.0;31.25;31.25;25.0;28.12;25.0;40.62;26.56;21.88;34.38;60.0;62.5;50.0;37.5;37.5;28.12;31.25;34.38;53.12;31.25;26.56;46.88;60.0
16;0.12491802561700344;0.66396;0.1007610143661499;0.7227;50.0;50.0;31.25;31.25;25.0;28.12;25.0;40.62;25.0;20.31;34.38;60.0;62.5;50.0;37.5;37.5;28.12;31.25;34.38;51.56;31.25;25.0;46.88;60.0
17;0.12544094516932963;0.6618;0.10125390007197857;0.7233;50.0;50.0;31.25;31.25;25.0;28.12;25.0;40.62;25.0;20.31;34.38;60.0;62.5;50.0;31.25;37.5;28.12;28.12;32.81;51.56;31.25;25.0;46.88;60.0
18;0.1253489391988516;0.66138;0.10213069685697555;0.7184;50.0;50.0;31.25;31.25;25.0;28.12;23.44;40.62;25.0;20.31;34.38;60.0;62.5;50.0;31.25;31.25;28.12;28.12;32.81;50.0;29.69;25.0;46.88;60.0
19;0.1260787505030632;0.66052;0.10127637907862663;0.724;50.0;50.0;31.25;31.25;21.88;28.12;23.44;40.62;25.0;20.31;34.38;60.0;62.5;50.0;31.25;31.25;25.0;28.12;32.81;50.0;29.69;23.44;46.88;60.0
