;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-3;eval-saturation_features-31;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-3;train-saturation_features-31;train-saturation_features-7;training_accuracy;training_loss
0;12.5;2.0;25.0;37.5;18.75;31.25;17.19;31.25;50.0;37.5;40.62;18.75;0.0483;0.033782555627822876;65.62;10.0;25.0;50.0;31.25;46.88;32.81;51.56;68.75;37.5;67.19;18.75;0.02876;0.03509846095085144
1;21.88;4.0;25.0;50.0;28.12;40.62;21.88;32.81;43.75;50.0;32.81;31.25;0.0968;0.030296965003013612;56.25;5.0;37.5;56.25;40.62;56.25;40.62;56.25;65.62;50.0;62.5;31.25;0.06952;0.03198113282203675
2;25.0;6.0;25.0;56.25;34.38;46.88;25.0;37.5;42.19;50.0;28.12;31.25;0.1346;0.02837114288806915;50.0;7.0;37.5;62.5;46.88;59.38;43.75;59.38;62.5;62.5;56.25;31.25;0.1106;0.029491723365783692
3;31.25;7.0;37.5;56.25;37.5;50.0;28.12;40.62;42.19;50.0;26.56;31.25;0.1564;0.027172941946983338;43.75;8.0;37.5;62.5;50.0;59.38;45.31;60.94;60.94;62.5;50.0;37.5;0.13296;0.028106978487968445
4;31.25;8.0;37.5;56.25;40.62;53.12;29.69;43.75;43.75;50.0;25.0;37.5;0.1737;0.02651123125553131;43.75;9.0;37.5;62.5;53.12;62.5;46.88;62.5;59.38;62.5;45.31;37.5;0.15376;0.027162079200744628
5;34.38;9.0;37.5;56.25;40.62;53.12;31.25;46.88;45.31;50.0;25.0;37.5;0.202;0.02527006645202637;43.75;10.0;50.0;62.5;53.12;62.5;48.44;64.06;57.81;62.5;40.62;37.5;0.17036;0.026423405742645265
6;37.5;9.0;37.5;56.25;43.75;56.25;32.81;48.44;46.88;50.0;25.0;37.5;0.2229;0.02445310297012329;43.75;11.0;50.0;62.5;53.12;62.5;50.0;64.06;57.81;62.5;37.5;43.75;0.18842;0.025738778038024903
7;37.5;10.0;50.0;56.25;43.75;56.25;34.38;51.56;48.44;50.0;26.56;37.5;0.247;0.023646964240074158;43.75;12.0;50.0;62.5;50.0;62.5;50.0;65.62;59.38;50.0;35.94;43.75;0.20456;0.025117565560340883
8;40.62;10.0;50.0;56.25;43.75;56.25;35.94;53.12;50.0;50.0;26.56;43.75;0.2613;0.023006044125556947;43.75;13.0;50.0;56.25;50.0;62.5;51.56;65.62;59.38;50.0;32.81;43.75;0.22108;0.02449236379146576
9;40.62;11.0;50.0;56.25;43.75;56.25;37.5;54.69;51.56;50.0;26.56;43.75;0.2711;0.022508979487419128;43.75;13.0;50.0;56.25;50.0;62.5;51.56;65.62;59.38;50.0;31.25;43.75;0.23216;0.023904102325439453
