;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-3;eval-saturation_features-31;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-3;train-saturation_features-31;train-saturation_features-7;training_accuracy;training_loss
0;71.88;18.0;25.0;25.0;15.62;28.12;21.88;50.0;67.19;37.5;73.44;18.75;0.0169;0.009191606712341309;81.25;23.0;25.0;25.0;18.75;31.25;25.0;51.56;68.75;37.5;73.44;18.75;0.01306;0.009017875661849976
1;68.75;17.0;25.0;25.0;15.62;28.12;21.88;50.0;67.19;37.5;71.88;18.75;0.0193;0.009168757343292236;81.25;23.0;25.0;25.0;18.75;31.25;25.0;50.0;68.75;37.5;73.44;18.75;0.01912;0.008995455484390258
2;65.62;14.0;25.0;25.0;15.62;28.12;21.88;48.44;67.19;37.5;71.88;18.75;0.0254;0.009135273504257203;78.12;22.0;25.0;25.0;18.75;31.25;25.0;50.0;68.75;37.5;73.44;18.75;0.02362;0.008967427139282226
3;62.5;11.0;25.0;25.0;15.62;28.12;21.88;48.44;67.19;37.5;71.88;18.75;0.0272;0.009098572731018066;78.12;21.0;25.0;25.0;18.75;31.25;25.0;50.0;68.75;37.5;73.44;18.75;0.02626;0.008934248952865601
4;59.38;8.0;25.0;25.0;15.62;28.12;21.88;48.44;67.19;37.5;71.88;18.75;0.0298;0.00905858211517334;75.0;20.0;25.0;25.0;18.75;31.25;25.0;50.0;67.19;37.5;71.88;18.75;0.02918;0.00889678207397461
5;59.38;6.0;25.0;25.0;15.62;28.12;21.88;48.44;67.19;37.5;71.88;18.75;0.0309;0.009002904224395753;75.0;18.0;25.0;25.0;18.75;31.25;25.0;50.0;67.19;37.5;71.88;18.75;0.02942;0.008854129867553712
6;56.25;4.0;25.0;25.0;15.62;28.12;21.88;46.88;67.19;37.5;70.31;18.75;0.0324;0.008951397228240968;71.88;17.0;25.0;25.0;18.75;31.25;25.0;50.0;67.19;37.5;71.88;18.75;0.02976;0.008811585636138916
7;56.25;3.0;25.0;25.0;18.75;28.12;21.88;46.88;65.62;37.5;70.31;18.75;0.0332;0.008902548027038574;71.88;15.0;25.0;25.0;21.88;31.25;25.0;50.0;67.19;37.5;71.88;18.75;0.03184;0.008763792533874512
8;53.12;3.0;25.0;25.0;18.75;28.12;23.44;46.88;65.62;37.5;70.31;18.75;0.0336;0.008860485553741455;71.88;14.0;25.0;25.0;21.88;31.25;25.0;50.0;67.19;37.5;71.88;25.0;0.03382;0.008721800737380981
9;53.12;3.0;25.0;25.0;18.75;28.12;23.44;46.88;65.62;37.5;70.31;25.0;0.0336;0.008813208055496216;71.88;12.0;25.0;25.0;21.88;31.25;25.0;50.0;67.19;37.5;71.88;25.0;0.03374;0.008683008890151977
