;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.5467920678043365;0.03684;0.5022772753238678;0.0843;25.0;37.5;25.0;25.0;12.5;25.0;18.75;32.81;53.12;48.44;15.62;3.0;50.0;50.0;37.5;56.25;34.38;50.0;37.5;54.69;67.19;71.88;59.38;9.0
1;0.5083458769512177;0.06842;0.475112863445282;0.0954;37.5;62.5;31.25;37.5;21.88;37.5;23.44;37.5;54.69;50.0;25.0;6.0;50.0;75.0;50.0;62.5;40.62;59.38;43.75;57.81;67.19;68.75;53.12;12.0
2;0.4904278588628769;0.08526;0.45226412756443024;0.1337;50.0;62.5;37.5;43.75;25.0;40.62;26.56;40.62;54.69;51.56;31.25;7.0;62.5;75.0;50.0;56.25;40.62;62.5;46.88;59.38;67.19;67.19;53.12;14.0
3;0.4769230250167847;0.10082;0.43529649070501325;0.162;50.0;62.5;43.75;43.75;28.12;46.88;29.69;43.75;54.69;51.56;37.5;9.0;62.5;75.0;56.25;56.25;43.75;62.5;48.44;60.94;65.62;65.62;53.12;16.0
4;0.46336024244785307;0.11646;0.42086953876018524;0.1733;50.0;62.5;50.0;50.0;28.12;50.0;31.25;45.31;56.25;51.56;40.62;10.0;75.0;62.5;56.25;56.25;43.75;62.5;50.0;60.94;65.62;64.06;56.25;17.0
5;0.45247452231884;0.1331;0.40491417620182035;0.1939;62.5;62.5;50.0;50.0;31.25;53.12;32.81;48.44;54.69;51.56;43.75;11.0;75.0;62.5;56.25;56.25;43.75;65.62;51.56;62.5;64.06;64.06;56.25;18.0
6;0.4437721889257431;0.14282;0.39341742488145826;0.2097;50.0;62.5;56.25;50.0;34.38;53.12;34.38;50.0;56.25;53.12;46.88;12.0;75.0;62.5;56.25;56.25;43.75;65.62;53.12;64.06;64.06;64.06;56.25;19.0
7;0.4357850705718994;0.15682;0.38364456926584245;0.2364;62.5;62.5;56.25;50.0;34.38;56.25;35.94;53.12;56.25;53.12;50.0;12.0;75.0;62.5;56.25;50.0;43.75;65.62;53.12;65.62;64.06;64.06;59.38;19.0
8;0.4268812576508522;0.16612;0.37025713584423064;0.2461;62.5;62.5;56.25;50.0;34.38;56.25;37.5;54.69;56.25;54.69;50.0;13.0;75.0;62.5;62.5;50.0;43.75;65.62;54.69;65.62;62.5;64.06;59.38;20.0
9;0.41939449335098267;0.1786;0.36527065263986586;0.259;62.5;62.5;56.25;50.0;34.38;56.25;39.06;56.25;56.25;56.25;50.0;13.0;75.0;62.5;56.25;50.0;43.75;62.5;54.69;67.19;62.5;64.06;59.38;21.0
