;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.5360912657356263;0.04066;0.4862593594551086;0.0874;25.0;50.0;25.0;25.0;9.38;12.5;6.25;7.81;6.25;4.69;12.5;4.0;50.0;75.0;56.25;62.5;40.62;53.12;35.94;50.0;43.75;31.25;56.25;38.0
1;0.5010476950025559;0.0727;0.46333039672374726;0.1181;37.5;62.5;37.5;31.25;15.62;18.75;9.38;14.06;10.94;6.25;21.88;7.0;50.0;75.0;62.5;56.25;34.38;43.75;34.38;46.88;29.69;26.56;50.0;42.0
2;0.4847996154308319;0.09038;0.4526702371001244;0.1289;37.5;62.5;43.75;37.5;21.88;25.0;15.62;18.75;10.94;7.81;25.0;10.0;62.5;75.0;62.5;50.0;37.5;40.62;37.5;43.75;23.44;26.56;50.0;43.0
3;0.4735244111061096;0.10382;0.4370302928686142;0.1426;50.0;62.5;43.75;37.5;25.0;28.12;20.31;23.44;12.5;9.38;31.25;11.0;50.0;75.0;62.5;50.0;40.62;40.62;40.62;43.75;20.31;21.88;50.0;43.0
4;0.46175626647472384;0.11664;0.41502322075366976;0.178;50.0;62.5;50.0;37.5;28.12;31.25;23.44;26.56;12.5;9.38;34.38;13.0;50.0;75.0;62.5;50.0;40.62;40.62;43.75;45.31;17.19;15.62;53.12;42.0
5;0.4505521100139618;0.13372;0.4138198198318481;0.1836;50.0;62.5;50.0;43.75;28.12;34.38;25.0;29.69;12.5;7.81;34.38;14.0;50.0;75.0;62.5;43.75;40.62;40.62;45.31;45.31;15.62;10.94;53.12;41.0
6;0.43813586215019223;0.14844;0.39873455830812454;0.2001;50.0;75.0;50.0;43.75;31.25;37.5;28.12;32.81;12.5;6.25;37.5;15.0;50.0;75.0;62.5;43.75;40.62;43.75;48.44;46.88;14.06;7.81;53.12;40.0
7;0.4303336655330658;0.15964;0.3813407631039619;0.2279;50.0;75.0;50.0;43.75;31.25;37.5;31.25;34.38;12.5;4.69;40.62;15.0;50.0;75.0;62.5;43.75;40.62;43.75;50.0;48.44;14.06;4.69;53.12;39.0
8;0.4231573102092743;0.17244;0.374170139837265;0.2276;50.0;75.0;56.25;43.75;34.38;40.62;32.81;37.5;12.5;4.69;43.75;16.0;50.0;75.0;62.5;43.75;40.62;43.75;53.12;50.0;12.5;4.69;53.12;38.0
9;0.41618717774629593;0.18106;0.3875552696824074;0.2204;50.0;75.0;56.25;43.75;34.38;40.62;35.94;39.06;12.5;3.12;43.75;16.0;50.0;75.0;62.5;43.75;40.62;43.75;54.69;50.0;12.5;3.12;53.12;37.0
10;0.4102563929510117;0.19104;0.37558765822649004;0.2324;50.0;75.0;56.25;43.75;34.38;40.62;37.5;40.62;12.5;3.12;43.75;16.0;50.0;75.0;62.5;43.75;40.62;43.75;54.69;50.0;12.5;3.12;53.12;36.0
11;0.4063646176600456;0.19568;0.3710160087108612;0.2339;50.0;75.0;56.25;43.75;37.5;43.75;39.06;42.19;12.5;3.12;46.88;16.0;50.0;75.0;62.5;43.75;40.62;43.75;56.25;51.56;12.5;3.12;53.12;36.0
12;0.4010768730378151;0.20468;0.3701777009367943;0.2393;50.0;75.0;56.25;43.75;37.5;43.75;40.62;43.75;12.5;3.12;46.88;16.0;50.0;62.5;62.5;43.75;43.75;43.75;56.25;51.56;10.94;3.12;53.12;35.0
13;0.3952116087126732;0.21332;0.37597525323629377;0.2336;50.0;75.0;56.25;37.5;40.62;43.75;42.19;45.31;12.5;3.12;50.0;16.0;50.0;62.5;62.5;43.75;43.75;46.88;57.81;53.12;10.94;3.12;53.12;34.0
14;0.3900927586913109;0.22248;0.3628282491803169;0.2603;50.0;62.5;56.25;43.75;40.62;43.75;43.75;46.88;12.5;1.56;50.0;16.0;50.0;62.5;62.5;43.75;43.75;46.88;57.81;53.12;10.94;1.56;53.12;34.0
15;0.38690441328525543;0.22704;0.36040854634046554;0.2686;50.0;62.5;56.25;37.5;40.62;43.75;45.31;46.88;12.5;1.56;50.0;16.0;50.0;62.5;62.5;43.75;43.75;43.75;59.38;53.12;10.94;1.56;53.12;33.0
16;0.38434267018556595;0.22962;0.339215725082159;0.3062;50.0;62.5;56.25;37.5;40.62;46.88;46.88;48.44;10.94;1.56;50.0;17.0;50.0;62.5;62.5;43.75;43.75;43.75;59.38;54.69;10.94;1.56;53.12;33.0
17;0.38070841876506806;0.23824;0.37133204600811004;0.2363;50.0;62.5;56.25;37.5;40.62;43.75;46.88;50.0;10.94;1.56;50.0;16.0;50.0;62.5;62.5;43.75;43.75;43.75;59.38;54.69;10.94;1.56;53.12;32.0
18;0.37724659202814104;0.2475;0.35673205820322035;0.2749;50.0;62.5;56.25;37.5;40.62;46.88;48.44;50.0;10.94;1.56;53.12;16.0;50.0;62.5;62.5;43.75;43.75;43.75;59.38;54.69;10.94;1.56;53.12;32.0
19;0.374851511797905;0.24714;0.3630388750553131;0.2651;50.0;62.5;62.5;37.5;40.62;46.88;48.44;51.56;10.94;1.56;53.12;17.0;50.0;62.5;62.5;43.75;43.75;43.75;59.38;56.25;10.94;1.56;53.12;32.0
20;0.37274348251342776;0.2521;0.36362258759737015;0.2694;50.0;62.5;56.25;37.5;40.62;46.88;50.0;51.56;10.94;1.56;53.12;17.0;50.0;62.5;62.5;43.75;43.75;43.75;59.38;56.25;10.94;1.56;56.25;31.0
21;0.3717536174464226;0.25366;0.3390296747326851;0.3099;50.0;62.5;56.25;37.5;40.62;46.88;50.0;53.12;10.94;1.56;53.12;16.0;50.0;62.5;62.5;43.75;43.75;43.75;60.94;56.25;9.38;1.56;53.12;31.0
22;0.36903093432426454;0.2593;0.34127986152768136;0.2886;50.0;62.5;56.25;37.5;40.62;43.75;50.0;53.12;10.94;1.56;53.12;16.0;50.0;62.5;62.5;43.75;40.62;43.75;60.94;56.25;9.38;1.56;53.12;31.0
23;0.3674000114417076;0.26026;0.3674855147957802;0.262;50.0;62.5;56.25;37.5;40.62;43.75;51.56;53.12;10.94;1.56;53.12;17.0;50.0;62.5;62.5;37.5;40.62;43.75;60.94;56.25;9.38;1.56;53.12;30.0
24;0.3666058403706551;0.25946;0.33900403252243994;0.3006;50.0;62.5;56.25;37.5;40.62;43.75;51.56;54.69;10.94;1.56;53.12;17.0;50.0;62.5;56.25;37.5;40.62;43.75;60.94;57.81;9.38;1.56;53.12;30.0
25;0.36496063653469085;0.26476;0.3638832426249981;0.2646;50.0;62.5;56.25;37.5;40.62;43.75;53.12;54.69;10.94;1.56;53.12;17.0;50.0;62.5;56.25;37.5;40.62;43.75;60.94;57.81;9.38;1.56;53.12;30.0
26;0.3631390866804123;0.26828;0.35097078456282615;0.2762;50.0;62.5;56.25;37.5;37.5;43.75;53.12;54.69;10.94;1.56;53.12;17.0;50.0;62.5;56.25;37.5;40.62;43.75;60.94;57.81;9.38;1.56;56.25;29.0
27;0.360572205991745;0.27014;0.3246291543722153;0.3242;50.0;62.5;56.25;37.5;37.5;43.75;53.12;54.69;10.94;1.56;53.12;17.0;50.0;62.5;56.25;37.5;40.62;43.75;60.94;57.81;9.38;1.56;56.25;29.0
28;0.3592365584993362;0.2769;0.363513850659132;0.2687;50.0;62.5;56.25;37.5;37.5;43.75;53.12;54.69;10.94;1.56;53.12;17.0;50.0;62.5;56.25;37.5;40.62;43.75;60.94;57.81;9.38;1.56;53.12;29.0
29;0.35817692841291426;0.27712;0.3682389153420925;0.2754;50.0;62.5;56.25;37.5;37.5;43.75;53.12;56.25;10.94;1.56;53.12;16.0;50.0;62.5;56.25;37.5;40.62;43.75;60.94;57.81;9.38;1.56;53.12;29.0
30;0.3579014240646362;0.2793;0.3322855972468853;0.3191;50.0;62.5;56.25;37.5;37.5;43.75;53.12;56.25;10.94;1.56;53.12;16.0;50.0;62.5;56.25;37.5;40.62;40.62;60.94;57.81;9.38;1.56;53.12;29.0
31;0.35729029881715774;0.28084;0.3574154276490211;0.2798;50.0;62.5;56.25;37.5;37.5;43.75;54.69;56.25;10.94;1.56;53.12;17.0;50.0;62.5;56.25;37.5;40.62;40.62;60.94;59.38;9.38;1.56;53.12;28.0
32;0.3561459547710419;0.28044;0.3356802347242832;0.2963;50.0;62.5;56.25;37.5;37.5;43.75;54.69;56.25;10.94;1.56;53.12;17.0;50.0;62.5;56.25;37.5;40.62;40.62;60.94;59.38;9.38;1.56;53.12;28.0
33;0.35554899022102354;0.28358;0.3546486953496933;0.2834;50.0;62.5;56.25;37.5;37.5;43.75;54.69;56.25;10.94;1.56;53.12;17.0;50.0;62.5;56.25;37.5;40.62;40.62;60.94;59.38;9.38;1.56;53.12;28.0
34;0.3541309011030197;0.28474;0.3429266519546509;0.3016;50.0;62.5;56.25;37.5;37.5;43.75;54.69;57.81;10.94;1.56;53.12;17.0;50.0;62.5;56.25;37.5;40.62;40.62;60.94;59.38;9.38;1.56;53.12;28.0
35;0.3527403435206413;0.28708;0.3752411677002907;0.2459;50.0;62.5;56.25;37.5;37.5;43.75;54.69;57.81;10.94;1.56;53.12;17.0;50.0;62.5;56.25;37.5;37.5;40.62;60.94;59.38;9.38;1.56;53.12;28.0
36;0.35204135343790055;0.28672;0.374809053003788;0.2601;50.0;62.5;50.0;37.5;34.38;43.75;54.69;57.81;10.94;1.56;56.25;17.0;50.0;62.5;56.25;37.5;37.5;40.62;60.94;59.38;9.38;1.56;53.12;28.0
37;0.3511794873046875;0.28834;0.3337320297539234;0.3239;50.0;62.5;50.0;37.5;34.38;43.75;54.69;57.81;10.94;1.56;56.25;17.0;50.0;62.5;50.0;37.5;37.5;40.62;60.94;59.38;9.38;1.56;53.12;28.0
38;0.3497462363016605;0.29318;0.35569028990864754;0.2786;50.0;62.5;50.0;37.5;34.38;43.75;54.69;57.81;10.94;1.56;56.25;17.0;50.0;50.0;50.0;37.5;37.5;40.62;60.94;59.38;9.38;1.56;53.12;27.0
39;0.34786796543836596;0.29564;0.38845544245243074;0.2392;50.0;62.5;50.0;37.5;34.38;43.75;56.25;57.81;10.94;1.56;56.25;17.0;50.0;50.0;50.0;37.5;37.5;40.62;60.94;59.38;9.38;1.56;56.25;27.0
40;0.34843561718940735;0.2927;0.3696850998878479;0.2834;50.0;62.5;50.0;37.5;34.38;43.75;56.25;57.81;10.94;1.56;56.25;17.0;50.0;50.0;50.0;37.5;37.5;40.62;60.94;59.38;9.38;1.56;56.25;27.0
41;0.34724751339674;0.2962;0.3199250022530556;0.3278;50.0;62.5;50.0;37.5;34.38;43.75;56.25;57.81;10.94;1.56;56.25;17.0;50.0;50.0;50.0;37.5;37.5;40.62;60.94;59.38;9.38;1.56;56.25;27.0
42;0.346473212659359;0.29616;0.35479234936237336;0.2836;50.0;62.5;50.0;37.5;34.38;40.62;56.25;57.81;10.94;1.56;56.25;17.0;50.0;50.0;50.0;37.5;37.5;40.62;60.94;59.38;9.38;1.56;56.25;27.0
43;0.34579381561756134;0.299;0.4126300854802132;0.2335;50.0;62.5;50.0;37.5;34.38;40.62;56.25;57.81;10.94;1.56;56.25;17.0;50.0;50.0;50.0;37.5;37.5;40.62;60.94;59.38;9.38;1.56;53.12;27.0
44;0.34429314200639727;0.30226;0.31516452387571336;0.3426;50.0;62.5;50.0;37.5;31.25;40.62;56.25;59.38;10.94;1.56;56.25;17.0;50.0;50.0;50.0;37.5;34.38;40.62;60.94;59.38;9.38;1.56;53.12;27.0
45;0.3438320089197159;0.3036;0.38914105302095414;0.2592;50.0;62.5;50.0;37.5;31.25;40.62;56.25;59.38;10.94;1.56;56.25;17.0;50.0;50.0;50.0;37.5;34.38;37.5;59.38;59.38;9.38;1.56;53.12;27.0
46;0.34366681371688845;0.30476;0.35259343447685243;0.2916;50.0;62.5;50.0;37.5;31.25;40.62;56.25;59.38;10.94;1.56;56.25;17.0;50.0;50.0;50.0;37.5;34.38;37.5;59.38;59.38;9.38;1.56;53.12;27.0
47;0.34289334333658217;0.30414;0.345131587767601;0.2913;50.0;62.5;50.0;37.5;31.25;40.62;56.25;59.38;10.94;1.56;56.25;17.0;50.0;50.0;50.0;37.5;34.38;37.5;59.38;59.38;9.38;1.56;53.12;27.0
48;0.34280342684984205;0.30586;0.3313664503991604;0.3146;50.0;62.5;50.0;37.5;31.25;40.62;56.25;59.38;10.94;1.56;56.25;17.0;50.0;50.0;50.0;37.5;34.38;37.5;60.94;59.38;9.38;1.56;53.12;26.0
49;0.3416551480293274;0.30624;0.3441793614506721;0.3167;50.0;62.5;50.0;37.5;31.25;40.62;56.25;59.38;10.94;1.56;56.25;17.0;50.0;50.0;50.0;37.5;34.38;37.5;59.38;59.38;9.38;1.56;53.12;26.0
