;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.005456346744298935;0.5252;0.005413572281599045;0.581;25.0;25.0;25.0;25.0;25.0;37.5;21.88;59.38;68.75;75.0;68.75;0.0;0.0;25.0;25.0;25.0;31.25;43.75;25.0;62.5;71.88;75.0;87.5;50.0
1;0.005344292145967483;0.5777;0.005251131623983383;0.615;25.0;50.0;25.0;37.5;31.25;43.75;25.0;59.38;68.75;75.0;68.75;0.0;25.0;25.0;25.0;37.5;31.25;43.75;28.12;62.5;68.75;75.0;81.25;50.0
2;0.005249559473991394;0.6063;0.00512205821275711;0.6265;25.0;50.0;37.5;37.5;31.25;43.75;28.12;59.38;68.75;75.0;62.5;0.0;25.0;25.0;25.0;37.5;37.5;50.0;31.25;62.5;68.75;78.12;75.0;0.0
3;0.005100186419486999;0.6263;0.004940755277872085;0.6645;25.0;50.0;37.5;37.5;31.25;43.75;31.25;62.5;68.75;75.0;56.25;0.0;25.0;50.0;37.5;37.5;37.5;50.0;34.38;62.5;68.75;75.0;68.75;0.0
4;0.004943239289522171;0.6515;0.004867207631468773;0.6695;25.0;50.0;37.5;50.0;31.25;50.0;31.25;62.5;68.75;75.0;43.75;0.0;25.0;50.0;37.5;50.0;37.5;50.0;34.38;62.5;68.75;75.0;62.5;0.0
5;0.0048410188883543015;0.6636;0.004829569965600968;0.67;25.0;50.0;37.5;50.0;31.25;50.0;31.25;62.5;68.75;75.0;43.75;0.0;25.0;50.0;37.5;50.0;37.5;50.0;34.38;62.5;68.75;75.0;62.5;0.0
6;0.004783788925409317;0.6732;0.004769206658005715;0.674;25.0;50.0;37.5;50.0;31.25;43.75;31.25;62.5;65.62;71.88;37.5;0.0;25.0;50.0;37.5;50.0;37.5;50.0;34.38;62.5;68.75;75.0;56.25;0.0
7;0.004768770265579224;0.6756;0.0047072539478540424;0.675;25.0;50.0;37.5;50.0;31.25;43.75;31.25;62.5;65.62;71.88;37.5;0.0;25.0;50.0;37.5;50.0;37.5;50.0;34.38;62.5;68.75;75.0;56.25;0.0
8;0.004725288635492325;0.6726;0.004789067447185516;0.6655;25.0;50.0;37.5;50.0;31.25;43.75;31.25;62.5;65.62;71.88;37.5;0.0;25.0;50.0;37.5;50.0;37.5;50.0;34.38;62.5;68.75;75.0;50.0;0.0
9;0.004722570711374283;0.6768;0.004700058355927467;0.6745;25.0;50.0;37.5;50.0;25.0;43.75;31.25;62.5;65.62;71.88;37.5;0.0;25.0;50.0;37.5;50.0;31.25;50.0;31.25;62.5;65.62;75.0;50.0;0.0
10;0.0047239330589771275;0.6761;0.004674976229667663;0.679;25.0;50.0;25.0;50.0;25.0;43.75;31.25;59.38;65.62;71.88;31.25;0.0;25.0;50.0;37.5;50.0;31.25;50.0;31.25;62.5;65.62;75.0;50.0;0.0
11;0.004721050423383713;0.6823;0.004680425018072128;0.6845;25.0;50.0;25.0;50.0;25.0;43.75;28.12;59.38;65.62;71.88;31.25;0.0;25.0;50.0;37.5;50.0;31.25;50.0;31.25;59.38;65.62;71.88;50.0;0.0
12;0.0046589796304702755;0.6859;0.004694650441408157;0.679;25.0;50.0;25.0;50.0;25.0;43.75;28.12;59.38;65.62;71.88;31.25;0.0;25.0;50.0;25.0;50.0;31.25;50.0;31.25;59.38;65.62;71.88;43.75;0.0
13;0.004710442352294922;0.6794;0.004675069630146027;0.682;25.0;50.0;25.0;50.0;25.0;43.75;28.12;59.38;65.62;71.88;31.25;0.0;25.0;50.0;25.0;50.0;31.25;43.75;31.25;59.38;65.62;71.88;43.75;0.0
14;0.004690517890453339;0.6804;0.004678026601672172;0.6815;25.0;50.0;25.0;50.0;25.0;43.75;28.12;59.38;65.62;71.88;31.25;0.0;25.0;50.0;25.0;50.0;31.25;43.75;31.25;59.38;65.62;71.88;43.75;0.0
15;0.0046942010462284085;0.6811;0.004675048828125;0.6835;25.0;50.0;25.0;50.0;25.0;43.75;28.12;59.38;65.62;71.88;31.25;0.0;25.0;50.0;25.0;50.0;31.25;43.75;31.25;59.38;65.62;71.88;43.75;0.0
16;0.004676648396253586;0.6848;0.0046672942489385605;0.685;25.0;50.0;25.0;50.0;25.0;43.75;28.12;59.38;65.62;71.88;31.25;0.0;25.0;50.0;25.0;50.0;31.25;43.75;31.25;59.38;65.62;71.88;43.75;0.0
17;0.004663740208745003;0.6819;0.00467320953309536;0.6805;25.0;50.0;25.0;50.0;25.0;43.75;28.12;59.38;65.62;71.88;25.0;0.0;25.0;50.0;25.0;50.0;31.25;43.75;31.25;59.38;65.62;71.88;43.75;0.0
18;0.004694193744659424;0.6854;0.00469789668917656;0.676;25.0;50.0;25.0;50.0;25.0;43.75;28.12;59.38;65.62;71.88;25.0;0.0;25.0;50.0;25.0;50.0;25.0;43.75;31.25;59.38;65.62;71.88;43.75;0.0
19;0.004640621703863144;0.6882;0.004665743976831436;0.684;25.0;50.0;25.0;50.0;25.0;43.75;28.12;59.38;65.62;71.88;25.0;0.0;25.0;50.0;25.0;50.0;25.0;43.75;28.12;59.38;65.62;71.88;43.75;0.0
