;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-3;eval-saturation_features-31;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-3;train-saturation_features-31;train-saturation_features-7;training_accuracy;training_loss
0;50.0;0.0;25.0;37.5;18.75;31.25;21.88;46.88;62.5;25.0;71.88;12.5;0.567;0.0846870877444744;81.25;50.0;75.0;62.5;25.0;37.5;28.12;53.12;68.75;50.0;78.12;37.5;0.5242;0.08632788987755775
1;56.25;0.0;50.0;50.0;25.0;31.25;25.0;46.88;65.62;50.0;71.88;25.0;0.62;0.0824894694685936;75.0;50.0;75.0;62.5;31.25;37.5;31.25;53.12;68.75;50.0;78.12;37.5;0.5755;0.08466806994080543
2;56.25;0.0;50.0;50.0;25.0;31.25;25.0;46.88;65.62;50.0;71.88;25.0;0.631;0.08172941899299621;75.0;0.0;75.0;62.5;37.5;37.5;31.25;53.12;68.75;50.0;75.0;37.5;0.5827;0.0840129163146019
3;56.25;0.0;50.0;62.5;25.0;37.5;28.12;46.88;65.62;50.0;71.88;37.5;0.6425;0.0804412752687931;75.0;0.0;75.0;62.5;37.5;37.5;34.38;53.12;68.75;50.0;75.0;50.0;0.6122;0.08228275854587555
4;62.5;0.0;75.0;62.5;31.25;37.5;31.25;46.88;65.62;50.0;71.88;37.5;0.6695;0.07779990248382092;75.0;0.0;75.0;62.5;37.5;37.5;34.38;53.12;68.75;75.0;75.0;50.0;0.6142;0.08200051436126232
5;62.5;0.0;75.0;62.5;31.25;37.5;31.25;50.0;65.62;50.0;71.88;37.5;0.6815;0.07696323765814304;68.75;0.0;75.0;62.5;37.5;37.5;34.38;53.12;68.75;75.0;75.0;50.0;0.6327;0.08068514352440834
6;56.25;0.0;75.0;62.5;31.25;37.5;31.25;50.0;65.62;50.0;71.88;50.0;0.666;0.07616284787654877;68.75;0.0;75.0;62.5;43.75;43.75;37.5;53.12;68.75;75.0;75.0;50.0;0.6438;0.07961803717017174
7;56.25;0.0;75.0;62.5;37.5;43.75;34.38;50.0;65.62;50.0;71.88;50.0;0.6895;0.07403658962249755;68.75;0.0;75.0;75.0;43.75;43.75;37.5;53.12;68.75;75.0;75.0;50.0;0.6545;0.07788444019854068
8;56.25;0.0;75.0;62.5;37.5;43.75;34.38;50.0;65.62;50.0;71.88;50.0;0.6775;0.07489305737614632;68.75;0.0;75.0;75.0;50.0;43.75;37.5;53.12;68.75;75.0;75.0;50.0;0.6574;0.07761897971332073
9;56.25;0.0;75.0;62.5;43.75;43.75;34.38;50.0;65.62;50.0;71.88;50.0;0.704;0.07018893030285835;68.75;0.0;75.0;75.0;50.0;43.75;37.5;53.12;68.75;75.0;75.0;50.0;0.6675;0.07673842410445213
10;56.25;0.0;75.0;62.5;43.75;43.75;34.38;50.0;65.62;75.0;71.88;50.0;0.7115;0.07065709322690963;68.75;0.0;75.0;75.0;50.0;43.75;37.5;53.12;68.75;75.0;71.88;50.0;0.6693;0.07647622788250447
11;56.25;0.0;75.0;62.5;43.75;43.75;34.38;50.0;65.62;75.0;68.75;50.0;0.7285;0.06791108827292919;68.75;0.0;75.0;75.0;50.0;43.75;40.62;53.12;68.75;75.0;71.88;50.0;0.6861;0.07481569736301899
12;56.25;0.0;75.0;62.5;43.75;50.0;37.5;50.0;65.62;75.0;68.75;50.0;0.7035;0.07066134510189295;62.5;0.0;75.0;75.0;50.0;50.0;40.62;53.12;68.75;75.0;71.88;50.0;0.6792;0.07505448516309261
13;56.25;0.0;75.0;62.5;43.75;50.0;37.5;50.0;65.62;75.0;68.75;50.0;0.705;0.07131788420677185;62.5;0.0;75.0;75.0;50.0;50.0;40.62;53.12;68.75;75.0;71.88;50.0;0.7004;0.07275570793449879
14;56.25;0.0;75.0;62.5;43.75;50.0;37.5;50.0;65.62;75.0;68.75;50.0;0.716;0.06878016425669194;62.5;0.0;75.0;75.0;50.0;50.0;40.62;53.12;68.75;75.0;71.88;50.0;0.6981;0.07267595521509647
15;56.25;0.0;75.0;62.5;43.75;50.0;37.5;50.0;65.62;75.0;68.75;50.0;0.7255;0.06739135041832924;62.5;0.0;75.0;75.0;50.0;50.0;40.62;53.12;68.75;75.0;71.88;50.0;0.6965;0.07254565843641758
16;56.25;0.0;75.0;62.5;43.75;50.0;37.5;50.0;62.5;75.0;68.75;50.0;0.733;0.06715655285865069;62.5;0.0;75.0;62.5;50.0;50.0;40.62;53.12;68.75;75.0;71.88;50.0;0.7045;0.0717597009897232
17;56.25;0.0;75.0;62.5;43.75;50.0;37.5;50.0;62.5;75.0;68.75;50.0;0.7475;0.06675935271382331;62.5;0.0;75.0;62.5;50.0;50.0;40.62;53.12;68.75;75.0;71.88;50.0;0.7085;0.07161143062114715
18;56.25;0.0;75.0;62.5;43.75;50.0;37.5;50.0;62.5;75.0;68.75;50.0;0.7395;0.0674480877071619;62.5;0.0;75.0;62.5;50.0;50.0;40.62;53.12;68.75;75.0;71.88;50.0;0.7079;0.07090838614106178
19;56.25;0.0;75.0;62.5;50.0;50.0;37.5;50.0;62.5;75.0;68.75;50.0;0.743;0.06419051998108626;62.5;0.0;75.0;62.5;50.0;50.0;40.62;53.12;65.62;75.0;71.88;50.0;0.718;0.06979157032966614
