;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.08514631493091583;0.5615;0.08439308376610279;0.5755;25.0;25.0;12.5;25.0;12.5;18.75;21.88;31.25;37.5;15.62;12.5;0.0;25.0;50.0;37.5;50.0;43.75;50.0;56.25;62.5;75.0;65.62;68.75;50.0
1;0.08353029912114143;0.5943;0.07879963116347789;0.653;25.0;25.0;25.0;37.5;25.0;31.25;37.5;37.5;34.38;18.75;25.0;0.0;25.0;75.0;50.0;50.0;50.0;50.0;62.5;65.62;68.75;59.38;62.5;0.0
2;0.08165019643604755;0.6193;0.07696762701869012;0.6705;25.0;50.0;37.5;50.0;31.25;37.5;40.62;40.62;31.25;18.75;25.0;0.0;50.0;75.0;50.0;62.5;56.25;56.25;68.75;65.62;62.5;50.0;56.25;0.0
3;0.07848104187250138;0.6533;0.07395833145081997;0.6905;50.0;50.0;50.0;50.0;37.5;50.0;43.75;40.62;28.12;15.62;25.0;0.0;50.0;75.0;50.0;62.5;50.0;56.25;68.75;65.62;53.12;43.75;50.0;0.0
4;0.0765392233490944;0.6721;0.07283524231612683;0.711;50.0;50.0;50.0;50.0;37.5;50.0;43.75;40.62;25.0;15.62;25.0;0.0;50.0;75.0;50.0;62.5;50.0;56.25;65.62;62.5;46.88;34.38;43.75;0.0
5;0.07501301031410694;0.6841;0.07069282805919647;0.7075;50.0;50.0;50.0;50.0;37.5;50.0;43.75;40.62;21.88;18.75;25.0;0.0;50.0;75.0;50.0;62.5;50.0;56.25;62.5;62.5;40.62;31.25;37.5;0.0
6;0.07409749538898468;0.6865;0.06813466015458107;0.7255;50.0;50.0;50.0;62.5;37.5;56.25;43.75;40.62;21.88;18.75;25.0;0.0;50.0;75.0;50.0;62.5;50.0;62.5;59.38;62.5;37.5;28.12;37.5;0.0
7;0.07276630571484566;0.6956;0.06732667595148087;0.739;50.0;50.0;50.0;50.0;37.5;56.25;43.75;43.75;21.88;18.75;18.75;0.0;50.0;75.0;62.5;62.5;50.0;62.5;59.38;62.5;34.38;28.12;31.25;0.0
8;0.07209426027834416;0.6971;0.06654928054660558;0.7395;50.0;50.0;50.0;50.0;43.75;56.25;43.75;43.75;21.88;18.75;18.75;0.0;50.0;75.0;50.0;62.5;50.0;62.5;59.38;62.5;31.25;28.12;31.25;0.0
9;0.07078975671231746;0.712;0.06510311669111252;0.7385;75.0;50.0;50.0;50.0;43.75;56.25;43.75;43.75;21.88;18.75;25.0;0.0;50.0;75.0;50.0;62.5;50.0;62.5;59.38;59.38;31.25;28.12;31.25;0.0
10;0.07037093647420406;0.7119;0.06389223212748765;0.7495;75.0;50.0;62.5;50.0;43.75;56.25;43.75;43.75;21.88;18.75;25.0;0.0;50.0;75.0;62.5;62.5;50.0;62.5;59.38;59.38;31.25;28.12;31.25;0.0
11;0.06961773097217083;0.7163;0.0645092369839549;0.745;75.0;75.0;50.0;50.0;43.75;56.25;46.88;43.75;18.75;18.75;18.75;0.0;75.0;75.0;62.5;62.5;50.0;62.5;59.38;59.38;28.12;25.0;25.0;0.0
12;0.0673570403918624;0.7415;0.06231717123091221;0.758;75.0;75.0;50.0;50.0;50.0;56.25;46.88;43.75;18.75;21.88;18.75;0.0;75.0;75.0;62.5;62.5;50.0;62.5;56.25;56.25;28.12;25.0;25.0;0.0
13;0.06701503909528256;0.7334;0.06258490680903196;0.7515;75.0;75.0;50.0;50.0;50.0;56.25;46.88;46.88;18.75;21.88;18.75;0.0;75.0;75.0;62.5;62.5;50.0;62.5;56.25;56.25;25.0;25.0;25.0;0.0
14;0.0667718909919262;0.7416;0.06171291283890605;0.757;75.0;75.0;62.5;50.0;50.0;62.5;46.88;46.88;18.75;18.75;18.75;0.0;75.0;75.0;62.5;62.5;50.0;62.5;56.25;56.25;21.88;25.0;25.0;0.0
15;0.0672013992831111;0.7361;0.06069992603361606;0.7715;75.0;75.0;62.5;50.0;50.0;62.5;46.88;46.88;18.75;18.75;18.75;0.0;75.0;75.0;62.5;62.5;50.0;62.5;56.25;56.25;21.88;21.88;25.0;0.0
16;0.06673972829729319;0.7382;0.06139252793043852;0.763;75.0;75.0;62.5;50.0;50.0;62.5;46.88;46.88;15.62;18.75;18.75;0.0;75.0;75.0;62.5;62.5;50.0;62.5;56.25;56.25;21.88;21.88;25.0;0.0
17;0.06566205927282572;0.7432;0.05937048245221376;0.775;75.0;75.0;62.5;50.0;50.0;62.5;46.88;46.88;15.62;18.75;18.75;0.0;75.0;75.0;62.5;62.5;56.25;62.5;56.25;59.38;18.75;21.88;18.75;0.0
18;0.06461858188062906;0.7523;0.05827868328988552;0.7825;75.0;75.0;62.5;50.0;56.25;62.5;50.0;50.0;15.62;18.75;18.75;0.0;75.0;75.0;62.5;62.5;56.25;62.5;56.25;59.38;18.75;18.75;18.75;0.0
19;0.0650065846040845;0.7474;0.057846461579203604;0.7825;75.0;75.0;62.5;50.0;56.25;62.5;50.0;50.0;15.62;18.75;12.5;0.0;75.0;75.0;62.5;62.5;56.25;62.5;56.25;59.38;18.75;18.75;18.75;0.0
