;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-3;eval-saturation_features-31;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-3;train-saturation_features-31;train-saturation_features-7;training_accuracy;training_loss
0;18.75;20.0;50.0;50.0;18.75;31.25;15.62;15.62;15.62;50.0;9.38;25.0;0.4075;0.19439808072447776;50.0;20.0;75.0;75.0;43.75;56.25;50.0;62.5;59.38;75.0;50.0;50.0;0.2611;0.24081690137386322
1;25.0;30.0;50.0;62.5;25.0;37.5;21.88;28.12;21.88;50.0;12.5;37.5;0.4822;0.1732972450375557;50.0;30.0;75.0;62.5;50.0;62.5;53.12;62.5;53.12;75.0;37.5;50.0;0.37462;0.21160517498373985
2;31.25;30.0;75.0;62.5;31.25;50.0;28.12;40.62;25.0;50.0;15.62;37.5;0.4977;0.16546558982133866;43.75;40.0;75.0;62.5;50.0;62.5;53.12;65.62;46.88;75.0;31.25;50.0;0.42908;0.19819155176758765
3;31.25;40.0;75.0;62.5;37.5;50.0;34.38;43.75;28.12;50.0;15.62;37.5;0.5258;0.162561487531662;43.75;40.0;75.0;62.5;50.0;62.5;53.12;65.62;43.75;75.0;28.12;50.0;0.45056;0.19087057846307753
4;31.25;40.0;75.0;50.0;37.5;50.0;37.5;46.88;28.12;50.0;18.75;50.0;0.5474;0.15629193330705166;43.75;40.0;75.0;62.5;43.75;62.5;53.12;65.62;40.62;75.0;28.12;50.0;0.47138;0.18597663316607474
5;37.5;40.0;75.0;50.0;37.5;56.25;37.5;50.0;31.25;75.0;18.75;50.0;0.5695;0.15198456931114196;43.75;40.0;75.0;62.5;43.75;62.5;53.12;68.75;40.62;75.0;21.88;50.0;0.48784;0.18136192526102066
6;37.5;40.0;75.0;50.0;37.5;56.25;40.62;53.12;31.25;75.0;15.62;50.0;0.5864;0.14841386054158212;43.75;40.0;75.0;62.5;43.75;62.5;56.25;68.75;37.5;75.0;21.88;50.0;0.50338;0.17749365713357926
7;37.5;40.0;75.0;50.0;37.5;56.25;40.62;56.25;31.25;75.0;15.62;50.0;0.5832;0.14569445187449456;43.75;40.0;75.0;62.5;43.75;62.5;53.12;68.75;37.5;75.0;18.75;50.0;0.516;0.1738238787651062
8;37.5;40.0;75.0;50.0;37.5;62.5;40.62;59.38;31.25;75.0;15.62;50.0;0.6;0.14261301131248474;43.75;50.0;75.0;62.5;43.75;62.5;53.12;71.88;37.5;75.0;15.62;50.0;0.525;0.1714597210931778
9;37.5;50.0;75.0;62.5;37.5;62.5;43.75;62.5;34.38;75.0;12.5;50.0;0.6197;0.13814757021069526;37.5;50.0;75.0;62.5;43.75;62.5;53.12;71.88;37.5;75.0;15.62;50.0;0.53456;0.16914925009667872
10;37.5;50.0;75.0;62.5;43.75;62.5;43.75;62.5;34.38;75.0;12.5;50.0;0.6178;0.13594374717772006;43.75;50.0;75.0;62.5;43.75;62.5;56.25;71.88;37.5;75.0;12.5;50.0;0.54294;0.16641166922748088
11;37.5;50.0;75.0;62.5;43.75;62.5;46.88;62.5;34.38;75.0;12.5;50.0;0.6352;0.13020187628865243;43.75;50.0;75.0;62.5;43.75;62.5;53.12;71.88;37.5;75.0;12.5;50.0;0.54998;0.1648177392566204
12;43.75;50.0;75.0;62.5;43.75;62.5;46.88;65.62;34.38;75.0;12.5;50.0;0.6372;0.13053497127890587;43.75;50.0;75.0;62.5;43.75;62.5;53.12;71.88;37.5;75.0;12.5;50.0;0.5588;0.16276076439857484
13;43.75;50.0;75.0;62.5;43.75;62.5;46.88;65.62;34.38;75.0;12.5;50.0;0.6264;0.1339473968029022;43.75;60.0;75.0;62.5;43.75;62.5;53.12;71.88;37.5;75.0;12.5;50.0;0.56392;0.16038311339199543
14;43.75;50.0;75.0;62.5;43.75;62.5;46.88;65.62;34.38;75.0;12.5;50.0;0.6435;0.12946994676887988;43.75;60.0;75.0;62.5;43.75;62.5;53.12;71.88;37.5;75.0;12.5;50.0;0.57302;0.15767753118634223
15;43.75;50.0;50.0;62.5;43.75;62.5;46.88;68.75;34.38;75.0;12.5;50.0;0.6543;0.12529101538062096;50.0;60.0;75.0;62.5;43.75;62.5;53.12;71.88;37.5;75.0;12.5;50.0;0.57558;0.1570947428482771
16;50.0;50.0;75.0;62.5;43.75;56.25;50.0;68.75;34.38;75.0;12.5;50.0;0.653;0.12561223087012768;50.0;60.0;75.0;62.5;43.75;62.5;53.12;71.88;37.5;75.0;9.38;50.0;0.58042;0.15592868015348912
17;50.0;60.0;75.0;62.5;37.5;56.25;50.0;68.75;37.5;75.0;9.38;50.0;0.6655;0.12064726962447167;50.0;60.0;75.0;62.5;43.75;62.5;53.12;71.88;37.5;75.0;9.38;50.0;0.5839;0.15477441806972028
18;50.0;60.0;50.0;62.5;37.5;56.25;50.0;68.75;37.5;75.0;9.38;50.0;0.6641;0.12328718825280667;50.0;60.0;75.0;62.5;43.75;62.5;53.12;71.88;37.5;75.0;9.38;50.0;0.5885;0.15393595321297646
19;50.0;60.0;50.0;62.5;37.5;56.25;50.0;68.75;37.5;75.0;9.38;50.0;0.6499;0.12669960479140283;50.0;60.0;75.0;62.5;43.75;62.5;53.12;71.88;37.5;75.0;9.38;50.0;0.59138;0.15273639666736125
