;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-3;eval-saturation_features-31;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-3;train-saturation_features-31;train-saturation_features-7;training_accuracy;training_loss
0;62.5;2.0;25.0;12.5;18.75;25.0;28.12;43.75;65.62;50.0;75.0;12.5;0.0195;0.03623170437812805;81.25;10.0;25.0;12.5;18.75;25.0;28.12;40.62;65.62;50.0;78.12;12.5;0.01534;0.03594602463722229
1;56.25;2.0;25.0;12.5;18.75;25.0;28.12;43.75;65.62;50.0;75.0;12.5;0.0222;0.036019608545303346;75.0;8.0;25.0;12.5;18.75;25.0;28.12;40.62;65.62;50.0;78.12;12.5;0.02118;0.035763825407028195
2;56.25;1.0;25.0;25.0;18.75;25.0;28.12;43.75;65.62;50.0;75.0;12.5;0.0205;0.035770109605789184;75.0;6.0;25.0;12.5;25.0;25.0;28.12;40.62;65.62;50.0;78.12;12.5;0.0212;0.03554354952812195
3;56.25;1.0;25.0;25.0;18.75;25.0;28.12;43.75;65.62;50.0;75.0;12.5;0.0209;0.03551528735160828;75.0;3.0;25.0;25.0;25.0;31.25;28.12;40.62;65.62;50.0;75.0;12.5;0.02108;0.03530958432197571
4;56.25;1.0;25.0;25.0;25.0;31.25;28.12;43.75;65.62;50.0;75.0;12.5;0.0218;0.03527382211685181;75.0;2.0;25.0;25.0;25.0;31.25;28.12;43.75;65.62;50.0;75.0;12.5;0.02206;0.03506522813796997
5;56.25;1.0;25.0;25.0;25.0;31.25;28.12;43.75;65.62;50.0;75.0;25.0;0.0245;0.03501628623008728;68.75;2.0;25.0;25.0;25.0;31.25;31.25;43.75;65.62;50.0;75.0;12.5;0.02288;0.03483784878730774
6;50.0;1.0;25.0;25.0;25.0;31.25;31.25;43.75;65.62;50.0;75.0;25.0;0.0292;0.034745006561279296;68.75;2.0;25.0;25.0;25.0;31.25;31.25;43.75;65.62;50.0;75.0;12.5;0.02642;0.034631881999969485
7;50.0;1.0;25.0;25.0;25.0;31.25;31.25;43.75;65.62;50.0;75.0;25.0;0.0322;0.03448623642921448;68.75;2.0;25.0;25.0;31.25;31.25;31.25;43.75;65.62;50.0;75.0;25.0;0.0303;0.0344085027217865
8;50.0;1.0;25.0;25.0;31.25;31.25;31.25;43.75;65.62;50.0;75.0;25.0;0.0346;0.034264954614639284;62.5;2.0;25.0;25.0;31.25;31.25;31.25;43.75;65.62;50.0;75.0;25.0;0.03254;0.03418845171928406
9;50.0;1.0;25.0;25.0;31.25;31.25;31.25;43.75;65.62;50.0;75.0;25.0;0.0376;0.034002368879318234;62.5;2.0;25.0;25.0;31.25;31.25;31.25;43.75;65.62;50.0;75.0;25.0;0.03478;0.03397397993087769
