;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.008979428815841675;0.01574;0.009057870721817017;0.0239;50.0;50.0;25.0;25.0;12.5;31.25;28.12;46.88;68.75;68.75;25.0;0.0;50.0;50.0;25.0;37.5;18.75;37.5;34.38;53.12;71.88;71.88;68.75;9.0
1;0.008819620237350464;0.02106;0.00890769362449646;0.0213;50.0;50.0;25.0;37.5;18.75;37.5;31.25;46.88;68.75;68.75;25.0;1.0;50.0;50.0;25.0;37.5;18.75;37.5;34.38;53.12;71.88;68.75;56.25;3.0
2;0.008703276643753052;0.02192;0.008795490646362305;0.0232;50.0;50.0;25.0;37.5;18.75;37.5;34.38;50.0;68.75;65.62;25.0;1.0;50.0;50.0;25.0;37.5;25.0;37.5;37.5;53.12;71.88;68.75;56.25;1.0
3;0.008618042669296265;0.02304;0.00870988802909851;0.0229;50.0;50.0;25.0;50.0;25.0;37.5;37.5;50.0;68.75;65.62;25.0;1.0;50.0;50.0;25.0;37.5;25.0;43.75;37.5;53.12;71.88;68.75;50.0;1.0
4;0.00854409899711609;0.02772;0.00861744418144226;0.0351;50.0;50.0;25.0;50.0;25.0;43.75;37.5;50.0;68.75;65.62;25.0;1.0;50.0;50.0;25.0;50.0;25.0;43.75;40.62;53.12;71.88;68.75;50.0;1.0
5;0.008487197408676147;0.03366;0.008601458787918091;0.037;50.0;50.0;37.5;50.0;25.0;43.75;37.5;50.0;68.75;65.62;25.0;1.0;50.0;50.0;37.5;50.0;25.0;43.75;40.62;53.12;71.88;68.75;43.75;2.0
6;0.00847482928276062;0.03522;0.008582305526733398;0.0378;50.0;50.0;37.5;50.0;25.0;43.75;37.5;50.0;68.75;65.62;25.0;2.0;75.0;50.0;37.5;50.0;25.0;43.75;37.5;53.12;71.88;68.75;37.5;2.0
7;0.008459269981384278;0.03632;0.008572865629196166;0.0396;50.0;50.0;37.5;50.0;25.0;43.75;34.38;50.0;68.75;65.62;25.0;2.0;75.0;50.0;37.5;50.0;25.0;43.75;37.5;53.12;68.75;65.62;37.5;2.0
8;0.0084488960647583;0.03658;0.008552929210662842;0.0409;50.0;50.0;37.5;50.0;25.0;43.75;34.38;50.0;68.75;65.62;25.0;2.0;75.0;50.0;37.5;50.0;25.0;43.75;37.5;53.12;68.75;65.62;37.5;2.0
9;0.00843374433517456;0.03834;0.008544933319091797;0.0414;50.0;50.0;37.5;50.0;25.0;43.75;34.38;50.0;68.75;65.62;25.0;2.0;75.0;50.0;37.5;50.0;25.0;43.75;37.5;53.12;68.75;65.62;31.25;2.0
10;0.008427631530761719;0.03872;0.008537168455123902;0.0415;50.0;50.0;37.5;50.0;25.0;43.75;34.38;50.0;68.75;62.5;25.0;2.0;75.0;50.0;37.5;50.0;25.0;43.75;37.5;53.12;68.75;65.62;31.25;2.0
11;0.008425941019058228;0.03866;0.008534524726867675;0.0414;50.0;50.0;37.5;50.0;25.0;43.75;34.38;50.0;68.75;62.5;25.0;2.0;75.0;50.0;37.5;50.0;25.0;43.75;37.5;50.0;68.75;65.62;31.25;2.0
