;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.5571773926925659;0.02884;0.5285668653011322;0.0462;50.0;25.0;37.5;37.5;18.75;37.5;18.75;34.38;59.38;43.75;18.75;2.0;50.0;50.0;50.0;37.5;37.5;62.5;46.88;59.38;78.12;68.75;50.0;7.0
1;0.5306092724847794;0.04488;0.5072748310565949;0.0568;50.0;50.0;50.0;62.5;25.0;43.75;25.0;40.62;56.25;46.88;25.0;4.0;50.0;50.0;62.5;62.5;43.75;68.75;50.0;59.38;75.0;62.5;43.75;8.0
2;0.5211626895523072;0.05046;0.4931736586332321;0.077;50.0;50.0;62.5;62.5;31.25;56.25;31.25;46.88;59.38;46.88;31.25;5.0;50.0;50.0;75.0;62.5;50.0;68.75;53.12;62.5;71.88;62.5;43.75;9.0
3;0.5115424211215973;0.0622;0.4811667786836624;0.1026;50.0;50.0;62.5;62.5;31.25;62.5;34.38;50.0;59.38;50.0;37.5;7.0;50.0;50.0;75.0;75.0;43.75;68.75;56.25;62.5;71.88;62.5;43.75;11.0
4;0.5029613033151626;0.0735;0.4708597286939621;0.117;50.0;50.0;75.0;62.5;37.5;62.5;37.5;53.12;59.38;53.12;43.75;8.0;50.0;50.0;75.0;75.0;43.75;75.0;56.25;62.5;68.75;62.5;50.0;12.0
5;0.4958158984851837;0.08114;0.4617581435441971;0.1228;50.0;50.0;75.0;62.5;37.5;68.75;40.62;56.25;56.25;53.12;43.75;8.0;50.0;50.0;75.0;75.0;43.75;75.0;56.25;62.5;65.62;59.38;50.0;12.0
6;0.49085728110313415;0.08544;0.45608690638542176;0.1303;50.0;50.0;75.0;62.5;37.5;68.75;40.62;56.25;56.25;53.12;50.0;8.0;50.0;50.0;75.0;75.0;43.75;75.0;56.25;65.62;65.62;59.38;56.25;13.0
7;0.486174961309433;0.09066;0.453636508846283;0.1417;50.0;50.0;75.0;62.5;37.5;68.75;43.75;59.38;56.25;53.12;50.0;9.0;50.0;50.0;75.0;62.5;43.75;75.0;56.25;65.62;62.5;59.38;56.25;14.0
8;0.4823851948261261;0.09548;0.4405529583215714;0.1575;50.0;50.0;75.0;62.5;37.5;68.75;43.75;59.38;56.25;56.25;50.0;9.0;50.0;50.0;75.0;62.5;43.75;75.0;56.25;65.62;62.5;59.38;56.25;14.0
9;0.47858473464012147;0.10082;0.4400132546424866;0.1674;50.0;50.0;75.0;62.5;37.5;68.75;43.75;59.38;53.12;56.25;56.25;9.0;75.0;50.0;62.5;62.5;43.75;75.0;53.12;65.62;59.38;59.38;62.5;15.0
10;0.47426764733314514;0.10536;0.4337885415315628;0.1659;50.0;50.0;62.5;62.5;37.5;75.0;43.75;59.38;53.12;56.25;56.25;10.0;75.0;50.0;62.5;62.5;43.75;75.0;53.12;65.62;59.38;59.38;62.5;15.0
11;0.47160629557609557;0.11076;0.43168512938022613;0.1648;50.0;50.0;62.5;62.5;37.5;75.0;46.88;62.5;53.12;56.25;56.25;10.0;75.0;50.0;62.5;62.5;37.5;75.0;56.25;65.62;59.38;59.38;62.5;15.0
12;0.46900202013015746;0.11346;0.4252980372190475;0.1803;50.0;50.0;62.5;62.5;37.5;75.0;46.88;62.5;53.12;56.25;56.25;10.0;75.0;50.0;62.5;62.5;43.75;75.0;56.25;65.62;56.25;59.38;56.25;15.0
13;0.46640953582286837;0.1197;0.42398720576763155;0.1807;50.0;50.0;62.5;62.5;37.5;75.0;46.88;62.5;53.12;56.25;56.25;10.0;75.0;50.0;62.5;62.5;43.75;75.0;56.25;65.62;56.25;59.38;56.25;15.0
14;0.46450458224773405;0.12046;0.42019005929231645;0.19;50.0;50.0;62.5;62.5;43.75;75.0;50.0;62.5;53.12;56.25;56.25;10.0;75.0;50.0;62.5;62.5;43.75;75.0;56.25;65.62;56.25;59.38;56.25;15.0
15;0.46223375663280486;0.12198;0.41869424867630006;0.1885;50.0;50.0;62.5;62.5;43.75;75.0;50.0;62.5;50.0;56.25;56.25;11.0;75.0;50.0;62.5;62.5;43.75;75.0;56.25;65.62;56.25;59.38;62.5;15.0
16;0.46054635380744935;0.12634;0.41543701870441435;0.1958;50.0;50.0;62.5;62.5;43.75;75.0;50.0;62.5;50.0;56.25;56.25;11.0;75.0;50.0;62.5;62.5;43.75;75.0;56.25;68.75;53.12;59.38;62.5;15.0
17;0.45810774396896364;0.12808;0.4112515266776085;0.1952;50.0;50.0;62.5;62.5;43.75;75.0;50.0;62.5;50.0;56.25;56.25;11.0;75.0;50.0;62.5;62.5;43.75;75.0;56.25;68.75;53.12;56.25;62.5;15.0
18;0.45573435451984406;0.13272;0.4107514716386795;0.2028;75.0;75.0;62.5;62.5;43.75;75.0;53.12;65.62;50.0;56.25;56.25;11.0;75.0;75.0;62.5;62.5;43.75;75.0;56.25;68.75;53.12;56.25;62.5;15.0
19;0.4553517916584015;0.13474;0.40799901955127715;0.2079;75.0;75.0;62.5;62.5;43.75;75.0;50.0;65.62;50.0;56.25;56.25;11.0;75.0;75.0;62.5;50.0;43.75;75.0;56.25;68.75;53.12;56.25;62.5;15.0
20;0.45369366766929625;0.13802;0.408368418943882;0.2013;50.0;75.0;62.5;50.0;43.75;75.0;50.0;65.62;50.0;56.25;56.25;11.0;75.0;75.0;62.5;50.0;43.75;75.0;56.25;68.75;53.12;56.25;62.5;15.0
21;0.45202131054401395;0.13684;0.402185669696331;0.2196;75.0;75.0;62.5;50.0;43.75;75.0;53.12;65.62;50.0;56.25;56.25;11.0;75.0;75.0;62.5;50.0;43.75;75.0;56.25;68.75;53.12;56.25;62.5;15.0
22;0.4508205151891708;0.1386;0.3993950780391693;0.2243;75.0;75.0;62.5;50.0;43.75;75.0;53.12;65.62;50.0;56.25;62.5;11.0;75.0;75.0;62.5;50.0;43.75;75.0;56.25;68.75;53.12;56.25;62.5;15.0
23;0.44869957641124725;0.14132;0.4005512503385544;0.222;50.0;75.0;62.5;50.0;43.75;75.0;53.12;65.62;50.0;56.25;62.5;12.0;75.0;75.0;62.5;50.0;43.75;75.0;56.25;68.75;53.12;56.25;62.5;15.0
24;0.44764483953475953;0.1443;0.396020637345314;0.2308;50.0;75.0;62.5;50.0;43.75;75.0;53.12;65.62;50.0;56.25;62.5;12.0;75.0;75.0;62.5;50.0;43.75;75.0;56.25;68.75;53.12;56.25;68.75;15.0
25;0.44701703904628753;0.14614;0.3953088823914528;0.2303;75.0;75.0;62.5;50.0;43.75;75.0;53.12;65.62;50.0;56.25;62.5;12.0;75.0;75.0;62.5;50.0;43.75;75.0;56.25;68.75;53.12;56.25;68.75;15.0
26;0.44483484449386596;0.15064;0.3905437371015549;0.2237;75.0;75.0;62.5;50.0;43.75;75.0;53.12;65.62;50.0;56.25;62.5;12.0;75.0;75.0;50.0;50.0;43.75;75.0;56.25;68.75;53.12;56.25;68.75;15.0
27;0.444005021905899;0.1482;0.3925479853749275;0.2203;75.0;75.0;62.5;50.0;43.75;75.0;53.12;65.62;50.0;56.25;62.5;12.0;75.0;75.0;50.0;50.0;43.75;75.0;56.25;68.75;53.12;56.25;68.75;15.0
28;0.4425227240896225;0.15206;0.39620541200637815;0.2271;75.0;75.0;50.0;50.0;43.75;75.0;53.12;65.62;50.0;53.12;62.5;12.0;75.0;75.0;50.0;50.0;43.75;75.0;56.25;68.75;50.0;56.25;68.75;15.0
29;0.4411891738247871;0.15118;0.38600722732543946;0.2408;75.0;75.0;50.0;50.0;43.75;75.0;53.12;68.75;50.0;53.12;62.5;12.0;75.0;75.0;50.0;50.0;43.75;75.0;56.25;68.75;50.0;56.25;68.75;15.0
30;0.4402810968399048;0.15396;0.3883437678694725;0.2462;75.0;75.0;50.0;50.0;43.75;75.0;53.12;68.75;50.0;53.12;62.5;12.0;75.0;75.0;50.0;50.0;43.75;75.0;56.25;71.88;50.0;56.25;68.75;15.0
31;0.4399960596227646;0.15418;0.3945618184566498;0.2326;75.0;75.0;50.0;50.0;43.75;75.0;53.12;68.75;50.0;53.12;62.5;12.0;75.0;75.0;50.0;50.0;43.75;75.0;56.25;71.88;50.0;56.25;68.75;15.0
32;0.4387338727140427;0.15664;0.3850087080836296;0.2449;75.0;75.0;50.0;50.0;43.75;75.0;53.12;68.75;50.0;53.12;62.5;12.0;75.0;75.0;50.0;50.0;43.75;75.0;56.25;71.88;50.0;53.12;68.75;15.0
33;0.437846544508934;0.15926;0.3877579254984856;0.2465;75.0;75.0;50.0;50.0;43.75;68.75;53.12;68.75;50.0;53.12;62.5;12.0;75.0;75.0;50.0;50.0;43.75;68.75;56.25;71.88;50.0;53.12;68.75;15.0
34;0.43647118566036225;0.15932;0.3837857498884201;0.2473;75.0;75.0;50.0;50.0;43.75;68.75;53.12;68.75;50.0;53.12;68.75;12.0;75.0;75.0;50.0;50.0;43.75;68.75;56.25;71.88;50.0;53.12;68.75;15.0
35;0.43584042747020724;0.1618;0.38156711951494215;0.2514;75.0;75.0;50.0;50.0;43.75;68.75;53.12;68.75;50.0;53.12;68.75;12.0;75.0;75.0;50.0;50.0;43.75;68.75;56.25;71.88;50.0;53.12;68.75;15.0
36;0.4348968451309204;0.16216;0.3796539023160935;0.25;75.0;75.0;50.0;50.0;43.75;68.75;53.12;68.75;50.0;53.12;68.75;12.0;75.0;75.0;50.0;50.0;43.75;68.75;56.25;71.88;50.0;53.12;68.75;15.0
37;0.43410718108892443;0.16118;0.38551793713569643;0.2434;75.0;75.0;50.0;50.0;43.75;68.75;53.12;68.75;50.0;53.12;68.75;12.0;75.0;75.0;50.0;50.0;43.75;68.75;56.25;71.88;53.12;53.12;68.75;15.0
38;0.4327434398698807;0.16368;0.3822515330195427;0.2436;75.0;75.0;50.0;50.0;37.5;68.75;53.12;68.75;50.0;53.12;68.75;12.0;75.0;75.0;50.0;50.0;43.75;68.75;56.25;71.88;53.12;53.12;68.75;15.0
39;0.4332951453614235;0.16228;0.3762781188607216;0.2551;75.0;75.0;50.0;50.0;37.5;68.75;53.12;68.75;50.0;53.12;68.75;12.0;75.0;75.0;50.0;50.0;37.5;68.75;56.25;71.88;53.12;53.12;68.75;15.0
40;0.4313849876451492;0.16874;0.38012391501665116;0.2558;75.0;75.0;50.0;50.0;37.5;68.75;53.12;68.75;50.0;53.12;68.75;13.0;75.0;75.0;50.0;50.0;37.5;68.75;56.25;71.88;53.12;53.12;68.75;15.0
41;0.43091886999130247;0.16738;0.37204662983417514;0.2592;75.0;75.0;50.0;50.0;37.5;68.75;53.12;68.75;50.0;53.12;68.75;13.0;75.0;75.0;50.0;50.0;37.5;68.75;56.25;71.88;53.12;53.12;68.75;15.0
42;0.43032111558437347;0.16884;0.3787539288520813;0.2548;75.0;75.0;50.0;50.0;37.5;68.75;53.12;68.75;50.0;53.12;68.75;13.0;75.0;75.0;50.0;50.0;37.5;68.75;56.25;71.88;53.12;53.12;68.75;15.0
43;0.42934818308353423;0.16976;0.37245344398021696;0.2574;75.0;75.0;50.0;50.0;37.5;68.75;53.12;68.75;50.0;53.12;68.75;13.0;75.0;75.0;50.0;50.0;37.5;68.75;56.25;71.88;53.12;53.12;75.0;15.0
