;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.5467978691864014;0.03126;0.5097281638145447;0.0584;25.0;25.0;25.0;37.5;12.5;18.75;9.38;12.5;12.5;6.25;18.75;3.0;75.0;75.0;62.5;62.5;43.75;62.5;50.0;59.38;59.38;50.0;56.25;23.0
1;0.5150610304927826;0.0553;0.4816831031560898;0.0931;75.0;50.0;37.5;50.0;18.75;37.5;21.88;28.12;18.75;12.5;25.0;6.0;75.0;50.0;75.0;62.5;43.75;62.5;50.0;59.38;50.0;43.75;56.25;28.0
2;0.5006782943868637;0.06832;0.4691596426486969;0.1082;75.0;50.0;50.0;50.0;25.0;50.0;25.0;34.38;21.88;15.62;37.5;7.0;75.0;50.0;75.0;62.5;37.5;68.75;46.88;59.38;40.62;43.75;56.25;30.0
3;0.49060541024684906;0.08254;0.45809436068534853;0.1208;75.0;50.0;50.0;50.0;31.25;56.25;28.12;40.62;25.0;18.75;43.75;9.0;75.0;50.0;75.0;62.5;37.5;68.75;46.88;62.5;40.62;43.75;56.25;31.0
4;0.4837600899505615;0.0895;0.44720799469947814;0.1345;75.0;50.0;62.5;62.5;31.25;62.5;31.25;46.88;28.12;18.75;50.0;10.0;75.0;50.0;62.5;62.5;43.75;68.75;46.88;62.5;40.62;34.38;56.25;31.0
5;0.47720930495738983;0.09566;0.4417474154472351;0.1326;75.0;50.0;50.0;62.5;37.5;62.5;34.38;50.0;31.25;18.75;50.0;12.0;75.0;50.0;62.5;62.5;43.75;62.5;50.0;65.62;40.62;28.12;56.25;31.0
6;0.4724186956548691;0.1021;0.4333296604394913;0.1508;75.0;50.0;50.0;62.5;37.5;56.25;37.5;53.12;34.38;18.75;50.0;12.0;75.0;50.0;62.5;62.5;43.75;62.5;50.0;65.62;40.62;21.88;56.25;31.0
7;0.4664834131908417;0.11132;0.42679563612937926;0.1665;75.0;50.0;50.0;62.5;37.5;56.25;37.5;56.25;34.38;15.62;50.0;13.0;75.0;50.0;62.5;62.5;37.5;62.5;53.12;65.62;40.62;18.75;56.25;30.0
8;0.4636842019414902;0.11846;0.4230401798725128;0.1777;75.0;25.0;50.0;62.5;37.5;56.25;40.62;59.38;34.38;15.62;50.0;14.0;75.0;50.0;62.5;62.5;43.75;56.25;53.12;68.75;40.62;15.62;56.25;30.0
9;0.4598631051492691;0.12152;0.4136391705274582;0.1857;75.0;25.0;50.0;62.5;37.5;56.25;43.75;59.38;37.5;15.62;50.0;14.0;75.0;50.0;62.5;62.5;37.5;56.25;56.25;68.75;40.62;12.5;56.25;30.0
