;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-7;training_accuracy;training_loss
0;76.95;50.0;3.12;11.72;6.64;18.75;23.05;16.41;37.5;6.25;40.82;54.49;62.5;62.89;7.03;0.588;0.005371119141578675;82.81;50.0;3.12;16.41;10.55;24.61;28.52;20.31;46.29;9.38;50.39;67.58;74.61;75.2;9.38;0.538;0.005429763412475586
1;78.91;50.0;4.69;14.84;8.59;20.7;25.39;18.36;42.19;7.81;46.09;62.5;69.92;70.12;8.59;0.6195;0.005174737811088562;83.2;50.0;4.69;18.75;11.72;26.17;30.08;21.48;47.66;9.38;51.56;69.14;75.78;76.17;10.94;0.5892;0.005291781622171402
2;79.69;50.0;4.69;16.41;9.38;21.88;26.56;19.34;43.95;9.38;47.85;65.04;72.07;72.27;10.16;0.657;0.0050302790403366085;83.2;50.0;4.69;20.31;12.89;27.34;31.25;22.27;48.05;10.94;51.95;69.73;76.17;76.37;11.72;0.6203;0.005160435330867768
3;80.08;50.0;4.69;17.97;10.55;22.66;27.34;19.92;44.92;10.94;48.44;66.41;73.05;73.24;11.72;0.6615;0.004949606776237488;83.2;50.0;6.25;21.88;14.06;28.12;32.03;22.66;48.44;12.5;52.34;69.92;76.37;76.37;13.28;0.6337;0.0050250033855438235
4;80.08;50.0;4.69;19.53;11.33;23.44;28.12;20.31;45.12;12.5;48.83;66.99;73.44;73.44;12.5;0.6655;0.0049516670852899555;83.2;50.0;6.25;22.66;14.45;28.91;32.42;23.05;48.63;14.06;52.54;70.12;76.37;76.37;14.84;0.6557;0.004867420840263367
5;79.69;50.0;6.25;20.31;11.72;24.22;28.52;20.7;45.51;14.06;49.22;67.38;73.83;73.63;13.28;0.685;0.00470961657166481;83.2;50.0;7.81;23.44;15.23;29.3;32.81;23.44;48.83;15.62;52.54;70.12;76.17;76.17;14.84;0.6676;0.004816450333595276
6;79.3;50.0;6.25;21.09;12.11;24.61;28.91;20.7;45.51;14.06;49.22;67.58;73.83;73.63;14.06;0.6855;0.004708564892411232;83.2;50.0;7.81;24.22;15.62;29.69;33.2;23.63;49.02;15.62;52.54;70.12;76.17;75.98;15.62;0.6844;0.004660861146450043
7;79.3;50.0;6.25;21.88;12.5;25.39;29.3;20.9;45.9;14.06;49.41;67.77;73.83;73.63;14.84;0.6995;0.004545233905315399;82.81;50.0;7.81;25.0;15.62;30.08;33.59;23.83;49.02;15.62;52.54;70.12;76.17;75.78;16.41;0.6939;0.004549500927329063
8;78.91;0.0;6.25;22.66;13.28;25.78;29.69;21.09;46.09;15.62;49.61;67.97;74.02;73.63;15.62;0.718;0.00443111714720726;82.81;50.0;9.38;25.78;16.02;30.47;33.59;24.02;49.02;17.19;52.54;70.12;75.98;75.78;17.19;0.6962;0.00450004571378231
9;78.52;0.0;7.81;23.44;13.67;26.17;29.69;21.29;46.09;17.19;49.61;67.97;74.02;73.44;16.41;0.708;0.004576480314135552;82.42;50.0;9.38;25.78;16.41;30.47;33.98;24.02;49.02;17.19;52.54;70.12;75.98;75.59;17.19;0.7164;0.00435805689394474
10;78.12;0.0;7.81;24.22;13.67;26.56;30.08;21.29;46.29;17.19;49.61;67.97;74.02;73.44;17.19;0.724;0.004296957388520241;82.42;50.0;9.38;26.56;16.8;30.86;33.98;24.02;49.02;18.75;52.54;70.12;75.78;75.39;17.97;0.7261;0.004232797029614449
11;78.12;0.0;7.81;24.22;14.06;26.95;30.47;21.48;46.29;18.75;49.61;67.97;73.83;73.24;17.19;0.7305;0.004232189238071442;82.03;50.0;9.38;26.56;16.8;30.86;34.38;24.22;49.02;18.75;52.54;69.92;75.78;75.2;17.97;0.7308;0.004170992058515548
12;77.73;0.0;7.81;25.0;14.06;26.95;30.47;21.48;46.29;18.75;49.61;67.97;73.83;73.24;17.97;0.7025;0.004421974405646324;82.03;50.0;9.38;27.34;16.8;31.25;34.38;24.22;49.02;20.31;52.54;69.92;75.59;75.0;18.75;0.7304;0.004145192804932594
13;77.34;0.0;7.81;25.0;14.45;27.34;30.47;21.48;46.29;18.75;49.61;67.97;73.83;73.05;17.97;0.705;0.004477257519960404;81.64;50.0;10.94;27.34;17.19;31.25;34.38;24.22;49.02;20.31;52.54;69.92;75.59;74.8;18.75;0.7466;0.004001940470933914
14;76.95;0.0;7.81;25.78;14.45;27.34;30.86;21.68;46.29;20.31;49.61;67.97;73.63;72.85;18.75;0.7335;0.004275285512208939;81.25;50.0;10.94;27.34;17.19;31.25;34.77;24.22;49.02;20.31;52.54;69.73;75.39;74.61;18.75;0.7543;0.003949630358815193
15;76.56;0.0;9.38;25.78;14.45;27.34;30.86;21.68;46.29;20.31;49.61;67.97;73.63;72.85;18.75;0.738;0.004147933632135391;81.25;50.0;10.94;27.34;17.19;31.25;34.77;24.22;49.02;21.88;52.34;69.73;75.39;74.61;19.53;0.7621;0.0038385626584291456
16;76.17;0.0;9.38;25.78;14.45;27.73;30.86;21.68;46.29;20.31;49.61;67.77;73.63;72.66;18.75;0.755;0.003971689164638519;80.86;50.0;10.94;28.12;17.19;31.64;34.77;24.22;48.83;21.88;52.34;69.73;75.2;74.41;19.53;0.7605;0.003785432368516922
17;75.78;0.0;9.38;25.78;14.84;27.73;31.25;21.68;46.29;20.31;49.61;67.77;73.44;72.66;18.75;0.747;0.004126715630292892;80.86;50.0;12.5;28.12;17.19;31.64;34.77;24.41;48.83;21.88;52.34;69.73;75.2;74.22;19.53;0.7682;0.0037214742094278334
18;75.39;0.0;9.38;26.56;14.84;27.73;31.25;21.68;46.09;21.88;49.61;67.77;73.44;72.46;19.53;0.7225;0.004439734190702438;80.47;0.0;12.5;28.12;17.58;31.64;34.77;24.41;48.83;21.88;52.34;69.53;75.0;74.22;19.53;0.7716;0.0036284413307905196
19;75.0;0.0;9.38;26.56;14.84;28.12;31.25;21.88;46.09;21.88;49.61;67.77;73.44;72.27;19.53;0.749;0.004053296819329262;80.47;0.0;12.5;28.12;17.58;31.64;35.16;24.41;48.83;21.88;52.34;69.53;75.0;74.02;19.53;0.7766;0.003592851087450981
