;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.0013120657980442048;0.6064;0.001252372309565544;0.646;3.12;4.69;3.91;5.47;2.34;4.69;3.91;0.59;0.78;0.39;0.2;0.2;0.2;0.39;50.0;3.12;10.94;7.81;14.84;6.64;16.02;14.45;2.15;4.49;1.76;1.37;0.78;0.59;41.41;50.0
1;0.0011369317412376404;0.6974;0.0013589674532413483;0.7105;3.12;9.38;6.25;10.16;3.52;7.03;5.86;0.98;0.98;0.59;0.59;0.39;0.39;0.78;50.0;4.69;14.06;10.16;17.97;7.03;16.8;15.23;2.15;3.12;1.37;0.98;0.59;0.59;30.08;50.0
2;0.0010219291925430297;0.7456;0.0009675457179546356;0.76;4.69;12.5;8.59;12.5;4.3;8.98;7.81;1.17;1.37;0.78;0.78;0.39;0.39;1.17;50.0;4.69;17.19;11.72;19.53;7.42;16.8;15.62;2.15;2.93;1.56;0.98;0.59;0.59;22.66;50.0
3;0.000922317585349083;0.7745;0.0009836252182722092;0.7665;4.69;15.62;9.38;14.84;4.69;10.55;8.2;1.37;1.56;0.98;0.78;0.39;0.59;1.56;50.0;6.25;20.31;12.5;21.09;8.2;17.58;15.62;2.34;2.73;1.56;1.17;0.59;0.59;17.58;50.0
4;0.0008444440007209778;0.7996;0.0014275732077658177;0.682;6.25;18.75;10.94;16.41;5.08;10.94;8.98;1.56;1.37;0.98;0.98;0.39;0.59;1.56;0.0;6.25;23.44;14.06;21.88;8.59;17.58;16.02;2.34;2.54;1.56;1.17;0.59;0.78;14.06;50.0
5;0.00078800450861454;0.8159;0.0011325902864336968;0.7535;6.25;20.31;11.72;17.19;5.47;11.72;9.77;1.56;1.56;1.17;0.98;0.39;0.78;1.95;0.0;7.81;23.44;14.84;22.66;8.98;17.97;16.41;2.34;2.54;1.76;1.17;0.59;0.78;11.33;0.0
6;0.000747792062163353;0.8305;0.000865261733531952;0.8065;6.25;21.88;13.28;17.97;5.86;12.5;10.55;1.76;1.76;1.37;0.98;0.39;0.78;1.95;0.0;9.38;25.0;15.62;22.66;9.38;18.36;17.19;2.54;2.54;1.76;1.17;0.59;0.98;9.38;0.0
7;0.0007049132347106933;0.8393;0.0012674287781119346;0.764;7.81;23.44;14.06;18.75;6.25;13.28;10.94;1.76;1.56;1.37;0.98;0.59;0.78;1.95;0.0;9.38;26.56;16.41;22.66;9.77;18.75;17.58;2.54;2.54;1.76;1.17;0.59;0.98;7.42;0.0
8;0.00068563052713871;0.847;0.0007601299434900284;0.8205;9.38;25.0;14.84;19.53;6.64;13.67;11.72;1.95;1.76;1.37;1.17;0.59;0.98;2.34;0.0;10.94;28.12;17.19;23.44;10.16;19.14;18.36;2.73;2.54;1.76;1.37;0.78;1.17;6.25;0.0
9;0.0006647525697946548;0.8505;0.0008966351300477982;0.8095;10.94;26.56;15.62;20.31;7.03;14.45;12.5;2.15;1.95;1.56;1.17;0.59;0.98;2.34;0.0;12.5;28.12;18.75;23.44;10.55;19.14;18.75;2.73;2.73;1.95;1.37;0.78;1.17;5.47;0.0
10;0.0006073622614145279;0.8641;0.0008219328820705414;0.8275;10.94;26.56;16.41;20.31;7.42;14.84;13.28;2.34;1.95;1.56;1.17;0.78;1.17;2.34;0.0;12.5;29.69;18.75;23.44;10.94;19.53;19.14;2.93;2.73;1.95;1.37;0.78;1.17;4.69;0.0
11;0.0005908070906996726;0.8718;0.0008462225943803787;0.8215;12.5;28.12;17.19;20.31;7.81;15.23;13.67;2.34;2.15;1.76;1.17;0.78;1.17;2.34;0.0;14.06;29.69;19.53;23.44;10.94;19.92;19.53;2.93;2.73;1.95;1.37;0.78;1.17;4.3;0.0
12;0.0005664857223629952;0.8713;0.0007460164427757263;0.8435;12.5;28.12;17.97;21.09;8.2;16.02;14.45;2.54;2.15;1.76;1.17;0.78;1.17;2.34;0.0;14.06;29.69;20.31;23.44;11.33;20.31;19.92;3.12;2.73;2.15;1.37;0.78;1.17;3.91;0.0
13;0.0005385607331991196;0.8836;0.0006687574088573456;0.8505;14.06;29.69;17.97;21.88;8.59;16.41;14.45;2.54;2.15;1.76;1.17;0.78;1.17;2.34;0.0;15.62;29.69;21.09;23.44;11.72;20.7;20.31;3.12;2.73;2.15;1.37;0.78;1.17;3.52;0.0
14;0.0005089484855532646;0.8912;0.0007530934065580368;0.8385;14.06;29.69;18.75;21.88;8.98;16.8;15.23;2.73;2.34;1.95;1.17;0.78;1.17;2.34;0.0;15.62;31.25;21.09;23.44;11.72;20.7;20.7;3.12;2.93;2.15;1.37;0.78;1.17;3.52;0.0
15;0.0004925954207777977;0.8961;0.0006998035311698913;0.854;15.62;29.69;19.53;21.88;8.98;17.19;15.62;2.73;2.34;1.95;1.17;0.78;1.17;2.34;0.0;17.19;31.25;21.88;23.44;12.11;20.7;20.7;3.32;2.93;2.15;1.37;0.78;1.17;3.12;0.0
16;0.0004536169409751892;0.9026;0.0009506137296557426;0.8005;15.62;31.25;20.31;22.66;9.38;17.58;16.41;2.93;2.34;1.95;1.17;0.78;1.17;2.34;0.0;17.19;31.25;22.66;23.44;12.11;21.09;21.09;3.32;2.93;2.34;1.37;0.78;1.37;3.12;0.0
17;0.00043519545793533325;0.9108;0.0010804378651082516;0.798;17.19;31.25;20.31;22.66;9.77;17.97;16.8;2.93;2.34;1.95;1.17;0.78;1.17;2.34;0.0;18.75;31.25;22.66;23.44;12.5;21.09;21.48;3.52;2.93;2.34;1.37;0.78;1.37;3.12;0.0
18;0.0004252733573317528;0.9116;0.0008228226602077485;0.8515;17.19;31.25;20.31;23.44;9.77;18.36;17.19;2.93;2.54;2.15;1.17;0.78;1.37;2.34;0.0;18.75;31.25;23.44;23.44;12.89;21.48;21.88;3.52;3.12;2.34;1.37;0.78;1.37;2.73;0.0
19;0.0004131804749369621;0.914;0.0007121399939060212;0.8565;17.19;32.81;21.09;23.44;10.16;18.75;17.19;3.12;2.54;2.15;1.17;0.78;1.37;2.34;0.0;20.31;31.25;23.44;23.44;12.89;21.48;21.88;3.71;3.12;2.34;1.17;0.78;1.37;2.73;0.0
