;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.1046517417550087;0.5056;0.0942038148343563;0.4995;1.56;1.56;1.56;2.34;1.17;1.17;1.56;0.98;1.37;1.17;1.56;0.78;0.2;0.0;0.0;3.12;10.94;5.47;9.38;3.91;6.64;6.64;2.15;3.32;2.54;4.3;2.54;0.98;1.95;0.0
1;0.09228064077198506;0.5029;0.08581126129627228;0.56;1.56;3.12;2.34;3.12;1.56;2.34;2.73;1.17;1.76;1.56;2.34;1.37;0.59;0.39;0.0;3.12;10.94;5.47;8.59;3.91;5.86;5.86;1.95;3.32;2.73;4.49;2.73;1.37;1.95;0.0
2;0.08847881745398045;0.5125;0.08625685313344002;0.505;1.56;4.69;2.34;3.12;1.56;2.73;2.73;1.17;1.95;1.76;2.54;1.37;0.59;0.39;0.0;3.12;9.38;4.69;7.81;3.52;5.47;5.47;1.76;2.93;2.54;4.49;2.54;1.17;1.95;0.0
3;0.08603764995336532;0.5519;0.08267490555346012;0.602;3.12;4.69;3.12;4.69;1.95;3.12;3.52;1.56;2.34;2.15;2.93;1.76;0.59;0.78;0.0;4.69;7.81;5.47;8.59;3.52;5.86;5.86;1.95;3.32;2.93;5.27;2.93;1.17;2.34;0.0
4;0.0835120835930109;0.5948;0.08107403168082238;0.625;3.12;4.69;3.91;5.47;2.73;4.3;4.69;1.95;2.93;2.73;3.91;2.15;0.78;0.78;0.0;4.69;9.38;5.47;9.38;4.3;6.64;6.64;2.34;3.91;3.32;5.86;3.12;1.17;2.34;0.0
5;0.08096882484555244;0.6301;0.07760271944105625;0.656;3.12;6.25;3.91;6.25;2.73;4.69;5.08;2.15;3.12;2.73;3.91;2.15;0.59;0.78;0.0;4.69;9.38;6.25;9.38;4.3;7.03;7.03;2.54;4.1;3.52;6.05;3.12;1.17;2.34;0.0
6;0.08035596938431264;0.6379;0.07726065960526467;0.661;3.12;4.69;3.91;6.25;2.73;4.69;5.08;1.95;3.12;2.73;3.91;1.95;0.59;0.78;0.0;4.69;9.38;5.47;9.38;4.3;7.03;6.64;2.34;4.1;3.32;6.05;2.93;0.98;1.95;0.0
7;0.07913315390348434;0.6442;0.07599326574802398;0.6655;3.12;4.69;4.69;6.25;2.73;5.08;5.08;1.95;3.12;2.73;3.91;1.95;0.59;0.78;0.0;4.69;7.81;5.47;9.38;4.3;7.03;6.64;2.34;4.1;3.32;5.86;2.93;0.98;1.95;0.0
8;0.07831586268842221;0.6504;0.07345394043624401;0.693;3.12;4.69;4.69;6.25;3.12;5.08;5.47;1.95;3.32;2.73;3.91;1.95;0.59;0.78;0.0;4.69;7.81;5.47;9.38;4.3;7.03;6.64;2.34;4.1;3.32;5.86;2.73;0.98;1.95;0.0
9;0.07702751713097096;0.6663;0.07499133293330669;0.673;3.12;4.69;4.69;7.03;3.12;5.47;5.47;1.95;3.32;2.73;3.91;1.95;0.59;0.78;0.0;4.69;7.81;5.47;9.38;4.3;7.03;7.03;2.34;4.1;3.32;5.66;2.73;0.78;1.95;0.0
10;0.0757595029324293;0.6752;0.07202779427170754;0.7005;3.12;4.69;4.69;7.03;3.12;5.47;5.47;1.95;3.32;2.73;3.91;1.76;0.59;0.78;0.0;4.69;7.81;5.47;9.38;4.3;7.03;7.03;2.34;4.1;3.32;5.66;2.54;0.78;1.95;0.0
11;0.07559337936043739;0.6755;0.0722688810378313;0.6895;3.12;4.69;4.69;7.03;3.12;5.47;5.47;1.95;3.32;2.54;3.71;1.76;0.59;0.39;0.0;4.69;7.81;5.47;9.38;4.3;7.03;7.03;2.34;4.1;3.32;5.47;2.54;0.78;1.95;0.0
12;0.07421652696132659;0.6877;0.07188236114382744;0.6965;3.12;4.69;4.69;7.03;3.52;5.86;5.47;1.95;3.32;2.54;3.71;1.76;0.59;0.39;0.0;4.69;7.81;5.47;9.38;3.91;7.03;6.64;2.34;4.1;3.32;5.47;2.54;0.78;1.95;0.0
13;0.07413219059407711;0.6852;0.0710413216650486;0.6965;3.12;4.69;4.69;7.03;3.52;5.86;5.47;1.95;3.32;2.54;3.71;1.76;0.59;0.39;0.0;4.69;7.81;5.47;9.38;3.91;7.03;6.64;2.15;4.1;3.32;5.27;2.34;0.78;1.56;0.0
14;0.07470614827275276;0.6838;0.07139870952069759;0.6895;3.12;4.69;4.69;7.03;3.52;5.86;5.47;1.95;3.32;2.54;3.71;1.76;0.59;0.39;0.0;4.69;7.81;5.47;9.38;3.91;7.03;6.64;2.15;3.91;3.12;5.27;2.34;0.78;1.56;0.0
