;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.08536015616059303;0.5641;0.0797825153619051;0.62;3.12;6.25;3.91;7.03;2.34;3.52;3.12;1.56;2.15;1.17;1.17;0.39;0.2;0.39;0.0;7.81;26.56;19.53;32.03;21.09;33.2;31.64;19.92;29.1;25.59;34.38;23.63;7.62;31.25;50.0
1;0.08210639056563378;0.6199;0.07824191108345985;0.6335;6.25;7.81;5.47;7.81;2.34;3.52;2.73;0.78;0.78;0.59;0.39;0.39;0.39;1.17;50.0;25.0;40.62;29.69;39.06;19.14;31.25;28.52;11.91;12.3;9.96;5.47;4.69;4.88;21.88;50.0
2;0.07616546336859464;0.6784;0.06913104487955571;0.7145;9.38;10.94;7.03;8.59;2.73;4.3;3.52;0.78;0.78;0.78;0.39;0.59;0.59;1.17;50.0;40.62;39.06;32.03;36.72;13.28;25.39;21.88;5.08;4.69;5.66;2.34;3.12;4.69;17.97;50.0
3;0.07235556423217059;0.7028;0.07286650487780572;0.6755;12.5;12.5;7.81;9.38;2.34;3.12;2.73;0.78;0.78;0.98;0.39;0.59;0.78;1.56;50.0;53.12;37.5;31.25;31.25;9.38;19.14;18.36;3.12;2.93;5.66;1.76;2.93;5.08;16.02;50.0
4;0.0686417682364583;0.7278;0.06136602686345577;0.7665;14.06;14.06;9.38;9.38;2.73;3.52;3.12;0.78;0.78;0.98;0.59;0.78;0.98;1.95;50.0;59.38;32.81;30.47;25.0;7.42;13.67;16.02;2.73;2.54;6.05;1.76;3.32;5.86;15.23;50.0
5;0.06546646403968334;0.747;0.06166567561775446;0.7705;15.62;15.62;10.16;9.38;2.73;3.91;3.52;0.98;0.78;1.37;0.78;0.98;1.17;2.34;0.0;64.06;32.81;29.69;21.09;6.25;10.94;14.45;2.15;1.95;5.66;1.95;3.32;6.25;13.67;50.0
6;0.06379749709367752;0.7551;0.058205542214214805;0.786;18.75;15.62;10.16;9.38;3.12;4.3;3.91;0.98;0.78;1.37;0.98;1.17;1.37;2.73;0.0;67.19;29.69;29.69;18.75;6.25;10.16;14.45;1.95;1.76;6.25;2.54;4.1;6.45;13.28;0.0
7;0.06210864351987839;0.7629;0.05721570695191622;0.7885;20.31;15.62;10.94;9.38;3.12;4.3;3.91;0.98;0.78;1.56;1.17;1.17;1.56;3.12;0.0;68.75;28.12;28.12;16.41;5.86;9.38;13.28;1.76;1.56;6.45;3.32;4.88;6.45;13.28;0.0
8;0.06018040268570185;0.7763;0.05583347211033106;0.808;21.88;17.19;10.94;10.16;3.12;4.69;4.3;0.98;0.78;1.76;1.37;1.37;1.76;3.52;0.0;70.31;26.56;28.12;15.62;6.25;9.38;12.89;1.56;1.56;6.25;3.71;5.27;6.25;12.89;0.0
9;0.05803627903535962;0.7862;0.05094731774926185;0.8165;23.44;18.75;11.72;10.16;3.52;4.69;4.69;0.98;0.78;1.95;1.56;1.37;1.95;3.91;0.0;71.88;26.56;28.91;14.84;6.25;9.38;12.5;1.56;1.56;6.25;3.91;5.08;5.66;11.72;0.0
10;0.05676887029781938;0.792;0.053607279263436794;0.821;25.0;20.31;12.5;10.94;3.52;5.08;5.08;1.17;0.98;1.95;1.56;1.56;1.95;4.3;0.0;71.88;26.56;29.69;14.06;6.25;9.38;12.89;1.76;1.56;5.86;3.52;4.69;5.66;11.72;0.0
11;0.05543555540293455;0.8001;0.04814975142478943;0.823;25.0;20.31;13.28;10.94;3.91;5.47;5.08;1.17;0.98;1.95;1.56;1.56;2.15;4.3;0.0;73.44;25.0;30.47;14.06;6.64;9.38;12.5;1.76;1.37;5.47;3.32;4.69;5.27;11.72;0.0
12;0.053032050038129094;0.8135;0.04895255605503917;0.8305;26.56;20.31;14.06;10.94;4.3;5.47;5.47;1.17;0.98;2.15;1.56;1.56;2.15;4.69;0.0;73.44;25.0;31.25;13.28;6.64;9.38;12.11;1.76;1.37;5.27;3.12;4.3;4.69;12.11;0.0
13;0.05115153241753578;0.8196;0.046383331282064316;0.836;28.12;21.88;14.84;10.94;4.3;5.47;5.47;1.17;0.98;1.95;1.56;1.56;1.95;4.69;0.0;73.44;25.0;31.25;12.5;7.03;8.98;12.11;1.76;1.37;4.88;2.73;3.91;4.1;12.11;0.0
14;0.05101257596462965;0.8241;0.04788077035546303;0.846;29.69;21.88;15.62;10.94;4.69;5.86;5.86;1.17;0.98;2.15;1.56;1.76;2.15;5.08;0.0;73.44;23.44;32.81;12.5;7.03;8.98;12.11;1.76;1.17;4.69;2.73;3.52;3.52;12.11;0.0
15;0.048042196215689184;0.8377;0.044161441590636966;0.844;31.25;21.88;16.41;10.94;4.69;6.25;6.25;1.37;0.98;2.15;1.76;1.76;2.15;5.47;0.0;73.44;23.44;33.59;12.5;7.03;8.98;11.72;1.76;1.17;4.69;2.54;3.52;3.32;12.11;0.0
16;0.047379707795381545;0.8426;0.04416469449922442;0.8635;31.25;21.88;17.19;11.72;5.08;6.25;6.25;1.37;0.98;2.34;1.76;1.76;1.95;5.47;0.0;73.44;23.44;33.59;11.72;7.03;8.59;11.72;1.76;1.17;4.49;2.54;3.52;2.93;12.11;0.0
17;0.04654122321158648;0.8476;0.04514744203165173;0.8485;32.81;21.88;17.97;11.72;5.08;6.25;6.64;1.37;0.98;2.34;1.76;1.95;1.95;5.86;0.0;73.44;23.44;34.38;11.72;7.42;8.59;11.33;1.95;1.17;4.49;2.34;3.32;2.73;12.11;0.0
18;0.045757709007710215;0.8542;0.04367121258750558;0.854;34.38;21.88;18.75;11.72;5.08;6.64;6.64;1.56;0.98;2.54;1.56;1.95;1.95;6.25;0.0;73.44;23.44;35.16;11.72;7.42;8.59;10.55;2.15;1.17;4.49;2.15;3.32;2.54;11.72;0.0
19;0.04405576259642839;0.8572;0.043009988088160755;0.85;35.94;21.88;19.53;11.72;5.47;6.64;7.03;1.56;0.98;2.54;1.56;1.95;1.76;6.25;0.0;73.44;23.44;35.16;11.72;7.42;8.2;10.16;2.15;1.17;4.3;2.15;3.12;2.34;12.11;0.0
