"";"eval-saturation_classifier-2";"eval-saturation_classifier-6";"eval-saturation_features-0";"eval-saturation_features-10";"eval-saturation_features-14";"eval-saturation_features-17";"eval-saturation_features-20";"eval-saturation_features-24";"eval-saturation_features-27";"eval-saturation_features-3";"eval-saturation_features-30";"eval-saturation_features-34";"eval-saturation_features-37";"eval-saturation_features-40";"eval-saturation_features-7";"test_accuracy";"test_loss";"train-saturation_classifier-2";"train-saturation_classifier-6";"train-saturation_features-0";"train-saturation_features-10";"train-saturation_features-14";"train-saturation_features-17";"train-saturation_features-20";"train-saturation_features-24";"train-saturation_features-27";"train-saturation_features-3";"train-saturation_features-30";"train-saturation_features-34";"train-saturation_features-37";"train-saturation_features-40";"train-saturation_features-7";"training_accuracy";"training_loss"
"0";"25.39";"50.0";"3.12";"10.94";"5.08";"16.02";"17.19";"10.94";"30.47";"6.25";"30.27";"50.59";"51.56";"42.77";"4.69";"0.5562";"0.03852666559815407";"69.92";"50.0";"23.44";"36.72";"23.05";"39.45";"37.5";"26.56";"49.02";"28.12";"47.85";"65.62";"69.53";"66.21";"23.44";"0.40284";"0.05077023966789246"
"1";"23.44";"60.0";"4.69";"14.84";"7.03";"19.92";"21.48";"12.89";"33.4";"10.94";"33.01";"53.71";"53.91";"45.12";"7.81";"0.6551";"0.030546844744682312";"65.23";"60.0";"35.94";"36.72";"24.22";"41.41";"39.06";"27.15";"48.44";"32.81";"46.88";"64.06";"67.19";"62.5";"25.0";"0.56908";"0.03780969164252281"
"2";"22.27";"60.0";"6.25";"16.41";"8.59";"22.66";"24.22";"14.26";"34.77";"14.06";"34.38";"54.69";"54.69";"45.9";"9.38";"0.7153";"0.025470722979307175";"62.5";"60.0";"42.19";"35.16";"24.22";"42.19";"39.84";"27.73";"48.63";"34.38";"46.68";"63.48";"65.62";"60.55";"25.0";"0.65078";"0.03126265314459801"
"3";"20.31";"70.0";"9.38";"17.97";"9.77";"24.61";"26.56";"15.43";"35.94";"17.19";"35.16";"55.27";"55.08";"45.7";"10.16";"0.7464";"0.023060262402892114";"60.55";"70.0";"48.44";"33.59";"24.61";"42.58";"40.62";"28.71";"49.02";"34.38";"46.88";"63.28";"64.84";"58.98";"24.22";"0.70124";"0.026973962681889535"
"4";"19.53";"70.0";"10.94";"18.75";"10.55";"26.17";"28.12";"16.41";"36.72";"18.75";"35.94";"55.86";"55.47";"45.7";"10.94";"0.7798";"0.02018676680922508";"58.59";"70.0";"51.56";"32.03";"24.61";"42.97";"41.41";"29.49";"49.22";"34.38";"46.88";"63.09";"64.26";"57.81";"24.22";"0.73198";"0.02422383386015892"
"5";"19.14";"70.0";"12.5";"18.75";"11.33";"27.73";"29.3";"17.38";"37.7";"20.31";"36.52";"56.45";"55.66";"45.7";"11.72";"0.7814";"0.01938879700601101";"57.03";"70.0";"54.69";"30.47";"24.61";"43.36";"41.8";"30.08";"49.41";"32.81";"47.07";"62.89";"63.87";"56.84";"24.22";"0.75482";"0.02227280873477459"
"6";"19.14";"70.0";"14.06";"19.53";"11.72";"28.52";"30.47";"18.16";"38.48";"21.88";"37.11";"56.84";"55.86";"45.7";"12.5";"0.7963";"0.01858120754957199";"55.47";"70.0";"56.25";"28.91";"24.61";"43.36";"42.19";"30.86";"49.8";"32.81";"47.27";"62.89";"63.48";"56.05";"23.44";"0.7761";"0.020383368332982064"
"7";"19.14";"70.0";"15.62";"19.53";"12.11";"29.69";"31.25";"18.75";"39.06";"23.44";"37.5";"57.03";"56.05";"45.7";"13.28";"0.8113";"0.0170567238047719";"54.3";"70.0";"59.38";"27.34";"25.0";"43.36";"42.58";"31.64";"50.0";"31.25";"47.46";"62.89";"63.09";"55.47";"23.44";"0.79212";"0.01919218263179064"
"8";"19.53";"70.0";"17.19";"19.53";"12.5";"30.47";"32.03";"19.53";"39.65";"25.0";"38.09";"57.23";"56.25";"45.7";"13.28";"0.8206";"0.01643092358931899";"53.12";"70.0";"60.94";"26.56";"25.0";"43.75";"42.58";"32.23";"50.39";"31.25";"47.66";"62.89";"62.89";"54.88";"23.44";"0.80376";"0.017912477085590364"
"9";"19.92";"70.0";"18.75";"19.53";"12.89";"31.25";"32.81";"20.31";"40.23";"25.0";"38.67";"57.42";"56.45";"45.9";"14.06";"0.8214";"0.016301471963524817";"52.34";"70.0";"62.5";"25.78";"25.0";"43.75";"42.97";"33.01";"50.78";"31.25";"48.05";"62.7";"62.89";"54.49";"22.66";"0.8186";"0.0166576793974638"
"10";"20.31";"70.0";"20.31";"20.31";"13.67";"31.64";"33.59";"20.9";"40.82";"26.56";"39.26";"57.42";"56.64";"46.09";"14.06";"0.8358";"0.014847947473824024";"51.56";"70.0";"62.5";"25.0";"25.39";"43.75";"43.36";"33.59";"51.17";"31.25";"48.44";"62.7";"62.7";"54.1";"22.66";"0.82794";"0.015954641108512878"
"11";"20.31";"70.0";"21.88";"20.31";"14.06";"32.42";"33.98";"21.48";"41.41";"26.56";"39.65";"57.62";"56.84";"46.09";"14.84";"0.8347";"0.01510935035198927";"51.17";"70.0";"64.06";"25.0";"25.39";"43.75";"43.75";"34.38";"51.37";"31.25";"48.63";"62.7";"62.7";"53.91";"22.66";"0.83632";"0.014986156771481038"
