;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-7;training_accuracy;training_loss
0;1.56;50.0;4.69;5.47;2.34;3.12;3.91;1.56;1.76;6.25;1.37;1.17;0.98;0.59;3.91;0.59;0.03736272032260895;23.44;60.0;32.81;29.69;20.31;30.47;35.55;19.14;23.63;40.62;19.53;16.41;8.98;5.66;25.0;0.47112;0.04584809209108353
1;2.73;60.0;9.38;7.03;3.52;4.69;6.64;2.93;2.93;9.38;2.54;1.56;1.17;0.98;6.25;0.6925;0.027271966925263406;18.36;60.0;56.25;24.22;18.75;20.7;30.08;16.8;19.73;40.62;17.58;7.42;3.12;4.49;28.12;0.6394;0.03229214593589306
2;3.91;60.0;12.5;7.81;3.91;5.47;8.59;3.71;4.1;10.94;3.52;1.56;1.17;1.17;7.03;0.7503;0.023110210996866228;17.19;60.0;64.06;24.22;18.75;16.41;27.73;17.38;18.36;35.94;17.38;4.69;1.95;4.1;31.25;0.709;0.02670413637280464
3;5.08;60.0;14.06;8.59;4.69;5.86;10.16;4.49;4.88;10.94;4.3;1.76;1.17;1.37;8.59;0.7823;0.020120151664316653;16.41;70.0;68.75;25.0;19.14;14.84;25.78;17.97;17.38;32.81;17.58;3.52;1.37;3.52;32.81;0.75136;0.023169494555592536
4;5.86;70.0;17.19;9.38;5.47;6.64;11.33;5.08;5.66;10.94;5.08;1.76;1.17;1.37;9.38;0.8085;0.018128843225538732;16.02;70.0;71.88;25.78;19.53;14.06;24.61;18.16;16.99;29.69;17.97;2.93;1.17;3.52;34.38;0.78366;0.020428590370416642
5;6.64;60.0;18.75;10.16;5.86;7.42;12.5;5.47;6.05;12.5;5.66;1.76;1.17;1.56;10.16;0.8312;0.01574042058736086;16.02;70.0;71.88;25.78;20.31;14.06;24.61;18.36;16.8;26.56;18.16;2.73;1.17;3.32;35.16;0.8082;0.01828383813858032
6;7.42;70.0;20.31;10.94;6.64;7.81;13.28;5.86;6.64;12.5;6.25;1.76;1.17;1.56;10.94;0.833;0.01599717783331871;15.62;70.0;71.88;25.78;21.09;14.06;24.22;18.36;16.21;25.0;18.16;2.73;1.17;3.12;35.94;0.8292;0.016442481596171857
7;7.81;70.0;21.88;11.72;7.03;8.2;14.06;6.25;6.84;12.5;6.84;1.76;1.17;1.76;11.72;0.8342;0.0160706211194396;15.23;70.0;71.88;25.78;21.48;14.06;24.22;18.36;15.62;25.0;18.55;2.73;1.17;2.93;37.5;0.845;0.014987130533754826
8;8.2;70.0;21.88;12.5;7.81;8.98;14.84;6.84;7.23;14.06;7.23;1.95;1.17;1.76;12.5;0.8629;0.012871789263933897;15.23;70.0;70.31;25.0;21.88;14.06;24.22;18.36;15.04;23.44;18.55;2.73;1.17;2.73;37.5;0.85766;0.013488301195949315
9;8.98;70.0;23.44;13.28;8.2;9.38;15.62;7.23;7.62;14.06;7.81;1.95;1.17;1.76;13.28;0.8619;0.01284244577512145;14.84;70.0;70.31;25.78;22.66;14.06;23.83;18.36;14.45;21.88;18.55;2.73;1.17;2.73;38.28;0.87026;0.012458401522934436
10;8.98;70.0;23.44;13.28;8.98;10.16;16.02;7.62;7.81;14.06;8.2;2.15;1.17;1.95;14.06;0.876;0.011760687149316072;14.45;70.0;68.75;25.0;23.05;14.45;24.22;18.36;14.06;21.88;18.55;2.54;1.17;2.73;39.06;0.8815;0.0114463765001297
11;9.38;60.0;25.0;14.06;9.38;10.55;16.41;8.01;8.01;14.06;8.79;2.15;1.17;1.95;14.84;0.8648;0.012588935208320618;14.45;70.0;68.75;25.0;23.83;14.84;24.22;18.55;13.87;20.31;18.55;2.54;1.17;2.73;39.06;0.89126;0.010513340083658696
12;9.77;60.0;25.0;14.84;10.16;10.94;17.19;8.2;8.2;15.62;8.98;2.15;1.17;1.95;15.62;0.8663;0.012931284312903881;14.06;70.0;67.19;25.0;24.22;14.84;24.22;18.75;13.48;20.31;18.55;2.54;1.17;2.73;39.06;0.89738;0.009739181714355945
13;9.77;60.0;26.56;14.84;10.55;11.33;17.58;8.59;8.4;15.62;9.38;2.15;1.17;2.15;16.41;0.8798;0.011340956565737725;14.06;70.0;67.19;25.0;24.61;15.23;24.22;18.75;13.28;20.31;18.55;2.54;1.17;2.93;39.84;0.90446;0.009213234354257584
14;10.16;60.0;28.12;15.62;11.33;11.72;17.97;8.98;8.79;15.62;9.57;2.15;1.17;2.15;16.41;0.8854;0.011029331005364656;14.06;70.0;65.62;25.0;25.39;15.23;24.61;18.95;13.28;18.75;18.55;2.54;1.17;2.93;39.84;0.91318;0.008389513580501079
15;10.16;60.0;28.12;15.62;11.72;12.11;18.36;9.18;8.79;15.62;9.96;2.15;1.17;2.15;17.19;0.8841;0.01087612336948514;14.06;70.0;65.62;25.0;25.78;15.62;24.61;19.14;13.09;18.75;18.55;2.34;1.17;2.93;39.84;0.91984;0.007807963699549437
16;10.55;70.0;28.12;16.41;12.11;12.5;18.75;9.57;8.98;15.62;10.16;2.34;1.17;2.15;17.97;0.8929;0.01025616626739502;14.06;70.0;64.06;25.0;26.17;15.62;24.61;19.14;12.89;18.75;18.36;2.34;1.17;2.73;39.84;0.92294;0.00727572967544198
17;10.55;70.0;29.69;16.41;12.89;12.89;19.14;9.96;9.18;15.62;10.35;2.34;1.17;2.34;18.75;0.8956;0.009901072669029235;13.67;70.0;64.06;24.22;26.56;16.02;24.61;19.34;12.89;18.75;18.36;2.34;1.17;2.73;39.84;0.92624;0.007016773208379745
18;10.94;70.0;29.69;17.19;13.28;13.28;19.53;10.16;9.38;15.62;10.55;2.15;1.17;2.34;19.53;0.8921;0.010905728124827147;13.67;70.0;62.5;24.22;26.95;16.02;24.61;19.53;12.89;18.75;18.16;2.34;1.17;2.73;39.84;0.93094;0.006542228553593159
19;10.94;70.0;29.69;17.19;13.67;13.28;19.92;10.55;9.57;17.19;10.74;2.15;1.17;2.34;19.53;0.8985;0.009889267668873072;13.67;70.0;62.5;24.22;27.34;16.41;24.61;19.53;12.89;18.75;18.16;2.34;1.17;2.73;39.84;0.93668;0.005970164538770914
