;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-7;training_accuracy;training_loss
0;32.81;6.0;3.12;10.94;6.25;16.41;20.31;13.48;31.25;7.81;34.57;52.93;52.73;48.63;5.47;0.1278;0.11766455895900726;70.7;29.0;15.62;34.38;22.27;35.94;37.5;26.76;47.07;29.69;49.8;65.62;67.97;66.8;21.88;0.07198;0.12961901391983033
1;31.25;11.0;4.69;17.19;8.98;20.7;24.61;15.23;33.59;12.5;36.13;53.91;53.91;50.2;8.59;0.1901;0.1061702763080597;66.8;20.0;21.88;37.5;25.0;39.45;40.23;27.73;46.88;35.94;48.83;64.06;65.43;63.87;25.0;0.13714;0.11479690579414367
2;30.08;13.0;6.25;21.09;10.94;23.83;27.34;16.41;34.96;17.19;37.11;54.49;54.1;50.59;11.72;0.2482;0.09617915806770325;65.23;19.0;29.69;39.06;26.56;41.41;42.19;28.71;47.46;40.62;48.63;62.89;64.26;62.7;26.56;0.18446;0.1054436317539215
3;29.3;16.0;7.81;23.44;12.5;26.56;29.3;17.19;36.13;20.31;37.7;54.69;54.3;50.78;14.06;0.295;0.08731053233146667;64.06;21.0;34.38;39.06;27.34;42.97;43.36;29.49;48.05;42.19;48.63;62.5;63.67;61.91;28.12;0.23102;0.09717127567768097
4;29.69;17.0;9.38;25.0;13.67;28.52;30.86;17.97;37.11;21.88;38.48;54.88;54.88;51.56;15.62;0.3244;0.08158030833005905;63.28;22.0;39.06;38.28;28.12;44.53;44.14;30.27;48.83;43.75;49.22;62.11;63.48;61.52;28.91;0.27368;0.09008845809698104
5;30.08;19.0;10.94;25.78;14.06;30.47;32.03;18.55;38.09;25.0;39.26;55.08;55.27;51.95;16.41;0.3694;0.07530946209430694;62.89;23.0;42.19;37.5;28.52;45.7;44.92;31.25;49.8;43.75;49.8;62.11;63.48;61.52;29.69;0.31108;0.0841067398929596
6;30.47;20.0;12.5;26.56;14.84;32.03;33.59;19.53;39.06;25.0;40.23;55.47;55.86;52.54;17.97;0.3924;0.07155392459630966;62.11;24.0;45.31;36.72;28.91;46.48;45.7;32.42;50.59;43.75;50.59;62.11;63.48;61.52;30.47;0.34198;0.07900999089717865
7;31.25;21.0;14.06;27.34;15.23;33.59;34.77;20.51;40.23;26.56;41.41;56.05;56.45;53.32;17.97;0.413;0.0691458202958107;61.33;24.0;48.44;35.94;28.91;47.27;46.48;33.4;51.56;43.75;51.37;62.3;63.48;61.52;30.47;0.37088;0.07481833236932754
8;32.03;21.0;15.62;27.34;15.62;34.77;35.94;21.09;41.21;28.12;42.19;56.45;57.03;53.91;18.75;0.4308;0.06609659659862518;60.55;25.0;50.0;35.16;28.91;48.05;47.27;34.38;52.34;42.19;52.15;62.3;63.87;61.72;30.47;0.39752;0.0713041563653946
9;32.81;22.0;17.19;27.34;16.02;35.94;36.72;21.88;41.99;29.69;43.16;56.84;57.62;54.49;19.53;0.47;0.061310321485996244;60.16;26.0;53.12;34.38;28.91;48.44;47.66;35.35;53.12;42.19;52.73;62.5;64.06;61.91;30.47;0.42212;0.06781976424217225
