;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.12392132766246795;0.08062;0.11583019461631774;0.1063;3.12;6.25;3.91;7.03;1.95;3.91;3.52;1.37;1.56;1.37;1.17;0.98;0.78;1.95;8.0;25.0;45.31;33.59;42.97;21.09;37.5;33.98;19.14;24.41;19.53;17.77;9.96;6.84;30.86;41.0
1;0.10683330216884614;0.15206;0.09676807556152343;0.21;7.81;10.94;7.81;8.59;3.52;6.25;6.25;2.54;2.93;2.34;1.76;1.17;1.17;3.12;15.0;51.56;50.0;36.72;30.47;17.19;30.86;27.34;15.43;20.12;15.04;9.57;3.71;5.27;25.78;49.0
2;0.09633128221035003;0.20824;0.08894694790840149;0.2498;9.38;12.5;9.38;10.16;4.69;8.59;8.59;3.52;4.3;3.32;1.76;1.17;1.37;4.69;21.0;60.94;46.88;36.72;25.78;16.41;26.95;26.56;15.04;18.95;14.26;6.25;2.15;4.88;23.83;50.0
3;0.08852103060245514;0.25688;0.08145747117996216;0.2965;14.06;12.5;10.16;10.94;5.47;10.16;10.94;4.49;5.66;4.3;1.95;1.17;1.56;5.86;24.0;65.62;40.62;37.5;24.22;17.19;23.44;26.17;15.62;19.34;14.65;4.88;1.76;4.49;22.27;50.0
4;0.08259590062379837;0.29604;0.0752937254667282;0.3426;15.62;14.06;11.72;10.94;6.25;11.72;12.89;5.47;7.03;5.08;1.95;1.17;1.56;6.64;26.0;65.62;37.5;39.06;23.44;17.58;21.48;26.17;16.02;19.92;15.04;3.91;1.56;4.69;21.48;49.0
5;0.07778523227214813;0.32956;0.07183543682098388;0.3732;17.19;14.06;12.5;11.72;6.64;12.5;14.45;6.05;8.4;5.86;1.95;1.17;1.76;7.03;28.0;64.06;34.38;39.84;22.66;18.36;21.09;26.56;16.6;20.31;15.43;3.32;1.37;4.88;20.31;48.0
6;0.07325205847740174;0.36504;0.06801731292009354;0.3994;17.19;14.06;13.28;12.5;7.42;13.67;16.02;6.64;9.38;6.45;1.95;1.17;1.95;7.81;29.0;62.5;31.25;40.62;22.66;19.14;20.7;26.56;16.99;20.51;15.82;2.73;1.17;4.88;19.14;47.0
7;0.06962159179925918;0.39168;0.06364419355392456;0.4338;18.75;14.06;14.06;13.28;8.2;14.06;17.19;7.23;10.55;7.23;1.76;1.17;1.95;8.2;30.0;60.94;28.12;41.41;22.66;19.53;20.7;26.56;17.58;20.7;16.41;2.34;1.17;4.88;18.36;46.0
8;0.06606359704256058;0.42286;0.06357681740522385;0.4427;18.75;14.06;14.84;14.06;8.59;14.84;17.97;7.81;11.52;8.01;1.76;1.17;2.15;8.59;30.0;57.81;26.56;41.41;22.66;20.31;20.7;26.95;17.97;20.9;16.8;2.15;1.17;4.69;17.58;45.0
9;0.06303078622817992;0.44374;0.06143421733379364;0.465;20.31;14.06;15.62;14.84;9.38;15.62;19.14;8.2;12.3;8.79;1.76;1.17;2.15;8.98;30.0;56.25;25.0;42.19;22.66;21.09;20.7;26.95;18.55;21.09;17.38;1.95;1.17;4.49;16.8;45.0
10;0.06032021317958832;0.46726;0.058747329616546634;0.4816;20.31;15.62;16.41;14.84;9.77;16.02;19.92;8.79;13.09;9.38;1.56;1.17;2.34;8.98;30.0;54.69;23.44;42.19;22.66;21.48;21.09;27.34;18.95;21.29;17.77;1.76;1.17;4.49;16.41;44.0
11;0.057595608382225036;0.49042;0.057141179358959196;0.5021;20.31;15.62;17.19;15.62;10.55;16.8;20.7;9.57;13.87;10.16;1.56;1.17;2.34;9.38;30.0;53.12;21.88;42.97;22.66;22.27;21.09;27.34;19.53;21.68;18.16;1.76;1.17;4.49;15.62;43.0
12;0.05544555714845657;0.50694;0.05469466228485107;0.5228;21.88;15.62;17.97;16.41;10.94;17.19;21.09;9.96;14.65;10.55;1.56;1.17;2.54;9.38;30.0;51.56;21.88;42.97;22.66;23.05;21.48;27.73;20.12;21.88;18.55;1.56;1.17;4.49;15.23;43.0
13;0.05284961745619774;0.53018;0.054189292562007906;0.5281;21.88;15.62;17.97;16.41;11.72;17.58;21.88;10.55;15.23;11.13;1.56;1.17;2.54;9.77;30.0;50.0;20.31;42.19;22.66;23.44;21.88;27.73;20.7;22.27;18.95;1.56;1.17;4.49;14.84;43.0
14;0.05031592252016068;0.55158;0.051512063455581666;0.5528;21.88;15.62;18.75;17.19;12.11;18.36;22.66;11.13;16.02;11.72;1.56;1.17;2.73;9.77;30.0;48.44;20.31;42.19;22.66;24.22;21.88;28.12;21.29;22.66;19.34;1.56;1.17;4.49;14.84;43.0
15;0.0480306290781498;0.56884;0.05066085140705109;0.5558;21.88;15.62;19.53;17.97;12.89;18.75;23.05;11.72;16.6;12.3;1.56;1.17;2.73;9.77;31.0;46.88;18.75;42.97;21.88;24.61;22.27;28.12;22.07;22.85;19.73;1.56;1.17;4.49;14.45;43.0
16;0.045803046857118605;0.58766;0.05012576270699501;0.5724;21.88;15.62;20.31;17.97;13.28;19.14;23.44;12.3;17.19;12.89;1.56;1.17;2.93;9.77;31.0;45.31;18.75;42.97;21.88;25.39;22.66;28.52;22.66;23.24;19.92;1.56;1.17;4.49;14.45;42.0
17;0.044076227195262906;0.60274;0.04876797742843628;0.577;21.88;15.62;20.31;17.97;13.67;19.53;24.22;12.89;17.77;13.28;1.56;1.17;3.12;10.16;31.0;43.75;18.75;42.97;21.88;25.78;22.66;28.52;23.05;23.63;20.31;1.56;1.17;4.49;14.06;42.0
18;0.04201017158746719;0.62234;0.047794255006313326;0.5931;21.88;15.62;21.09;18.75;14.45;19.92;24.61;13.48;18.36;13.87;1.56;1.17;3.12;10.16;31.0;43.75;17.19;42.97;21.88;26.17;23.05;28.52;23.63;24.02;20.7;1.56;1.17;4.49;14.06;42.0
19;0.04053511184930801;0.63296;0.04798199597001076;0.5884;21.88;15.62;21.88;18.75;14.84;20.31;25.0;14.06;18.95;14.26;1.56;1.17;3.12;10.16;31.0;42.19;17.19;42.97;21.88;26.56;23.05;28.91;24.22;24.22;21.09;1.56;1.17;4.49;14.06;42.0
20;0.03903651297926903;0.64584;0.047610889244079586;0.5997;21.88;15.62;21.88;18.75;15.23;20.7;25.39;14.45;19.53;14.84;1.56;1.17;3.32;10.16;31.0;40.62;17.19;42.97;21.88;27.34;23.44;28.91;24.8;24.61;21.29;1.56;1.17;4.49;13.67;42.0
21;0.037221150675415995;0.66238;0.04673415439128876;0.6051;23.44;15.62;22.66;18.75;15.62;21.09;25.39;15.04;19.92;15.23;1.76;1.17;3.32;10.55;31.0;40.62;17.19;42.97;21.09;27.34;23.44;29.3;25.2;25.0;21.68;1.56;1.17;4.49;13.67;42.0
22;0.03572569386780262;0.67522;0.047467991876602174;0.6012;23.44;15.62;22.66;18.75;16.41;21.48;25.78;15.62;20.51;15.62;1.76;1.17;3.32;10.55;31.0;39.06;15.62;42.97;21.09;27.73;23.83;29.3;25.78;25.2;21.88;1.56;1.17;4.49;13.67;42.0
23;0.03444511847019196;0.68576;0.04691327822804451;0.614;23.44;15.62;23.44;19.53;16.8;21.48;26.17;16.02;20.9;16.02;1.76;1.17;3.52;10.55;31.0;39.06;15.62;42.97;21.09;28.12;23.83;29.3;26.37;25.59;22.27;1.76;1.17;4.3;13.67;42.0
