;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.007988585815429687;0.06712;0.008015944480895995;0.0883;3.12;7.81;5.47;7.81;3.12;5.47;3.91;1.37;1.56;0.98;0.78;0.59;0.39;1.56;4.0;6.25;21.88;15.62;25.0;11.33;20.7;18.36;3.91;4.49;2.15;1.37;1.37;1.17;21.09;13.0
1;0.006855561337471008;0.1394;0.007387744998931885;0.1316;4.69;14.06;8.59;10.94;5.08;8.2;7.03;2.54;2.54;1.56;0.98;0.98;0.78;2.34;8.0;9.38;31.25;21.09;28.12;14.06;25.39;22.66;6.45;7.03;3.32;1.56;1.76;1.56;14.45;16.0
2;0.006202435598373413;0.19062;0.007082833409309387;0.1531;6.25;18.75;10.94;12.5;6.25;10.94;10.55;3.52;3.71;2.15;1.17;0.98;0.78;3.12;11.0;12.5;35.94;23.44;26.56;15.62;26.95;25.78;8.2;8.4;4.3;1.56;1.76;1.76;13.28;17.0
3;0.005754570631980896;0.23492;0.006597344899177552;0.1908;7.81;21.88;12.5;14.06;6.64;12.5;13.67;4.49;4.69;2.73;1.17;0.98;0.98;3.91;12.0;15.62;37.5;25.0;25.78;16.02;27.34;28.52;9.38;9.77;4.88;1.56;1.56;1.76;12.5;18.0
4;0.005346978330612182;0.27762;0.006060679531097412;0.2387;9.38;23.44;13.28;14.06;7.42;14.45;16.02;5.27;5.66;3.32;1.37;0.98;1.17;4.3;14.0;20.31;39.06;26.56;24.22;16.41;27.34;30.86;10.74;10.94;5.47;1.56;1.56;1.76;12.11;18.0
5;0.005044561519622803;0.30918;0.005303244352340699;0.3047;10.94;25.0;14.06;14.84;8.2;16.02;18.36;6.05;6.64;3.91;1.37;1.17;1.37;4.69;15.0;23.44;39.06;27.34;23.44;16.8;26.95;32.81;11.72;11.72;6.05;1.56;1.56;1.76;11.33;19.0
6;0.0047586392402648925;0.34304;0.0055780062913894654;0.2951;12.5;26.56;14.84;14.84;8.59;16.8;20.31;6.64;7.42;4.3;1.37;1.17;1.56;5.08;16.0;26.56;39.06;28.12;23.44;17.19;26.95;34.38;12.7;12.7;6.64;1.56;1.37;1.95;10.55;19.0
7;0.004518901147842407;0.3687;0.005116958355903626;0.3345;14.06;26.56;14.84;15.62;8.98;17.97;21.88;7.42;8.2;4.88;1.37;0.98;1.56;5.47;16.0;29.69;39.06;28.91;22.66;17.58;26.95;35.94;13.67;13.67;7.42;1.56;1.37;1.95;10.16;19.0
8;0.0042824504995346065;0.39704;0.005368662309646607;0.3347;15.62;28.12;15.62;15.62;9.38;18.36;23.83;8.01;9.18;5.47;1.37;0.98;1.76;5.47;17.0;31.25;39.06;29.69;22.66;17.97;26.95;37.11;14.65;14.45;7.81;1.56;1.17;2.15;9.77;20.0
9;0.004096896886825562;0.42336;0.004359932947158814;0.4182;17.19;28.12;16.41;16.41;9.77;19.14;25.39;8.59;9.77;6.05;1.37;0.98;1.76;5.47;17.0;34.38;39.06;30.47;22.66;18.36;26.95;38.28;15.43;15.04;8.4;1.56;1.17;2.15;9.38;20.0
10;0.003900729660987854;0.44598;0.004927060532569885;0.3854;18.75;29.69;17.19;16.41;10.16;19.92;26.95;9.18;10.35;6.64;1.37;0.98;1.76;5.47;17.0;35.94;37.5;30.47;22.66;19.14;26.95;39.06;16.21;15.82;8.98;1.56;1.17;2.15;8.98;20.0
11;0.00370360098361969;0.4732;0.004724835038185119;0.403;20.31;29.69;17.19;17.19;10.94;20.31;28.52;9.77;11.13;7.23;1.37;0.98;1.76;5.47;18.0;35.94;37.5;31.25;21.88;19.53;26.95;40.23;16.99;16.6;9.57;1.56;1.17;2.15;8.2;20.0
12;0.0035761650156974794;0.48762;0.004389366340637207;0.4276;21.88;29.69;17.97;17.19;11.33;21.09;29.69;10.35;11.91;7.81;1.37;0.98;1.95;5.47;18.0;37.5;35.94;31.25;21.88;19.92;26.95;41.02;17.97;17.19;10.35;1.56;1.17;2.34;7.81;20.0
13;0.003423323588371277;0.50808;0.004267001211643219;0.4485;21.88;29.69;18.75;17.97;11.72;21.09;30.47;10.94;12.89;8.4;1.56;0.98;1.95;5.08;18.0;39.06;35.94;32.03;21.88;20.31;26.95;41.41;18.55;17.97;10.94;1.56;1.17;2.34;7.42;20.0
