;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.5054887374925613;0.07682;0.4437336128473282;0.1472;3.12;7.81;5.47;10.16;4.69;12.89;14.84;7.81;21.68;18.75;32.42;27.54;16.21;3.12;8.0;25.0;42.19;27.34;41.41;26.17;42.19;42.19;28.12;47.46;44.53;58.79;57.62;54.49;60.16;44.0
1;0.4493215838766098;0.14094;0.39196081509590147;0.218;6.25;14.06;8.59;14.84;7.03;18.36;19.92;10.16;25.2;22.46;35.35;29.3;16.99;6.25;15.0;43.75;50.0;32.81;40.62;27.73;45.7;44.53;30.27;48.44;44.14;55.86;54.1;49.41;54.3;45.0
2;0.4075594098567963;0.1979;0.3408336945593357;0.2987;7.81;18.75;11.72;16.41;8.59;21.48;23.05;11.91;28.32;24.8;36.52;30.08;16.99;9.38;20.0;56.25;51.56;34.38;37.5;28.52;47.27;46.09;31.84;49.61;44.73;54.49;52.15;46.09;50.78;45.0
3;0.374644014108181;0.24554;0.31326397979855536;0.3499;9.38;21.88;12.5;17.97;9.77;23.83;25.39;13.48;30.66;26.76;36.72;30.47;16.8;12.5;24.0;64.06;51.56;34.38;34.38;28.12;47.66;46.48;33.4;51.17;45.9;53.12;50.59;43.36;48.83;45.0
4;0.34822947509050367;0.2874;0.2885879864811897;0.3826;12.5;23.44;14.06;18.75;10.16;25.39;27.34;14.84;32.81;29.1;36.91;30.86;16.99;15.62;26.0;67.19;51.56;35.16;32.03;27.73;46.88;46.48;34.57;52.34;46.88;51.76;49.22;41.41;47.66;45.0
5;0.32735539423704146;0.3222;0.2731832330703735;0.4149;14.06;25.0;14.84;18.75;10.94;26.17;28.52;15.82;34.77;30.66;37.11;31.45;17.58;17.97;28.0;68.75;50.0;35.94;30.47;27.34;45.7;46.88;35.74;53.71;48.24;50.78;48.44;39.84;46.88;44.0
6;0.3112368437373638;0.35026;0.25761452684998515;0.4484;15.62;25.0;15.62;18.75;10.94;26.56;29.69;16.8;36.13;32.23;37.3;31.64;18.16;19.92;29.0;70.31;50.0;35.94;28.91;26.95;44.92;46.48;36.72;54.69;49.22;49.8;47.27;38.48;46.48;44.0
7;0.2968740480792522;0.37626;0.24756147791147232;0.4618;17.19;26.56;15.62;19.53;11.33;27.34;30.86;17.38;37.5;33.79;37.3;32.03;18.55;21.88;30.0;70.31;48.44;36.72;28.12;26.95;43.75;46.48;37.5;55.27;50.2;48.83;46.48;37.3;46.48;44.0
8;0.2829712440252304;0.40222;0.23388725494146348;0.4911;18.75;26.56;16.41;20.31;11.72;27.73;31.25;18.16;38.48;35.35;36.91;32.23;18.95;23.44;31.0;71.88;46.88;37.5;27.34;26.56;42.58;46.09;38.28;55.86;51.37;47.85;45.9;36.33;46.48;44.0
9;0.2718164031457901;0.42276;0.23012164144515992;0.5021;20.31;28.12;17.97;20.31;11.72;27.73;32.03;18.75;39.26;36.72;36.72;32.62;19.53;25.0;32.0;71.88;45.31;38.28;27.34;26.56;41.8;46.09;38.87;56.25;52.54;47.07;45.12;35.55;46.48;44.0
