;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.5276951497173309;0.04792;0.48962895855903626;0.0794;3.12;4.69;3.91;5.47;1.95;3.52;3.52;1.76;2.93;1.95;1.56;0.78;0.59;1.17;6.0;18.75;28.12;17.97;28.91;13.67;24.61;25.0;12.11;18.95;14.45;13.09;7.81;7.03;20.7;71.0
1;0.49135916589260104;0.08;0.4488555058002472;0.1289;4.69;9.38;6.25;7.81;3.52;6.25;6.25;3.12;4.69;3.12;2.15;0.98;1.17;2.73;12.0;28.12;32.81;21.09;29.69;13.28;28.52;26.95;14.65;23.05;16.41;10.35;5.08;6.64;23.05;67.0
2;0.46574579550266265;0.10968;0.42119163333177567;0.1608;6.25;14.06;8.59;10.16;5.08;8.98;8.59;3.91;6.25;4.1;2.15;1.17;1.37;3.91;17.0;34.38;34.38;21.88;27.34;14.06;29.3;27.73;16.02;25.0;16.99;7.62;3.52;6.25;25.39;64.0
3;0.44348725512981413;0.1361;0.3934756806135178;0.1912;9.38;15.62;10.16;11.72;5.86;11.33;10.55;4.69;7.62;5.08;2.34;1.37;1.76;5.47;20.0;39.06;35.94;24.22;25.78;15.62;29.69;27.34;16.6;26.56;17.77;6.05;2.54;6.05;25.39;61.0
4;0.4182108362555504;0.1668;0.3578042156457901;0.2616;10.94;17.19;11.72;13.28;7.03;13.28;12.5;5.47;9.38;6.05;2.54;1.37;1.95;6.64;23.0;42.19;37.5;27.34;25.0;16.8;30.08;27.73;17.77;28.32;18.55;5.47;2.34;6.05;26.95;58.0
5;0.37519440284252165;0.23212;0.32610359954833984;0.3119;10.94;17.19;12.5;13.28;7.03;13.67;12.89;5.47;9.57;6.05;2.34;1.37;1.95;6.64;22.0;39.06;32.81;25.0;22.66;14.84;26.95;25.0;15.82;26.76;16.41;4.3;1.76;4.88;23.44;52.0
6;0.3665495239639282;0.24616;0.31758089563846587;0.3257;10.94;17.19;12.5;13.28;7.03;13.67;12.89;5.47;9.96;6.05;2.34;1.37;1.76;6.25;21.0;35.94;29.69;22.66;21.09;13.28;23.83;22.66;14.06;25.2;14.65;3.71;1.56;4.1;21.09;45.0
7;0.35854888391256334;0.25674;0.31147328800559043;0.331;10.94;17.19;12.5;12.5;7.03;13.28;12.89;5.47;10.35;6.05;2.15;1.17;1.76;6.25;20.0;32.81;28.12;21.09;19.53;12.11;21.88;21.09;13.09;24.22;13.28;3.32;1.56;3.71;19.14;40.0
8;0.3526626874232292;0.26984;0.30970695682764054;0.339;10.94;17.19;12.5;13.28;7.03;13.28;12.89;5.66;10.74;6.05;2.15;1.17;1.76;5.86;20.0;31.25;26.56;20.31;18.75;11.33;20.31;19.92;12.3;23.63;12.5;2.93;1.37;3.32;17.97;36.0
9;0.34830242359399793;0.2763;0.3035436859309673;0.3519;10.94;17.19;12.5;13.28;7.03;13.28;12.89;5.66;10.94;6.25;2.15;1.17;1.76;5.86;19.0;29.69;25.0;19.53;17.97;10.94;19.53;19.14;11.91;23.05;11.91;2.93;1.37;2.93;16.8;33.0
10;0.33923310321569444;0.28794;0.3003039293408394;0.3599;10.94;17.19;12.5;12.5;7.03;13.28;12.89;5.66;11.13;6.05;2.15;1.17;1.76;5.86;18.0;28.12;23.44;18.75;17.19;10.55;18.36;18.36;11.33;22.46;11.33;2.73;1.37;2.73;15.62;30.0
11;0.3367852550220489;0.29088;0.2947047403752804;0.3718;10.94;15.62;11.72;12.5;7.03;12.89;12.89;5.47;11.13;6.05;1.95;1.17;1.76;5.47;18.0;26.56;21.88;17.19;16.41;9.77;17.58;17.58;10.74;21.88;10.74;2.54;1.37;2.54;14.45;28.0
12;0.3349199659061432;0.29466;0.29326395984888076;0.367;10.94;15.62;11.72;12.5;6.64;12.89;12.5;5.47;11.13;6.05;1.95;1.17;1.76;5.47;17.0;25.0;20.31;16.41;15.62;9.38;16.41;17.19;10.16;21.09;10.16;2.34;1.17;2.34;13.67;26.0
13;0.3358161628222466;0.29568;0.2970699919819832;0.3652;9.38;15.62;11.72;12.5;6.64;12.5;12.5;5.47;10.94;5.86;1.95;1.17;1.76;5.47;17.0;23.44;18.75;15.62;14.84;8.98;15.62;16.41;9.77;20.51;9.77;2.34;1.17;2.34;12.89;25.0
14;0.33327137998342515;0.30052;0.29229059873223306;0.3708;9.38;15.62;11.72;12.5;6.64;12.11;12.5;5.27;10.94;5.86;1.95;1.17;1.56;5.08;17.0;21.88;18.75;14.84;14.84;8.59;15.23;16.02;9.38;20.12;9.38;2.15;1.17;2.15;12.11;24.0
15;0.33203951767683026;0.30338;0.295929896235466;0.3705;9.38;15.62;10.94;11.72;6.64;12.11;12.11;5.27;10.94;5.86;1.76;1.17;1.56;5.08;16.0;20.31;17.19;14.06;14.06;8.59;14.45;15.23;8.98;19.53;8.98;2.15;1.17;2.15;11.72;23.0
16;0.3323580474638939;0.30012;0.29778193011283877;0.356;9.38;15.62;10.94;11.72;6.25;11.72;12.11;5.27;10.94;5.66;1.76;1.17;1.56;4.69;16.0;18.75;17.19;14.06;13.28;8.2;14.06;14.84;8.59;19.14;8.79;2.15;1.17;1.95;10.94;22.0
17;0.33127485832214354;0.30244;0.2950465337693691;0.364;9.38;14.06;10.94;11.72;6.25;11.72;12.11;5.08;10.74;5.66;1.76;1.17;1.56;4.69;16.0;18.75;17.19;13.28;13.28;7.81;13.67;14.45;8.4;18.55;8.4;1.95;1.17;1.95;10.55;22.0
18;0.3324532770371437;0.30118;0.30040460790395734;0.3598;9.38;14.06;10.94;11.72;6.25;11.33;11.72;5.08;10.74;5.66;1.76;1.17;1.56;4.69;15.0;17.19;15.62;13.28;13.28;7.81;13.28;14.06;8.2;18.16;8.2;1.95;1.17;1.76;10.16;21.0
19;0.3319262135601044;0.30206;0.29321991028785704;0.3715;9.38;14.06;10.94;11.72;6.25;11.33;11.72;5.08;10.74;5.47;1.76;1.17;1.37;4.3;15.0;17.19;15.62;12.5;12.5;7.42;12.89;13.67;7.81;17.77;7.81;1.95;1.17;1.76;9.77;21.0
20;0.33194623363018033;0.30388;0.2924597340643406;0.3772;7.81;14.06;10.16;11.72;6.25;10.94;11.72;4.88;10.55;5.47;1.76;1.17;1.37;4.3;15.0;15.62;15.62;11.72;12.5;7.42;12.5;13.67;7.62;17.58;7.62;1.76;1.17;1.76;9.38;20.0
21;0.3318891943526268;0.30142;0.2900799218416214;0.3742;7.81;14.06;10.16;10.94;6.25;10.94;11.33;4.88;10.55;5.47;1.76;1.17;1.37;4.3;15.0;15.62;15.62;11.72;12.5;7.03;12.11;13.28;7.42;17.19;7.42;1.76;1.17;1.56;8.98;20.0
