;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.005335033237934113;0.5744;0.005121299743652344;0.6345;6.25;6.25;7.81;10.94;5.47;15.62;17.97;14.84;34.77;35.16;55.08;57.03;53.91;53.91;50.0;12.5;25.0;21.88;32.81;17.97;33.59;34.38;26.95;52.73;52.34;69.53;74.22;74.22;80.47;50.0
1;0.0050724865317344665;0.6322;0.004791787549853325;0.677;9.38;12.5;10.94;18.75;9.38;20.31;23.44;17.97;40.23;39.06;59.77;60.55;57.03;50.78;0.0;15.62;25.0;23.44;34.38;20.31;34.38;35.16;26.56;51.17;50.0;68.36;71.48;71.09;75.0;50.0
2;0.0047902196705341335;0.6683;0.004704530566930771;0.667;9.38;15.62;15.62;23.44;11.72;22.66;25.78;19.14;41.41;40.62;60.94;60.55;56.64;45.31;0.0;15.62;31.25;25.0;35.94;21.09;35.16;35.94;26.95;50.78;49.22;67.58;69.92;68.75;70.31;50.0
3;0.004523705297708512;0.6935;0.0046618998348712925;0.6835;12.5;18.75;17.19;25.0;13.28;25.0;27.34;20.31;42.19;41.02;61.33;60.55;56.25;41.41;0.0;18.75;31.25;25.0;35.94;21.88;35.16;36.72;27.34;50.39;48.83;66.8;68.75;67.19;67.19;0.0
4;0.004237678182125092;0.7233;0.004230504795908928;0.739;12.5;25.0;18.75;28.12;14.06;27.34;28.91;21.09;42.58;41.02;61.33;60.16;55.47;37.5;0.0;21.88;34.38;26.56;37.5;21.88;36.72;37.5;27.73;50.0;48.83;66.41;67.58;66.02;64.06;0.0
5;0.003965791282057762;0.7481;0.003933180034160614;0.7435;12.5;25.0;18.75;28.12;14.06;27.34;28.91;21.09;42.19;41.02;60.94;59.38;55.08;35.16;0.0;21.88;34.38;25.0;37.5;21.88;35.94;36.72;27.34;49.22;48.05;66.02;66.8;64.84;61.72;0.0
6;0.0038074907600879667;0.7627;0.004001329496502877;0.734;12.5;25.0;18.75;28.12;14.06;27.34;28.91;20.7;41.8;40.62;60.55;58.98;54.3;33.59;0.0;21.88;34.38;23.44;35.94;20.31;35.16;35.94;26.95;48.83;47.27;65.23;66.02;63.67;59.38;0.0
7;0.003759240758419037;0.7649;0.0037962178885936736;0.749;12.5;21.88;17.19;28.12;13.28;27.34;28.91;20.7;41.8;40.23;60.55;58.59;53.91;32.81;0.0;21.88;34.38;21.88;35.94;19.53;35.16;35.94;26.56;48.05;46.88;64.84;65.23;62.5;57.81;0.0
8;0.0037017518788576126;0.7657;0.003775663509964943;0.7625;12.5;21.88;17.19;28.12;13.28;27.34;28.12;20.7;41.41;40.23;60.16;58.2;53.52;32.03;0.0;18.75;31.25;21.88;34.38;19.53;34.38;35.16;26.17;47.66;46.09;64.06;64.45;61.72;56.25;0.0
9;0.0036417553722858428;0.7781;0.0037655853033065796;0.763;12.5;21.88;17.19;28.12;13.28;27.34;28.12;20.7;41.41;39.84;59.77;57.81;53.12;31.25;0.0;18.75;31.25;20.31;34.38;18.75;33.59;34.38;25.78;47.27;45.7;64.06;64.06;60.94;55.47;0.0
10;0.0035830556601285936;0.7773;0.0037099037170410156;0.768;12.5;21.88;15.62;28.12;13.28;27.34;28.12;20.7;41.41;39.84;59.77;57.81;52.73;30.47;0.0;18.75;31.25;20.31;32.81;17.97;33.59;34.38;25.78;46.88;45.31;63.67;63.28;60.16;54.69;0.0
11;0.0035164512395858766;0.7817;0.003692955806851387;0.7665;12.5;21.88;15.62;26.56;12.5;26.56;28.12;20.7;41.02;39.84;59.38;57.42;52.34;30.47;0.0;18.75;31.25;18.75;32.81;17.97;32.81;33.59;25.39;46.48;45.31;63.28;62.89;59.77;53.91;0.0
12;0.003541474735736847;0.7807;0.003724196210503578;0.7645;12.5;21.88;15.62;26.56;12.5;26.56;28.12;20.31;41.02;39.45;59.38;57.03;51.95;29.69;0.0;18.75;31.25;18.75;32.81;17.19;32.81;33.59;25.0;46.09;44.92;62.89;62.5;59.38;53.12;0.0
13;0.0035688335478305817;0.7827;0.0037242139428853988;0.7645;12.5;21.88;15.62;26.56;12.5;26.56;27.34;20.31;40.62;39.45;58.98;57.03;51.95;29.69;0.0;18.75;28.12;17.19;31.25;17.19;32.03;32.81;25.0;45.7;44.53;62.89;62.11;58.59;52.34;0.0
14;0.003531318938732147;0.7836;0.0036914142370224;0.7655;12.5;21.88;14.06;26.56;12.5;26.56;27.34;20.31;40.62;39.06;58.98;56.64;51.56;28.91;0.0;18.75;28.12;17.19;31.25;16.41;32.03;32.81;24.61;45.7;44.14;62.5;62.11;58.2;52.34;0.0
15;0.003555299264192581;0.7859;0.0036843385100364685;0.7655;12.5;21.88;14.06;26.56;11.72;25.78;27.34;20.31;40.62;39.06;58.59;56.64;51.56;28.91;0.0;18.75;28.12;17.19;31.25;16.41;31.25;32.03;24.22;45.31;44.14;62.5;61.72;57.81;51.56;0.0
16;0.003593746396899223;0.7782;0.003684477597475052;0.769;12.5;21.88;14.06;25.0;11.72;25.78;27.34;19.92;40.23;39.06;58.59;56.64;51.17;28.12;0.0;15.62;28.12;15.62;29.69;15.62;31.25;32.03;24.22;44.92;43.75;62.11;61.33;57.42;51.56;0.0
17;0.003504449585080147;0.7874;0.0037033133059740067;0.764;12.5;21.88;14.06;25.0;11.72;25.78;26.56;19.92;40.23;38.67;58.59;56.25;51.17;28.12;0.0;15.62;28.12;15.62;29.69;15.62;30.47;32.03;24.22;44.92;43.75;62.11;61.33;57.03;50.78;0.0
18;0.0035497511357069017;0.783;0.0036901867985725404;0.767;12.5;18.75;14.06;25.0;11.72;25.78;26.56;19.92;40.23;38.67;58.2;56.25;50.78;28.12;0.0;15.62;28.12;15.62;29.69;15.62;30.47;31.25;23.83;44.53;43.36;62.11;60.94;56.64;50.78;0.0
