;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-7;training_accuracy;training_loss
0;78.12;50.0;6.25;12.5;9.38;20.31;27.34;19.14;41.02;12.5;49.22;61.33;69.53;69.92;9.38;0.624;0.02053900709748268;84.38;50.0;18.75;28.12;18.75;33.59;36.72;26.95;50.39;28.12;58.2;70.31;77.73;78.91;21.88;0.5549;0.02137737674117088
1;77.34;50.0;9.38;18.75;12.5;25.78;31.25;21.48;44.53;15.62;52.34;65.23;72.66;73.44;14.06;0.63;0.020115674719214438;84.38;50.0;25.0;32.81;21.88;36.72;39.06;28.52;51.56;31.25;58.59;70.7;77.73;78.91;25.0;0.6025;0.020632558810710907
2;76.56;0.0;12.5;21.88;14.06;28.12;32.81;22.66;45.7;21.88;53.12;66.02;73.44;74.22;17.19;0.665;0.019334958538413046;83.59;50.0;28.12;32.81;23.44;37.5;39.06;29.3;51.56;34.38;58.59;70.31;77.34;78.52;26.56;0.632;0.020041078037023544
3;75.0;0.0;12.5;25.0;15.62;29.69;33.59;22.66;46.09;25.0;53.12;66.02;73.44;74.22;18.75;0.6885;0.018336850702762603;82.03;50.0;28.12;34.38;23.44;37.5;39.06;29.3;51.56;34.38;58.2;69.92;76.95;78.12;28.12;0.6617;0.019227942344546316
4;73.44;0.0;15.62;26.56;16.41;31.25;34.38;23.05;46.48;28.12;53.52;66.41;73.44;73.83;20.31;0.6985;0.018006556168198587;81.25;50.0;31.25;34.38;24.22;38.28;39.84;29.69;51.56;34.38;58.2;69.53;76.56;77.34;29.69;0.678;0.01841457812786102
5;71.09;0.0;15.62;28.12;17.97;32.03;35.16;23.44;46.48;31.25;53.52;66.41;73.05;73.44;21.88;0.718;0.017302019447088243;79.69;50.0;34.38;35.94;24.22;38.28;39.84;29.69;51.56;37.5;57.81;69.53;76.17;76.95;29.69;0.7005;0.017617971813678742
6;69.53;0.0;18.75;29.69;18.75;32.81;35.94;23.44;46.88;31.25;53.52;66.02;73.05;73.44;23.44;0.694;0.017860530599951744;78.12;0.0;34.38;35.94;25.0;39.06;39.84;29.69;51.56;37.5;57.81;69.14;75.78;76.17;29.69;0.7168;0.017134995105862617
7;67.97;0.0;18.75;29.69;18.75;33.59;36.72;23.44;46.88;34.38;53.12;66.02;72.66;73.05;25.0;0.742;0.015824054419994356;77.34;0.0;37.5;35.94;25.0;39.06;39.84;29.69;51.56;40.62;57.42;68.75;75.39;75.78;29.69;0.737;0.016367423629760743
8;66.41;0.0;21.88;29.69;19.53;33.59;36.72;23.83;46.88;37.5;53.12;65.62;72.66;72.66;26.56;0.739;0.01563781315088272;75.78;0.0;37.5;35.94;25.0;39.06;39.84;29.69;51.17;40.62;57.42;68.36;75.39;75.39;31.25;0.7506;0.015984330293536186
9;64.84;0.0;21.88;31.25;19.53;33.59;36.72;23.83;46.88;37.5;52.73;65.23;72.27;71.88;26.56;0.7635;0.014961993217468262;75.0;0.0;37.5;35.94;25.0;39.06;39.84;29.69;51.17;40.62;57.03;68.36;75.0;75.0;31.25;0.7538;0.015353736999630928
10;63.28;0.0;25.0;31.25;20.31;34.38;36.72;23.83;46.88;40.62;52.73;65.23;72.27;71.88;26.56;0.7835;0.014125509813427925;74.22;0.0;40.62;35.94;25.0;39.06;39.84;29.3;51.17;43.75;56.64;67.97;74.61;74.61;32.81;0.7664;0.014983572751283645
