;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.020316963842511176;0.6234;0.01865809591114521;0.6825;3.12;9.38;6.25;9.38;3.12;3.91;3.91;1.17;1.17;1.17;1.17;0.39;0.39;0.0;0.0;12.5;43.75;29.69;35.94;17.97;29.69;26.56;10.55;14.84;8.98;8.59;5.08;3.12;22.66;50.0
1;0.01734255856871605;0.7142;0.020017289739102124;0.621;9.38;15.62;9.38;12.5;4.69;7.03;6.25;1.17;1.17;1.56;1.17;0.78;0.78;0.78;0.0;25.0;53.12;37.5;42.19;21.88;32.81;30.47;7.42;9.77;8.59;7.81;5.08;3.91;13.28;50.0
2;0.015427178564667701;0.7558;0.014415015563368798;0.786;12.5;21.88;10.94;14.06;5.47;9.38;7.81;1.56;1.95;1.95;1.56;1.17;1.17;1.56;0.0;37.5;53.12;37.5;40.62;21.09;33.59;32.03;6.64;7.81;8.98;6.64;5.47;4.69;9.38;0.0
3;0.014354154747724533;0.7796;0.012736070699989796;0.8135;15.62;25.0;14.06;15.62;6.25;10.94;10.16;1.95;1.95;2.34;1.95;1.56;1.56;1.56;0.0;43.75;56.25;35.94;37.5;20.31;32.81;31.25;6.25;7.03;9.77;5.86;5.47;4.69;7.03;0.0
4;0.013443000957369805;0.7969;0.012693865083158016;0.825;18.75;28.12;15.62;17.19;7.03;12.5;10.94;2.34;2.34;2.73;2.34;1.56;1.95;1.56;0.0;50.0;56.25;35.94;34.38;20.31;32.81;31.25;6.25;5.86;9.38;5.86;5.08;5.08;5.47;0.0
5;0.01284870247244835;0.8089;0.013135542318224907;0.8105;21.88;31.25;17.19;17.19;7.81;14.06;11.72;2.73;2.73;3.12;2.73;1.95;2.34;1.56;0.0;53.12;53.12;35.94;32.81;20.31;32.03;31.25;5.86;5.47;9.38;5.86;4.69;5.08;4.69;0.0
6;0.012335307040810584;0.8179;0.014191944073885679;0.7885;25.0;34.38;18.75;17.19;8.59;14.84;12.5;2.73;2.73;3.52;2.73;1.95;2.34;1.56;0.0;56.25;53.12;35.94;29.69;19.53;31.25;30.47;5.86;4.69;9.38;5.86;4.69;4.69;3.91;0.0
7;0.012013759995996952;0.8273;0.014043049544095992;0.7935;28.12;34.38;20.31;18.75;8.59;15.62;12.5;3.12;2.34;3.52;2.73;1.95;2.34;0.78;0.0;59.38;53.12;37.5;28.12;19.53;31.25;29.69;5.86;4.69;9.77;5.47;4.69;4.69;3.91;0.0
8;0.011474073956906795;0.8353;0.011805573126301169;0.828;31.25;37.5;21.88;18.75;9.38;16.41;13.28;3.52;2.73;3.91;2.73;2.34;2.73;0.78;0.0;62.5;53.12;37.5;28.12;19.53;31.25;28.91;6.25;4.69;9.77;5.47;4.3;4.69;3.12;0.0
9;0.010839005686342716;0.8465;0.01239413744211197;0.8195;34.38;37.5;21.88;20.31;10.16;17.19;14.06;3.52;2.73;4.3;2.73;2.34;2.73;0.78;0.0;62.5;53.12;39.06;28.12;19.53;31.25;28.91;6.25;4.3;10.16;5.08;4.3;4.69;2.34;0.0
10;0.010643031619489193;0.8489;0.010588987335562705;0.8565;37.5;40.62;23.44;20.31;10.16;17.97;14.84;3.91;2.73;4.69;3.12;2.73;2.73;0.78;0.0;65.62;50.0;39.06;26.56;19.53;31.25;28.12;6.25;4.3;10.16;5.08;4.3;4.3;2.34;0.0
11;0.010461271534860135;0.8517;0.011376827329397201;0.8305;37.5;40.62;25.0;20.31;10.94;17.97;14.84;3.91;3.12;5.08;3.12;2.73;2.73;0.78;0.0;65.62;50.0;39.06;26.56;19.53;30.47;28.12;6.25;4.3;10.55;5.08;4.3;4.3;2.34;0.0
12;0.009886308727413416;0.8626;0.011427927121520043;0.832;40.62;43.75;25.0;21.88;11.72;18.75;15.62;3.91;3.12;5.08;3.12;2.73;3.12;0.78;0.0;65.62;50.0;40.62;26.56;19.53;30.47;27.34;6.25;4.3;10.94;5.08;4.3;4.3;1.56;0.0
13;0.009835923224687576;0.8658;0.010951552785933018;0.8485;40.62;43.75;26.56;21.88;11.72;19.53;16.41;4.3;3.12;5.47;3.52;2.73;3.12;0.78;0.0;68.75;50.0;40.62;26.56;19.53;30.47;27.34;6.64;4.3;10.94;5.08;4.3;4.3;1.56;0.0
14;0.009589786311984063;0.8691;0.010650288589298725;0.855;43.75;43.75;28.12;21.88;12.5;19.53;17.19;4.69;3.52;5.47;3.52;2.73;3.52;0.78;0.0;68.75;50.0;40.62;26.56;19.53;29.69;27.34;6.64;4.3;10.94;4.69;4.3;4.3;1.56;0.0
15;0.009170528103411197;0.8762;0.011984359877184034;0.839;43.75;43.75;28.12;21.88;12.5;20.31;17.97;4.69;3.52;5.86;3.52;2.73;3.52;0.78;0.0;68.75;50.0;42.19;26.56;20.31;29.69;27.34;6.64;4.3;10.94;4.69;4.3;4.3;1.56;0.0
16;0.008935287952423095;0.8777;0.00985807091742754;0.8635;46.88;43.75;29.69;23.44;13.28;20.31;18.75;4.69;3.52;6.25;3.52;2.73;3.52;0.78;0.0;68.75;50.0;42.19;26.56;20.31;29.69;28.12;7.03;4.3;10.94;4.69;4.3;4.3;1.56;0.0
17;0.008598894532024861;0.8814;0.010619097135961056;0.8635;46.88;43.75;29.69;23.44;13.28;21.09;18.75;5.08;3.52;6.25;3.52;2.73;3.91;0.78;0.0;71.88;50.0;42.19;26.56;20.31;28.91;28.12;7.03;4.3;11.33;4.69;4.3;4.69;1.56;0.0
18;0.00825475596487522;0.8861;0.01001339365541935;0.8565;46.88;43.75;31.25;23.44;14.06;21.09;19.53;5.08;3.52;6.64;3.52;2.73;3.91;0.78;0.0;71.88;50.0;43.75;26.56;21.09;28.91;28.12;7.03;4.3;11.33;4.3;3.91;4.69;1.56;0.0
19;0.008059636556357145;0.8928;0.009902318254113198;0.867;46.88;43.75;31.25;23.44;14.84;21.09;20.31;5.47;3.91;6.64;3.52;2.73;3.91;0.78;0.0;71.88;50.0;43.75;26.56;21.09;28.91;28.12;7.03;4.69;10.94;4.3;3.91;4.3;1.56;0.0
