;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.36306731094121936;0.5125;0.3554416956305504;0.533;3.12;3.12;1.56;3.12;1.56;2.34;2.34;1.56;1.56;1.95;1.17;0.78;0.78;0.78;0.0;6.25;6.25;4.69;23.44;14.84;22.66;23.44;13.28;19.14;22.27;7.81;4.3;3.12;17.97;50.0
1;0.36157468226253986;0.5011;0.3654221822321415;0.483;3.12;6.25;3.12;6.25;3.91;3.91;3.91;2.34;3.52;3.91;1.95;1.17;0.78;1.56;0.0;6.25;9.38;7.81;29.69;18.75;25.78;28.91;15.23;26.56;28.52;8.59;3.91;2.34;15.62;50.0
2;0.359904257902503;0.4962;0.3465913130939007;0.5385;3.12;6.25;4.69;6.25;3.91;3.91;3.91;2.34;4.3;5.08;2.34;1.17;0.78;2.34;50.0;6.25;9.38;9.38;20.31;17.97;21.88;27.34;14.84;28.91;29.69;7.42;3.12;1.95;14.84;50.0
3;0.3572365553557873;0.5102;0.34579145178198817;0.527;3.12;3.12;4.69;7.81;3.91;3.91;3.91;2.73;5.08;5.86;2.34;0.78;0.78;3.12;50.0;3.12;9.38;9.38;17.19;15.62;18.75;25.78;13.67;28.91;29.3;6.64;2.73;1.56;14.06;50.0
4;0.3566683667182922;0.5034;0.3574535590559244;0.4985;3.12;3.12;6.25;9.38;4.69;3.91;4.69;3.12;6.25;7.42;3.12;1.17;0.78;3.12;50.0;3.12;9.38;9.38;17.19;15.62;20.31;27.34;15.62;32.42;32.81;7.81;2.73;1.56;14.06;50.0
5;0.35451931496560574;0.5051;0.37924693641066554;0.4345;3.12;3.12;6.25;9.38;5.47;5.47;5.47;3.91;7.42;8.59;3.12;1.17;0.78;2.34;50.0;3.12;9.38;9.38;17.19;15.62;21.88;29.69;17.19;33.98;34.38;8.2;2.73;1.56;12.5;50.0
6;0.3523088336229324;0.5131;0.33828538016974924;0.5775;3.12;3.12;6.25;9.38;5.47;5.47;6.25;4.3;7.42;8.59;2.73;0.78;0.78;2.34;50.0;3.12;9.38;9.38;17.19;15.62;22.66;30.47;17.58;33.98;33.98;7.81;2.73;1.17;11.72;50.0
7;0.35169707446396353;0.5063;0.34169406825304033;0.5635;3.12;6.25;6.25;10.94;5.47;6.25;7.03;5.08;8.59;9.38;3.12;0.78;0.78;2.34;50.0;3.12;9.38;10.94;17.19;16.41;23.44;32.03;19.14;35.94;35.94;7.81;2.34;1.17;10.94;50.0
8;0.35150254810750486;0.5044;0.3435859707593918;0.5665;3.12;6.25;6.25;10.94;5.47;6.25;7.03;5.08;8.59;9.77;3.12;0.78;0.78;2.34;50.0;3.12;9.38;10.94;17.19;16.41;23.44;32.81;19.92;36.33;36.33;7.81;2.34;1.17;10.94;50.0
9;0.35072943405807017;0.4996;0.34286413073539734;0.5605;6.25;9.38;7.81;12.5;7.03;5.47;6.25;5.47;8.98;10.55;3.12;0.78;0.39;2.34;50.0;6.25;12.5;12.5;18.75;15.62;23.44;33.59;21.09;37.5;38.28;8.59;2.34;1.17;10.16;50.0
10;0.3498713636249304;0.5086;0.34498781138658524;0.5375;6.25;9.38;7.81;12.5;7.03;5.47;7.03;5.47;8.59;10.55;3.12;0.78;0.78;2.34;50.0;6.25;15.62;12.5;17.19;14.84;20.31;32.03;19.92;35.94;38.28;8.2;2.34;1.17;10.16;50.0
11;0.3487793057024479;0.5149;0.35279063682258127;0.5;6.25;9.38;7.81;12.5;6.25;4.69;5.47;4.69;6.64;8.59;3.12;0.78;0.39;1.56;50.0;6.25;15.62;14.06;17.19;14.06;18.75;31.25;19.14;34.77;37.89;8.2;2.34;1.17;10.16;50.0
12;0.3490425174832344;0.5075;0.3480987548828125;0.5;6.25;9.38;9.38;14.06;6.25;4.69;5.47;4.3;6.64;8.98;3.12;0.78;0.39;1.56;50.0;6.25;15.62;14.06;17.19;13.28;17.19;29.69;18.36;33.98;38.28;8.59;2.34;1.17;10.16;50.0
13;0.34888529506623744;0.5024;0.35202383196353915;0.47;6.25;12.5;10.94;14.06;6.25;4.69;5.47;4.69;7.03;9.77;3.91;0.78;0.39;2.34;50.0;6.25;21.88;15.62;17.19;11.72;14.84;27.34;17.97;33.59;38.67;8.98;2.34;1.17;9.38;50.0
14;0.3483765695929527;0.5017;0.34587112864851954;0.521;6.25;12.5;10.94;14.06;5.47;4.69;5.47;4.69;7.03;9.77;3.91;1.17;0.39;2.34;50.0;6.25;21.88;17.19;15.62;10.16;13.28;25.78;17.58;33.2;39.06;9.38;2.34;1.17;9.38;50.0
15;0.3484329704642296;0.5051;0.34454340025782587;0.548;6.25;12.5;10.94;12.5;4.69;4.69;5.47;4.69;7.42;10.16;3.91;1.17;0.39;2.34;50.0;6.25;21.88;17.19;14.06;8.59;12.5;23.44;16.8;32.42;38.67;9.38;2.34;1.17;9.38;50.0
16;0.3484750888884068;0.4988;0.347980368822813;0.5;6.25;15.62;10.94;12.5;4.69;4.69;5.47;4.69;7.42;10.55;4.3;1.17;0.78;2.34;50.0;6.25;21.88;17.19;14.06;8.59;10.94;21.09;16.02;32.03;38.67;9.38;2.34;1.17;9.38;50.0
17;0.3475631076991558;0.5046;0.34597895488142966;0.519;6.25;15.62;10.94;12.5;3.91;4.69;5.47;4.69;7.42;10.55;4.3;1.17;0.78;2.34;50.0;6.25;21.88;17.19;14.06;7.81;10.16;19.53;15.62;31.25;38.28;9.38;2.34;1.17;9.38;50.0
18;0.3479696737706661;0.4991;0.3458617515563965;0.5;6.25;12.5;10.94;10.94;3.91;4.69;5.47;4.69;7.42;10.55;4.3;1.17;0.78;2.34;50.0;6.25;21.88;17.19;12.5;7.81;9.38;17.97;15.23;30.86;38.28;9.38;2.34;1.17;9.38;50.0
