;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.08474633160829544;0.5755;0.08122562059760094;0.6205;6.25;9.38;7.81;14.06;3.91;9.38;7.81;3.12;3.52;2.34;2.34;0.78;0.78;0.78;50.0;15.62;31.25;25.0;42.19;25.0;41.41;35.94;25.78;36.33;33.59;42.58;37.11;23.83;48.44;50.0
1;0.07923107433617115;0.6509;0.07739322791993618;0.646;9.38;18.75;10.94;15.62;4.69;8.59;8.59;2.73;2.73;2.34;1.56;1.17;1.17;1.56;50.0;34.38;53.12;39.06;50.0;29.69;42.97;37.5;22.66;26.95;25.39;19.14;16.41;12.89;30.47;50.0
2;0.07310679310262203;0.694;0.06800667534768581;0.7385;15.62;25.0;12.5;17.19;6.25;9.38;8.59;1.95;1.95;2.34;1.95;1.56;1.17;2.34;0.0;50.0;56.25;42.19;46.88;28.12;42.19;38.28;15.62;16.8;20.31;14.45;15.23;11.72;21.88;50.0
3;0.06874512420296669;0.7277;0.06464622593671084;0.7065;21.88;28.12;15.62;18.75;6.25;9.38;8.59;1.95;1.56;2.34;1.95;1.56;1.95;3.12;0.0;62.5;56.25;42.19;42.19;25.0;37.5;36.72;8.98;8.2;16.8;14.06;12.11;11.72;15.62;0.0
4;0.06625374625027179;0.738;0.055944796059280634;0.793;25.0;31.25;15.62;21.88;6.25;10.94;9.38;1.95;1.95;2.73;2.34;1.95;1.95;3.91;0.0;68.75;53.12;42.19;39.06;21.88;36.72;34.38;7.03;6.64;17.58;12.5;9.77;10.94;12.5;0.0
5;0.06314297356307506;0.754;0.05292588670924306;0.8035;28.12;31.25;17.19;20.31;7.03;11.72;9.38;1.95;1.95;3.12;2.34;2.34;2.34;3.12;0.0;71.88;53.12;42.19;35.94;20.31;33.59;31.25;5.86;5.86;18.36;9.77;8.59;9.38;10.94;0.0
6;0.06045638462901116;0.7743;0.05573524158447981;0.8005;31.25;34.38;18.75;20.31;7.03;11.72;10.16;2.34;1.95;3.52;2.34;2.34;2.73;3.91;0.0;71.88;53.12;42.19;32.81;19.53;30.47;27.34;5.08;5.08;18.75;8.59;8.98;9.77;9.38;0.0
7;0.05874640119224787;0.778;0.053731251168996096;0.8015;34.38;34.38;18.75;20.31;7.81;12.5;10.16;2.34;2.34;3.52;2.34;2.34;2.73;3.91;0.0;75.0;50.0;42.19;29.69;18.75;29.69;25.78;4.69;4.69;19.53;7.42;7.42;9.77;7.81;0.0
8;0.057648356156051156;0.7868;0.0530711054392159;0.803;37.5;34.38;20.31;20.31;8.59;14.06;10.94;2.73;2.34;3.91;2.34;2.73;3.12;3.91;0.0;75.0;50.0;43.75;28.12;17.97;28.91;24.22;4.69;4.3;19.92;6.25;7.42;9.77;7.03;0.0
9;0.05677701033875346;0.7886;0.04793890066817403;0.835;40.62;37.5;21.88;20.31;8.59;14.06;11.72;2.73;2.34;4.3;2.34;2.73;3.12;3.91;0.0;78.12;50.0;43.75;26.56;17.97;28.91;23.44;5.08;3.91;20.31;5.47;6.64;9.77;7.03;0.0
