;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.011512033405303955;0.45818;0.009296435296535493;0.5769;6.25;12.5;7.81;9.38;4.69;9.38;7.81;2.73;2.34;1.95;1.95;1.17;1.17;2.34;50.0;25.0;43.75;25.0;29.69;24.22;40.62;35.16;16.02;17.58;13.67;8.98;5.47;4.69;19.53;50.0
1;0.007961672987937927;0.6373;0.007725519949197769;0.6575;12.5;21.88;10.94;10.94;7.03;14.06;12.5;5.08;5.08;3.91;2.73;1.56;1.56;3.91;50.0;34.38;46.88;29.69;25.0;25.78;40.62;36.72;19.14;19.53;15.23;8.2;4.69;4.69;17.19;50.0
2;0.006611678709983825;0.7058;0.008031340497732162;0.6638;15.62;25.0;12.5;12.5;8.59;15.62;15.62;7.03;6.25;5.08;3.12;1.95;1.95;5.47;50.0;43.75;46.88;32.81;23.44;27.34;39.06;38.28;21.48;20.31;16.41;7.42;3.91;4.3;15.62;60.0
3;0.00572565029323101;0.74986;0.00553809449672699;0.767;18.75;25.0;14.06;14.06;10.16;17.97;17.97;8.59;7.81;6.25;3.52;1.95;1.95;6.25;60.0;50.0;43.75;34.38;23.44;28.91;37.5;38.28;23.44;20.7;17.58;6.64;3.12;3.91;15.62;60.0
4;0.005180392972230911;0.7768;0.005555756613612175;0.7628;25.0;28.12;17.19;15.62;10.94;20.31;19.53;9.77;8.98;7.81;3.52;1.95;2.34;7.03;60.0;53.12;43.75;34.38;23.44;29.69;36.72;38.28;25.0;20.7;17.97;6.25;2.73;3.52;14.06;60.0
5;0.004784323607683182;0.79402;0.005438564139604568;0.7674;28.12;28.12;17.19;17.19;12.5;21.09;21.88;10.55;9.77;8.59;3.91;1.56;2.34;7.81;60.0;56.25;40.62;35.94;23.44;31.25;36.72;38.28;26.17;20.7;18.75;5.86;2.34;3.52;13.28;60.0
6;0.0043895606017112735;0.81376;0.0048567341774702075;0.8015;31.25;28.12;18.75;17.19;13.28;22.66;23.44;11.33;10.55;9.38;3.91;1.56;2.34;7.81;60.0;59.38;40.62;35.94;21.88;32.03;36.72;39.06;27.34;21.09;19.53;5.47;1.95;3.52;13.28;60.0
7;0.0041289105153083806;0.82436;0.004940765544772148;0.7929;34.38;31.25;20.31;18.75;14.06;24.22;25.0;12.11;11.33;10.16;3.91;1.56;2.34;7.81;60.0;59.38;40.62;37.5;21.88;32.81;35.94;39.06;28.12;21.09;19.92;5.47;1.95;3.12;12.5;60.0
8;0.003870227760672569;0.8349;0.004605950802564621;0.811;37.5;31.25;21.88;18.75;14.84;25.0;25.78;12.89;12.11;10.94;3.91;1.56;2.34;8.59;60.0;62.5;37.5;37.5;21.88;33.59;35.94;39.84;28.91;21.48;20.7;5.08;1.56;3.12;12.5;60.0
9;0.0036429197752475737;0.84658;0.004358590579032898;0.821;37.5;31.25;21.88;18.75;15.62;25.78;27.34;14.06;12.89;11.72;3.91;1.56;2.34;8.59;60.0;62.5;40.62;37.5;21.88;34.38;35.94;39.84;30.08;21.48;21.09;5.08;1.56;2.73;12.5;60.0
