;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-7;training_accuracy;training_loss
0;75.78;50.0;6.25;17.19;9.38;21.88;25.0;21.88;47.66;9.38;52.34;67.19;76.17;75.0;7.81;0.2134;0.004349252915382385;82.03;90.0;6.25;20.31;13.28;27.34;28.91;24.22;50.78;12.5;54.69;69.53;78.12;77.73;9.38;0.15526;0.004428370299339295
1;69.53;20.0;6.25;20.31;11.72;24.22;26.56;22.27;47.66;12.5;51.95;67.19;75.78;74.61;9.38;0.2758;0.0038185717821121214;79.69;60.0;6.25;21.88;14.06;28.91;29.69;25.0;50.78;12.5;54.69;69.14;77.73;76.95;10.94;0.2452;0.004023930191993714
2;65.62;20.0;6.25;21.88;12.5;25.0;27.34;22.66;48.05;15.62;51.95;67.19;75.39;74.22;10.94;0.3229;0.00353843492269516;77.34;30.0;9.38;23.44;14.84;29.69;30.47;25.39;50.39;15.62;54.3;69.14;77.34;76.17;12.5;0.29282;0.0036579715871810914
3;61.72;20.0;9.38;23.44;13.28;25.78;28.12;23.05;47.66;15.62;51.56;67.19;75.0;73.44;12.5;0.373;0.0033469189286231995;75.0;20.0;9.38;25.0;15.62;30.47;31.25;25.39;50.39;15.62;53.91;68.75;76.56;75.78;12.5;0.34142;0.0034380913949012756
4;59.38;20.0;9.38;23.44;13.28;26.56;28.12;23.05;47.27;15.62;51.17;66.8;74.22;72.66;12.5;0.4088;0.003186195456981659;72.66;20.0;9.38;25.0;16.41;30.47;31.25;25.39;50.0;18.75;53.52;68.75;76.17;75.0;14.06;0.37306;0.0032942103028297423
5;57.81;20.0;9.38;23.44;14.06;26.56;28.12;23.05;46.88;18.75;50.78;66.41;73.83;72.27;12.5;0.4276;0.003065238547325134;71.88;30.0;9.38;26.56;16.41;31.25;31.25;25.39;49.61;18.75;53.52;68.36;75.78;74.22;14.06;0.39312;0.003169564292430878
6;57.03;30.0;9.38;25.0;14.06;27.34;28.91;23.05;46.88;18.75;50.39;66.02;73.44;71.48;14.06;0.4497;0.0029588597655296326;71.09;30.0;9.38;26.56;17.19;31.25;31.25;25.39;49.61;18.75;53.12;67.97;75.39;73.83;14.06;0.41738;0.003060422134399414
7;56.25;30.0;9.38;25.0;14.84;27.34;28.91;23.05;46.48;18.75;50.39;66.02;73.05;71.09;14.06;0.4698;0.002858681499958038;70.31;30.0;12.5;26.56;17.19;31.25;32.03;25.39;49.22;21.88;52.73;67.97;75.0;73.44;14.06;0.44138;0.002957819845676422
8;55.47;40.0;9.38;25.0;14.84;27.34;28.91;23.05;46.48;21.88;50.39;65.62;72.66;70.7;14.06;0.4891;0.0027571009755134584;69.53;40.0;12.5;26.56;17.19;31.25;32.03;25.39;49.22;21.88;52.73;67.58;74.61;73.05;15.62;0.46322;0.002860539667606354
9;54.69;40.0;9.38;26.56;14.84;28.12;29.69;23.05;46.09;21.88;50.0;65.62;72.27;70.31;14.06;0.5149;0.0026542063117027284;68.75;40.0;12.5;28.12;17.19;32.03;32.03;25.39;48.83;21.88;52.34;67.19;74.22;72.66;15.62;0.48178;0.002772060134410858
10;54.69;40.0;9.38;26.56;15.62;28.12;29.69;23.44;46.09;21.88;50.0;65.23;72.27;70.31;15.62;0.5313;0.002566606307029724;68.75;40.0;12.5;28.12;17.97;32.03;32.03;25.39;48.83;21.88;52.34;67.19;74.22;72.27;15.62;0.49848;0.0026850598645210264
11;53.91;40.0;9.38;26.56;15.62;28.12;29.69;23.44;46.09;21.88;49.61;64.84;71.88;69.92;15.62;0.5424;0.0025121164202690123;67.97;40.0;12.5;28.12;17.97;32.03;32.03;25.78;48.83;21.88;51.95;66.8;73.83;72.27;15.62;0.51378;0.0026136501717567446
