;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.5185184413766861;0.06362;0.4673886954545975;0.1196;6.25;12.5;9.38;14.06;7.03;15.62;20.31;10.16;24.22;25.39;39.06;36.33;23.83;4.69;6.0;40.62;56.25;40.62;45.31;33.59;46.09;46.88;31.64;51.56;52.34;62.89;65.23;61.33;58.59;28.0
1;0.47232787591934206;0.10802;0.4295458842277527;0.1674;9.38;25.0;17.19;21.88;11.72;22.66;27.34;12.5;28.91;29.69;42.58;38.28;24.61;10.16;11.0;56.25;59.38;43.75;46.88;35.16;50.0;50.0;32.81;51.95;51.17;60.55;61.33;56.25;50.78;30.0
2;0.4409006467628479;0.14816;0.3886444212436676;0.2277;12.5;31.25;20.31;25.0;14.06;26.56;31.25;14.84;31.64;31.64;42.58;37.5;23.83;14.06;14.0;62.5;62.5;45.31;43.75;35.94;51.56;52.34;34.38;52.73;51.95;59.38;58.98;52.73;49.22;32.0
3;0.41168251572847364;0.18852;0.35352559839487074;0.2773;15.62;37.5;23.44;26.56;15.62;29.69;33.59;16.41;34.77;33.98;43.36;37.5;23.83;17.97;17.0;65.62;62.5;45.31;40.62;35.94;51.56;52.34;35.94;54.3;52.73;57.81;56.64;50.0;48.44;34.0
4;0.3888063109946251;0.22378;0.3300842049837112;0.3077;21.88;37.5;25.0;28.12;16.41;31.25;36.72;18.36;37.5;36.33;44.14;38.28;24.22;21.88;19.0;68.75;62.5;46.88;40.62;35.94;51.56;53.12;37.5;55.86;53.91;57.03;55.08;47.66;48.44;34.0
5;0.36911104091882707;0.2518;0.32376491948366165;0.3231;25.0;40.62;26.56;28.12;17.19;32.81;38.28;19.53;39.84;37.89;44.53;38.67;24.22;25.0;20.0;68.75;59.38;46.88;39.06;35.94;51.56;53.91;39.06;57.42;55.08;56.25;53.91;46.09;48.44;35.0
6;0.35323586841344834;0.28114;0.2965623348236084;0.3675;28.12;40.62;28.12;28.12;17.97;34.38;39.84;21.48;41.41;39.84;45.31;39.06;24.61;27.34;22.0;71.88;59.38;48.44;37.5;35.94;50.78;53.91;40.62;58.2;56.25;55.86;53.12;44.53;49.22;35.0
7;0.33875013126373293;0.30356;0.2816348072350025;0.3977;28.12;40.62;29.69;28.12;18.75;35.16;41.41;22.66;42.97;41.41;45.31;39.45;25.0;29.69;22.0;71.88;59.38;48.44;37.5;35.16;50.0;54.69;42.19;58.98;57.03;55.47;52.34;42.97;50.0;35.0
8;0.3271557444322109;0.32586;0.2691024230718613;0.4278;31.25;40.62;31.25;29.69;19.53;35.16;42.19;23.83;44.53;42.97;45.31;39.84;25.39;32.03;23.0;71.88;56.25;48.44;35.94;35.16;49.22;54.69;43.36;59.77;58.2;55.08;51.56;42.19;50.78;35.0
9;0.31681442179441455;0.34226;0.2698407476067543;0.423;34.38;40.62;31.25;29.69;20.31;35.94;43.75;24.61;45.7;44.53;45.31;40.23;25.78;33.59;24.0;71.88;56.25;50.0;35.94;35.16;47.66;54.69;44.14;60.55;59.38;54.3;51.17;41.02;50.78;36.0
