;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.5328741987037658;0.04214;0.4952816983938217;0.0722;6.25;9.38;6.25;6.25;2.34;3.12;3.12;1.56;1.56;1.56;1.17;1.17;1.17;2.34;5.0;59.38;56.25;34.38;39.06;16.41;30.47;30.47;16.41;18.36;19.14;11.72;8.2;12.89;37.5;63.0
1;0.49625772966861725;0.0716;0.46271753718853;0.099;12.5;18.75;10.94;10.94;4.69;7.03;6.25;2.34;3.12;2.34;1.56;1.56;1.56;4.69;10.0;68.75;53.12;31.25;29.69;14.84;25.0;21.09;10.55;12.5;12.5;6.64;5.86;11.33;35.94;63.0
2;0.46995197526454924;0.09782;0.4361385707616806;0.1387;18.75;25.0;14.06;12.5;6.25;10.16;8.59;3.12;3.91;2.73;1.95;1.95;1.95;7.03;14.0;71.88;50.0;35.94;26.56;14.84;23.44;17.97;8.98;10.94;10.16;5.08;4.69;10.55;34.38;60.0
3;0.45163368107795715;0.11652;0.4203936666965485;0.1562;21.88;28.12;17.19;15.62;7.81;11.72;9.38;3.91;4.69;2.73;2.34;2.34;2.34;9.38;17.0;71.88;50.0;40.62;25.0;15.62;23.44;17.19;9.38;10.16;8.59;3.91;4.3;8.98;33.59;56.0
4;0.4363959042787552;0.13534;0.3984293423295021;0.183;25.0;28.12;18.75;17.19;9.38;14.06;10.94;4.69;5.08;3.12;2.73;2.73;2.73;11.72;19.0;68.75;50.0;42.19;25.0;17.19;23.44;16.41;9.77;9.77;7.42;3.52;3.91;8.2;34.38;54.0
5;0.4222155160522461;0.15578;0.37956086161136626;0.2144;25.0;28.12;20.31;18.75;10.94;15.62;11.72;5.08;5.86;3.91;2.73;2.73;3.12;14.84;20.0;65.62;46.88;45.31;25.0;18.75;23.44;17.19;10.16;9.77;6.64;3.12;3.52;7.03;35.16;51.0
6;0.40517246595144274;0.17934;0.3739388035655022;0.2262;28.12;31.25;21.88;20.31;12.5;17.19;13.28;5.86;6.25;4.3;2.73;2.73;3.12;16.41;22.0;65.62;46.88;46.88;26.56;20.31;24.22;17.19;10.94;9.38;6.64;3.12;3.12;5.86;36.72;49.0
7;0.39095787375211716;0.20076;0.33825764075517656;0.2846;31.25;31.25;25.0;21.88;13.28;18.75;14.84;6.64;6.64;4.69;3.12;2.73;3.12;18.75;22.0;62.5;43.75;46.88;26.56;21.09;24.22;17.97;11.72;9.38;6.64;3.12;3.12;5.08;38.28;48.0
8;0.3761171995353699;0.22268;0.3279027202606201;0.3029;31.25;31.25;25.0;23.44;14.84;20.31;15.62;7.42;7.42;4.69;3.12;3.12;3.52;21.09;23.0;62.5;43.75;48.44;26.56;21.88;25.0;17.97;12.11;9.77;6.64;3.12;3.12;4.69;39.84;47.0
9;0.3629287062954903;0.24474;0.31929413026571274;0.3144;34.38;31.25;26.56;23.44;15.62;21.09;16.41;7.81;7.81;5.08;3.12;3.12;3.52;22.66;24.0;59.38;40.62;50.0;26.56;22.66;25.78;18.75;12.89;10.16;6.64;3.12;3.12;4.3;39.84;46.0
10;0.35338990805625914;0.2614;0.31394971547722816;0.33;34.38;31.25;28.12;25.0;16.41;22.66;17.19;8.59;8.59;5.47;3.12;2.73;3.52;24.22;25.0;59.38;40.62;50.0;28.12;23.44;25.78;19.53;13.67;10.55;6.64;3.12;3.12;3.91;40.62;45.0
11;0.3448289276814461;0.27628;0.3060072165429592;0.3417;34.38;31.25;29.69;25.0;17.97;23.44;17.97;9.38;8.98;5.47;3.52;2.73;3.12;25.78;25.0;56.25;40.62;50.0;28.12;25.0;26.56;19.53;14.45;10.94;6.64;3.12;2.73;3.52;42.19;44.0
12;0.33692525436878207;0.2922;0.3059220076560974;0.3469;34.38;34.38;29.69;25.0;18.75;24.22;18.75;10.16;9.77;5.86;3.52;2.73;3.12;26.56;25.0;56.25;40.62;51.56;28.12;25.78;26.56;20.31;15.23;11.33;6.64;3.12;2.73;3.52;42.97;43.0
