;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.005407884734869003;0.5562;0.005283080786466598;0.626;12.5;12.5;12.5;18.75;9.38;21.88;29.69;16.41;44.53;46.88;66.41;67.19;67.97;70.31;50.0;12.5;18.75;15.62;21.88;12.5;26.56;35.94;21.09;50.0;53.12;71.09;73.44;76.56;82.81;50.0
1;0.005130790442228317;0.6169;0.004941720813512802;0.6515;12.5;18.75;12.5;21.88;12.5;25.0;32.81;17.97;46.88;48.44;66.41;65.62;65.62;56.25;0.0;12.5;18.75;15.62;25.0;14.06;29.69;37.5;22.66;51.56;53.12;70.31;72.66;75.0;78.12;50.0
2;0.004954387509822846;0.6469;0.004940821766853332;0.646;12.5;18.75;18.75;25.0;14.06;28.12;34.38;18.75;46.88;45.31;63.28;61.72;60.16;40.62;0.0;12.5;18.75;18.75;28.12;17.19;32.81;40.62;24.22;52.34;53.12;69.53;71.09;72.66;70.31;50.0
3;0.004775110352039337;0.6676;0.004586802363395691;0.694;12.5;18.75;18.75;28.12;15.62;29.69;35.94;19.53;47.66;45.31;61.72;60.16;57.03;32.81;0.0;12.5;18.75;21.88;31.25;18.75;34.38;42.19;25.0;53.12;52.34;67.97;68.75;69.53;64.06;50.0
4;0.004503574931621551;0.6978;0.004512889593839645;0.6965;12.5;18.75;21.88;31.25;17.19;31.25;39.06;21.09;47.66;42.97;59.38;56.25;51.56;25.0;0.0;12.5;18.75;21.88;34.38;20.31;35.94;43.75;26.56;53.91;51.56;66.41;67.19;66.41;57.81;0.0
5;0.004277695578336716;0.726;0.00417342709004879;0.7345;12.5;18.75;25.0;34.38;17.19;32.81;40.62;21.88;48.44;42.19;57.81;54.69;48.44;20.31;0.0;12.5;25.0;25.0;34.38;20.31;37.5;45.31;28.12;53.91;50.0;64.84;64.84;63.28;53.12;0.0
6;0.004066519731283188;0.7405;0.00483509423583746;0.6935;12.5;25.0;25.0;34.38;18.75;34.38;42.19;22.66;47.66;38.28;53.12;50.0;42.19;14.06;0.0;18.75;25.0;25.0;37.5;21.88;39.06;45.31;28.91;54.69;49.22;63.28;62.5;60.16;50.0;0.0
7;0.0040121345311403276;0.7458;0.004118748456239701;0.733;12.5;25.0;28.12;37.5;20.31;35.94;42.19;23.44;47.66;36.72;50.0;46.88;37.5;12.5;0.0;18.75;25.0;28.12;37.5;23.44;40.62;46.88;29.69;54.69;47.66;60.94;60.16;56.25;45.31;0.0
8;0.0038990763038396835;0.7587;0.003935452058911324;0.7485;12.5;25.0;28.12;37.5;20.31;37.5;43.75;23.44;46.88;35.94;47.66;45.31;34.38;10.94;0.0;18.75;25.0;28.12;40.62;23.44;40.62;46.88;30.47;54.69;46.88;59.38;58.59;53.12;42.19;0.0
9;0.003780723997950554;0.7655;0.0038235755115747453;0.764;18.75;25.0;28.12;37.5;21.88;37.5;43.75;24.22;46.88;35.16;46.88;43.75;32.03;9.38;0.0;18.75;31.25;31.25;40.62;25.0;42.19;48.44;31.25;54.69;46.09;57.81;56.25;50.0;39.06;0.0
10;0.003651232296228409;0.7736;0.00544252498447895;0.6685;18.75;31.25;31.25;37.5;21.88;39.06;45.31;25.0;47.66;36.72;46.88;42.97;30.47;9.38;0.0;18.75;31.25;31.25;40.62;26.56;42.19;48.44;32.03;54.69;45.31;56.25;54.69;46.88;35.94;0.0
11;0.003594559323787689;0.7798;0.004024406790733338;0.76;18.75;31.25;31.25;40.62;23.44;39.06;45.31;25.78;48.44;36.72;46.88;42.19;29.69;9.38;0.0;18.75;31.25;31.25;40.62;26.56;42.19;50.0;32.81;54.69;44.53;54.69;53.12;44.53;32.81;0.0
12;0.0035906881123781206;0.7778;0.003579026713967323;0.779;18.75;31.25;31.25;40.62;23.44;39.06;46.88;26.56;48.44;36.72;45.31;40.62;27.34;7.81;0.0;18.75;31.25;31.25;43.75;28.12;43.75;50.0;32.81;54.69;44.53;53.12;51.56;41.41;29.69;0.0
13;0.0034865919351577757;0.79;0.003866626888513565;0.7655;18.75;31.25;31.25;40.62;25.0;40.62;46.88;27.34;47.66;35.94;42.97;39.06;24.22;7.81;0.0;18.75;31.25;31.25;43.75;28.12;43.75;50.0;33.59;54.69;43.75;51.56;50.0;39.06;28.12;0.0
14;0.003376542854309082;0.7992;0.0036577370911836625;0.7775;18.75;31.25;34.38;40.62;25.0;40.62;48.44;27.34;47.66;35.16;42.19;37.5;21.88;7.81;0.0;18.75;31.25;34.38;43.75;29.69;45.31;51.56;34.38;53.91;43.75;50.78;48.44;36.72;26.56;0.0
15;0.0033079966217279435;0.801;0.0034829212427139283;0.7925;18.75;31.25;34.38;40.62;26.56;42.19;48.44;28.12;47.66;35.16;41.41;36.72;21.09;7.81;0.0;18.75;31.25;34.38;43.75;29.69;45.31;51.56;35.16;53.91;42.97;49.22;47.66;34.38;23.44;0.0
16;0.0032786915689706803;0.8076;0.003599094435572624;0.779;18.75;31.25;34.38;43.75;26.56;42.19;48.44;28.12;47.66;34.38;39.84;35.16;18.75;7.81;0.0;25.0;31.25;34.38;43.75;31.25;45.31;53.12;35.16;53.91;42.97;48.44;46.09;32.03;21.88;0.0
17;0.0032485588997602463;0.8099;0.003387247681617737;0.7955;18.75;31.25;34.38;43.75;28.12;43.75;50.0;28.91;47.66;34.38;39.06;33.59;17.97;7.81;0.0;25.0;31.25;34.38;43.75;31.25;46.88;53.12;35.94;53.91;42.19;46.88;44.53;29.69;20.31;0.0
18;0.0030805547952651975;0.8163;0.0035055143386125563;0.7985;18.75;31.25;34.38;43.75;28.12;43.75;50.0;29.69;47.66;34.38;38.28;32.81;17.19;6.25;0.0;25.0;37.5;37.5;43.75;31.25;46.88;53.12;36.72;53.91;41.41;46.09;42.97;27.34;18.75;0.0
19;0.00303929702937603;0.8202;0.0038739196360111235;0.782;18.75;31.25;34.38;43.75;28.12;43.75;50.0;29.69;46.88;33.59;36.72;31.25;16.41;6.25;0.0;25.0;37.5;37.5;43.75;32.81;46.88;54.69;36.72;53.91;41.41;44.53;41.41;25.78;17.19;0.0
