;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-7;training_accuracy;training_loss
0;67.19;50.0;12.5;21.88;10.94;17.19;26.56;21.09;36.72;25.0;39.84;60.16;57.81;61.72;12.5;0.5055;0.001386208713054657;84.38;50.0;12.5;21.88;15.62;28.12;34.38;27.34;50.78;25.0;52.34;71.09;78.12;79.69;12.5;0.509;0.0013866980314254762
1;79.69;50.0;12.5;21.88;12.5;21.88;31.25;24.22;47.66;25.0;49.22;68.75;72.66;75.0;12.5;0.493;0.0013861343562602997;84.38;50.0;12.5;21.88;15.62;28.12;34.38;28.12;50.78;25.0;52.34;71.88;78.12;79.69;12.5;0.4921;0.001388504707813263
2;81.25;50.0;12.5;21.88;12.5;23.44;31.25;25.0;48.44;25.0;50.0;68.75;73.44;76.56;12.5;0.5035;0.0013861432671546936;84.38;50.0;12.5;21.88;15.62;28.12;34.38;28.12;50.78;25.0;52.34;71.88;78.12;79.69;12.5;0.5176;0.0013830103695392608
3;81.25;50.0;12.5;21.88;12.5;23.44;31.25;25.0;49.22;25.0;50.78;69.53;74.22;76.56;12.5;0.506;0.0013853634297847747;84.38;50.0;12.5;21.88;15.62;28.12;34.38;28.12;50.78;25.0;52.34;71.88;78.12;79.69;12.5;0.5213;0.0013827019810676575
4;81.25;50.0;12.5;21.88;12.5;23.44;31.25;25.0;49.22;25.0;50.78;69.53;75.0;77.34;12.5;0.5095;0.0013849250376224518;84.38;50.0;12.5;21.88;15.62;28.12;34.38;28.12;50.78;25.0;52.34;71.88;78.12;80.47;12.5;0.528;0.001380929970741272
5;81.25;50.0;12.5;21.88;12.5;23.44;31.25;25.0;49.22;25.0;50.78;69.53;75.0;77.34;12.5;0.513;0.0013833280503749846;84.38;50.0;12.5;21.88;15.62;29.69;34.38;28.12;50.78;25.0;52.34;71.88;78.12;80.47;12.5;0.5302;0.001380221939086914
6;81.25;50.0;12.5;21.88;12.5;23.44;31.25;25.0;49.22;25.0;50.78;69.53;75.0;77.34;12.5;0.5245;0.0013817106485366822;84.38;50.0;12.5;21.88;15.62;29.69;34.38;28.12;50.78;25.0;52.34;71.88;78.12;80.47;12.5;0.5294;0.0013795913994312287
7;81.25;50.0;12.5;21.88;12.5;23.44;31.25;25.0;49.22;25.0;50.78;69.53;75.0;77.34;12.5;0.5145;0.001381079524755478;84.38;50.0;12.5;21.88;17.19;29.69;34.38;28.12;51.56;25.0;52.34;71.88;78.12;80.47;12.5;0.5242;0.0013797073900699616
8;81.25;50.0;12.5;21.88;12.5;23.44;31.25;25.0;49.22;25.0;50.78;69.53;75.0;77.34;12.5;0.519;0.0013812966048717499;84.38;50.0;12.5;21.88;17.19;29.69;34.38;28.12;51.56;25.0;52.34;71.88;78.12;80.47;12.5;0.5341;0.0013777373611927033
9;82.81;50.0;12.5;21.88;12.5;23.44;31.25;25.0;49.22;25.0;50.78;69.53;75.0;77.34;12.5;0.5205;0.0013794447183609008;84.38;50.0;12.5;21.88;17.19;29.69;34.38;28.12;51.56;25.0;52.34;71.88;78.12;80.47;12.5;0.5399;0.0013770450592041016
10;82.81;50.0;12.5;21.88;12.5;23.44;31.25;25.0;50.0;25.0;50.78;69.53;75.0;77.34;12.5;0.522;0.001378767490386963;84.38;50.0;12.5;21.88;17.19;29.69;34.38;28.12;51.56;25.0;52.34;71.88;78.12;80.47;12.5;0.546;0.0013759891510009765
11;82.81;50.0;12.5;21.88;12.5;23.44;32.81;25.78;50.0;25.0;50.78;69.53;75.78;77.34;12.5;0.528;0.0013760658204555513;84.38;50.0;12.5;21.88;17.19;29.69;34.38;28.12;51.56;25.0;52.34;71.88;78.12;80.47;12.5;0.5455;0.001370901918411255
12;82.81;50.0;12.5;21.88;12.5;23.44;32.81;25.78;50.0;25.0;51.56;69.53;75.78;78.12;12.5;0.5355;0.00137361016869545;84.38;50.0;12.5;25.0;17.19;29.69;34.38;28.12;51.56;25.0;52.34;71.88;78.12;80.47;12.5;0.5515;0.0013707658171653748
13;82.81;50.0;12.5;25.0;12.5;25.0;32.81;25.78;50.0;25.0;51.56;70.31;75.78;78.12;12.5;0.5395;0.0013703206777572632;84.38;50.0;12.5;25.0;17.19;29.69;34.38;28.12;51.56;25.0;52.34;71.88;78.12;80.47;12.5;0.5575;0.0013705045759677887
14;82.81;50.0;12.5;25.0;12.5;25.0;32.81;25.78;50.0;25.0;51.56;70.31;75.78;78.12;12.5;0.546;0.0013688620328903198;84.38;50.0;12.5;25.0;17.19;29.69;34.38;28.12;51.56;25.0;53.12;71.88;78.12;80.47;12.5;0.5624;0.0013639768242836
