;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.3551802629113197;0.5009;0.35338433896005156;0.4905;6.25;12.5;9.38;9.38;4.69;6.25;4.69;3.91;3.12;2.34;1.56;0.78;0.78;0.0;0.0;31.25;43.75;40.62;43.75;31.25;42.19;43.75;28.12;40.62;35.16;16.41;10.94;5.47;25.0;50.0
1;0.35357510158121586;0.4985;0.34916212816536424;0.4995;12.5;18.75;12.5;15.62;7.81;6.25;6.25;3.91;3.91;3.91;1.56;1.56;0.78;1.56;0.0;31.25;43.75;43.75;50.0;37.5;50.0;48.44;35.94;47.66;42.19;17.19;10.94;5.47;26.56;50.0
2;0.35299144796431065;0.4955;0.3483731704354286;0.522;18.75;25.0;15.62;9.38;6.25;6.25;6.25;4.69;4.69;4.69;2.34;2.34;1.56;3.12;0.0;37.5;31.25;25.0;28.12;29.69;39.06;40.62;32.03;41.41;39.84;16.41;10.94;5.47;26.56;50.0
3;0.3516741501480341;0.5036;0.3538407218456268;0.462;18.75;25.0;15.62;9.38;6.25;6.25;7.81;4.69;4.69;5.47;2.34;2.34;2.34;3.12;0.0;31.25;25.0;21.88;21.88;26.56;34.38;37.5;28.91;37.5;38.28;14.84;10.94;5.47;26.56;50.0
4;0.35144975022375585;0.4987;0.34996441727876665;0.5;18.75;31.25;15.62;12.5;7.81;7.81;7.81;5.47;5.47;5.47;3.12;3.12;2.34;4.69;0.0;31.25;25.0;18.75;21.88;26.56;32.81;35.94;27.34;35.94;39.06;14.84;10.16;5.47;28.12;50.0
5;0.3503432788223028;0.5034;0.3571267162486911;0.5405;18.75;31.25;15.62;12.5;9.38;9.38;9.38;5.47;5.47;5.47;3.12;3.12;1.56;6.25;0.0;25.0;31.25;18.75;18.75;26.56;32.81;35.94;26.56;35.94;40.62;16.41;11.72;6.25;29.69;50.0
6;0.34993905848264695;0.4983;0.3447731769979;0.5535;12.5;31.25;15.62;12.5;7.81;7.81;7.81;5.47;4.69;5.47;3.12;2.34;1.56;6.25;0.0;25.0;25.0;15.62;18.75;25.0;32.81;35.94;25.78;34.38;39.84;15.62;11.72;5.47;28.12;50.0
7;0.34929636839032174;0.5042;0.3487817849367857;0.505;12.5;31.25;12.5;12.5;7.81;7.81;7.81;4.69;3.91;3.91;2.34;1.56;0.78;4.69;50.0;25.0;25.0;12.5;18.75;25.0;32.81;35.94;24.22;32.03;38.28;14.84;10.94;4.69;28.12;50.0
8;0.34835377020537855;0.5114;0.3450271972566843;0.5365;12.5;31.25;12.5;12.5;7.81;7.81;7.81;4.69;3.91;3.91;2.34;2.34;0.78;4.69;50.0;25.0;25.0;12.5;18.75;25.0;32.81;35.94;24.22;30.47;37.5;14.06;10.94;4.69;26.56;50.0
9;0.34849569281339643;0.5037;0.34693065686523916;0.5;12.5;31.25;15.62;15.62;9.38;9.38;9.38;4.69;3.91;4.69;3.12;2.34;1.56;4.69;50.0;25.0;25.0;15.62;21.88;25.0;34.38;37.5;25.0;32.03;39.06;15.62;12.5;5.47;28.12;50.0
