;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.08597415624558925;0.5485;0.08475115534663201;0.6035;12.5;12.5;6.25;3.12;3.12;3.12;3.12;1.56;2.34;2.34;2.34;1.56;0.78;1.56;50.0;37.5;50.0;28.12;34.38;26.56;31.25;34.38;19.53;25.0;26.56;26.56;22.66;17.97;43.75;50.0
1;0.0850480985224247;0.5708;0.08229077107459307;0.6175;18.75;25.0;12.5;12.5;4.69;6.25;6.25;3.12;3.91;3.91;3.12;1.56;1.56;3.12;0.0;50.0;62.5;40.62;40.62;26.56;31.25;35.94;19.53;23.44;22.66;21.88;20.31;18.75;40.62;50.0
2;0.08006690487861633;0.6381;0.07472977481782436;0.6895;31.25;31.25;18.75;18.75;7.81;9.38;9.38;3.91;3.91;4.69;3.91;3.12;2.34;4.69;0.0;62.5;62.5;50.0;50.0;29.69;37.5;35.94;14.84;17.97;21.88;18.75;16.41;18.75;42.19;50.0
3;0.07365614921748638;0.6972;0.06685296535491943;0.73;37.5;37.5;25.0;28.12;9.38;12.5;12.5;3.91;3.91;4.69;4.69;3.12;3.12;6.25;0.0;68.75;62.5;53.12;53.12;31.25;39.06;37.5;10.16;12.5;19.53;17.19;14.84;17.19;37.5;0.0
4;0.06934212049096823;0.7218;0.06330953638255596;0.759;37.5;43.75;25.0;31.25;10.94;15.62;14.06;3.91;3.91;6.25;6.25;3.91;3.91;7.81;0.0;75.0;62.5;50.0;53.12;28.12;37.5;35.94;7.81;8.59;17.97;17.97;15.62;16.41;34.38;0.0
5;0.06641247331053018;0.7403;0.05773260548710823;0.7875;43.75;43.75;28.12;31.25;12.5;17.19;15.62;3.91;3.91;6.25;6.25;4.69;4.69;9.38;0.0;75.0;62.5;50.0;50.0;25.0;34.38;34.38;7.03;7.81;16.41;17.19;14.06;14.84;31.25;0.0
6;0.06400018548965454;0.7551;0.06471059377491474;0.743;50.0;50.0;28.12;31.25;12.5;17.19;17.19;3.91;3.91;6.25;6.25;4.69;4.69;9.38;0.0;75.0;62.5;50.0;46.88;25.0;32.81;34.38;6.25;6.25;15.62;15.62;12.5;14.84;26.56;0.0
7;0.06392383756488562;0.7526;0.056239046577364206;0.7865;50.0;50.0;28.12;34.38;12.5;18.75;17.19;3.91;3.91;7.03;7.03;4.69;5.47;9.38;0.0;75.0;62.5;46.88;43.75;23.44;31.25;32.81;6.25;5.47;15.62;14.06;10.94;14.84;21.88;0.0
8;0.062428502935171125;0.7582;0.05541556353121996;0.8045;56.25;50.0;31.25;34.38;14.06;18.75;18.75;4.69;3.12;7.03;7.03;4.69;6.25;9.38;0.0;75.0;62.5;50.0;43.75;23.44;29.69;31.25;6.25;5.47;14.84;14.06;10.16;15.62;20.31;0.0
9;0.061064027260243896;0.7685;0.055654277570545675;0.795;56.25;50.0;31.25;34.38;14.06;18.75;18.75;4.69;3.12;7.03;7.03;4.69;6.25;9.38;0.0;75.0;62.5;50.0;40.62;23.44;29.69;31.25;6.25;4.69;14.84;12.5;8.59;15.62;17.19;0.0
