;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.013391702795028687;0.35556;0.010786598861217498;0.4974;12.5;18.75;12.5;15.62;9.38;18.75;23.44;10.16;24.22;27.34;42.19;38.28;32.81;9.38;40.0;50.0;50.0;34.38;43.75;31.25;43.75;45.31;29.69;47.66;50.0;63.28;64.84;66.41;51.56;40.0
1;0.010158076335191727;0.5323;0.00894047394990921;0.6037;18.75;31.25;18.75;21.88;12.5;26.56;31.25;14.84;29.69;32.03;46.09;42.19;35.16;14.06;50.0;62.5;56.25;37.5;43.75;32.81;48.44;50.0;32.03;48.44;50.0;60.94;60.94;60.94;43.75;50.0
2;0.008630734058618545;0.60808;0.0083564228951931;0.6217;25.0;31.25;21.88;25.0;15.62;31.25;34.38;17.97;32.81;34.38;46.88;43.75;35.94;17.19;50.0;68.75;50.0;40.62;40.62;32.81;50.0;51.56;33.59;50.0;50.0;59.38;59.38;57.81;40.62;50.0
3;0.007605063320398331;0.65826;0.008151783561706543;0.6351;31.25;37.5;25.0;28.12;17.19;34.38;39.06;19.53;35.16;35.16;47.66;43.75;35.16;18.75;50.0;68.75;50.0;43.75;40.62;32.81;51.56;54.69;35.16;51.56;50.78;58.59;57.81;54.69;39.06;50.0
4;0.0069011193084716795;0.69154;0.0070797238945961;0.6855;37.5;37.5;28.12;28.12;18.75;35.94;42.19;21.09;37.5;36.72;47.66;44.53;35.94;21.88;50.0;68.75;50.0;43.75;37.5;32.81;51.56;54.69;36.72;52.34;51.56;57.81;57.03;53.12;39.06;60.0
5;0.006053203853368759;0.73182;0.005624458843469619;0.749;37.5;37.5;28.12;28.12;18.75;37.5;42.19;21.88;37.5;36.72;46.88;43.75;35.94;20.31;60.0;68.75;50.0;43.75;37.5;31.25;50.0;54.69;35.94;51.56;50.0;57.03;55.47;50.78;35.94;60.0
6;0.005785165654420853;0.74656;0.005563450160622597;0.7523;37.5;37.5;28.12;25.0;18.75;35.94;42.19;21.88;37.5;36.72;46.88;43.75;35.16;20.31;60.0;62.5;43.75;40.62;34.38;29.69;48.44;53.12;35.16;50.78;49.22;55.47;54.69;49.22;34.38;60.0
7;0.005728127571940422;0.74734;0.0054942848891019825;0.7542;37.5;31.25;28.12;25.0;18.75;35.94;43.75;21.88;37.5;37.5;46.09;43.75;34.38;18.75;60.0;62.5;43.75;40.62;34.38;28.12;46.88;53.12;34.38;50.0;48.44;54.69;53.12;47.66;31.25;60.0
8;0.005612186833620071;0.75408;0.005403966706991195;0.7627;37.5;31.25;28.12;25.0;18.75;35.94;43.75;21.88;37.5;37.5;46.09;42.97;33.59;18.75;60.0;62.5;37.5;37.5;31.25;26.56;45.31;51.56;33.59;49.22;47.66;53.91;52.34;46.09;29.69;60.0
9;0.005580504088401795;0.75308;0.005341167068481445;0.7646;37.5;31.25;28.12;25.0;18.75;35.94;43.75;21.88;37.5;37.5;46.09;42.97;33.59;17.19;60.0;56.25;37.5;37.5;31.25;25.0;43.75;51.56;32.81;48.44;46.88;53.12;52.34;45.31;28.12;60.0
