"";"eval-saturation_classifier-2";"eval-saturation_classifier-6";"eval-saturation_features-0";"eval-saturation_features-10";"eval-saturation_features-14";"eval-saturation_features-17";"eval-saturation_features-20";"eval-saturation_features-24";"eval-saturation_features-27";"eval-saturation_features-3";"eval-saturation_features-30";"eval-saturation_features-34";"eval-saturation_features-37";"eval-saturation_features-40";"eval-saturation_features-7";"test_accuracy";"test_loss";"train-saturation_classifier-2";"train-saturation_classifier-6";"train-saturation_features-0";"train-saturation_features-10";"train-saturation_features-14";"train-saturation_features-17";"train-saturation_features-20";"train-saturation_features-24";"train-saturation_features-27";"train-saturation_features-3";"train-saturation_features-30";"train-saturation_features-34";"train-saturation_features-37";"train-saturation_features-40";"train-saturation_features-7";"training_accuracy";"training_loss"
"0";"9.38";"20.0";"12.5";"25.0";"9.38";"23.44";"28.12";"17.97";"35.94";"18.75";"39.06";"56.25";"59.38";"52.34";"15.62";"0.4042";"0.049011328077316285";"62.5";"20.0";"43.75";"43.75";"23.44";"42.19";"43.75";"31.25";"49.22";"43.75";"53.91";"67.19";"73.44";"69.53";"31.25";"0.27716";"0.0589201691031456"
"1";"14.06";"30.0";"18.75";"34.38";"12.5";"28.12";"31.25";"18.75";"35.94";"31.25";"39.06";"56.25";"59.38";"51.56";"18.75";"0.4889";"0.04389033727645874";"57.81";"30.0";"50.0";"46.88";"25.0";"45.31";"45.31";"32.81";"49.22";"50.0";"53.12";"65.62";"71.09";"66.41";"34.38";"0.4218";"0.04888151636600494"
"2";"17.19";"40.0";"25.0";"37.5";"14.06";"31.25";"35.94";"20.31";"37.5";"31.25";"40.62";"56.25";"58.59";"51.56";"25.0";"0.5637";"0.03739479323625564";"54.69";"40.0";"56.25";"50.0";"26.56";"45.31";"46.88";"34.38";"50.0";"50.0";"52.34";"64.84";"69.53";"64.84";"37.5";"0.50352";"0.04318723055362701"
"3";"20.31";"50.0";"31.25";"43.75";"15.62";"34.38";"39.06";"22.66";"39.84";"37.5";"41.41";"57.03";"59.38";"51.56";"28.12";"0.6235";"0.0326072217464447";"53.12";"50.0";"62.5";"50.0";"28.12";"46.88";"48.44";"35.16";"50.78";"50.0";"52.34";"64.84";"68.75";"63.28";"37.5";"0.56534";"0.038688848373889924"
"4";"23.44";"50.0";"31.25";"43.75";"17.19";"37.5";"40.62";"23.44";"40.62";"37.5";"42.19";"57.81";"59.38";"51.56";"28.12";"0.6517";"0.030530252158641816";"53.12";"50.0";"62.5";"50.0";"28.12";"48.44";"50.0";"35.94";"50.78";"50.0";"52.34";"64.84";"67.97";"61.72";"37.5";"0.60174";"0.03543286764979362"
"5";"26.56";"50.0";"31.25";"43.75";"18.75";"39.06";"42.19";"25.0";"42.19";"37.5";"42.97";"57.81";"59.38";"51.56";"31.25";"0.6777";"0.028141199523210526";"51.56";"50.0";"62.5";"50.0";"28.12";"48.44";"51.56";"37.5";"50.78";"50.0";"52.34";"64.84";"67.19";"60.94";"40.62";"0.63392";"0.03295672796607017"
"6";"28.12";"50.0";"37.5";"43.75";"20.31";"39.06";"43.75";"26.56";"42.97";"31.25";"43.75";"58.59";"59.38";"51.56";"31.25";"0.6967";"0.02717397893667221";"51.56";"50.0";"68.75";"50.0";"29.69";"48.44";"51.56";"38.28";"51.56";"50.0";"53.12";"64.06";"66.41";"60.16";"40.62";"0.6535";"0.031060884388685227"
"7";"29.69";"50.0";"37.5";"43.75";"20.31";"40.62";"45.31";"27.34";"43.75";"37.5";"44.53";"58.59";"59.38";"50.78";"34.38";"0.712";"0.025265109851956367";"50.0";"60.0";"68.75";"46.88";"29.69";"48.44";"53.12";"38.28";"52.34";"50.0";"53.12";"64.06";"66.41";"59.38";"40.62";"0.67152";"0.029250864847302438"
"8";"31.25";"60.0";"43.75";"43.75";"21.88";"42.19";"46.88";"28.12";"44.53";"37.5";"45.31";"58.59";"59.38";"50.78";"34.38";"0.7285";"0.0243127565741539";"50.0";"60.0";"68.75";"46.88";"29.69";"50.0";"53.12";"39.06";"52.34";"43.75";"53.12";"64.06";"65.62";"58.59";"40.62";"0.69272";"0.027923609691262244"
"9";"32.81";"60.0";"43.75";"43.75";"21.88";"42.19";"48.44";"29.69";"45.31";"37.5";"46.09";"58.59";"59.38";"50.78";"34.38";"0.7425";"0.023278276896476744";"50.0";"60.0";"68.75";"46.88";"28.12";"50.0";"53.12";"39.84";"53.12";"43.75";"53.12";"64.06";"65.62";"58.59";"40.62";"0.70564";"0.026800699403882026"
