;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.03186028046131134;0.06868;0.030366268491744994;0.1017;12.5;31.25;18.75;18.75;9.38;14.06;17.19;6.25;7.03;4.69;3.91;3.12;3.12;7.81;4.0;31.25;50.0;43.75;43.75;29.69;50.0;50.0;32.03;37.5;29.69;25.0;19.53;14.06;39.06;10.0
1;0.028282651438713075;0.12318;0.027646952605247497;0.1372;25.0;37.5;25.0;25.0;14.06;23.44;26.56;11.72;13.28;9.38;6.25;3.91;3.91;9.38;6.0;43.75;50.0;46.88;40.62;32.81;51.56;54.69;36.72;41.41;31.25;20.31;13.28;10.16;32.81;12.0
2;0.026378561725616454;0.16104;0.025391373467445372;0.186;25.0;43.75;28.12;28.12;15.62;28.12;31.25;14.84;17.97;12.5;7.03;3.91;3.91;12.5;9.0;50.0;56.25;50.0;40.62;35.94;51.56;54.69;38.28;43.75;32.03;16.41;10.16;8.59;28.12;13.0
3;0.02491597144126892;0.192;0.024025709414482118;0.2218;37.5;43.75;31.25;28.12;18.75;31.25;35.94;17.97;23.44;15.62;7.81;4.69;4.69;12.5;10.0;56.25;56.25;50.0;37.5;35.94;51.56;56.25;40.62;46.09;33.59;14.84;7.81;7.81;26.56;14.0
4;0.023804421281814574;0.2171;0.023037803721427916;0.242;43.75;43.75;34.38;31.25;20.31;34.38;39.06;21.09;27.34;18.75;8.59;4.69;4.69;14.06;11.0;62.5;56.25;50.0;37.5;37.5;50.0;56.25;42.19;47.66;35.16;14.06;7.03;7.03;25.0;15.0
5;0.022926797747612;0.2401;0.0223028400182724;0.2686;50.0;50.0;37.5;31.25;21.88;35.94;42.19;23.44;30.47;21.09;8.59;4.69;5.47;14.06;12.0;62.5;56.25;50.0;37.5;37.5;50.0;56.25;42.97;49.22;36.72;13.28;6.25;7.03;23.44;16.0
6;0.022176436495780945;0.26108;0.02176474857330322;0.2768;50.0;50.0;37.5;34.38;23.44;37.5;45.31;25.0;33.59;24.22;9.38;4.69;5.47;14.06;12.0;62.5;56.25;50.0;37.5;39.06;48.44;56.25;44.53;50.78;38.28;13.28;5.47;7.03;23.44;16.0
7;0.02144733736991882;0.28134;0.021114872097969056;0.3019;50.0;50.0;40.62;34.38;25.0;37.5;45.31;27.34;36.72;26.56;9.38;5.47;6.25;15.62;13.0;62.5;56.25;50.0;37.5;39.06;48.44;56.25;45.31;52.34;40.62;12.5;5.47;7.81;23.44;17.0
8;0.02072257755279541;0.30372;0.019886233067512513;0.3341;50.0;50.0;40.62;34.38;26.56;39.06;46.88;28.91;38.28;28.91;10.16;5.47;6.25;17.19;13.0;68.75;50.0;50.0;37.5;39.06;46.88;56.25;46.88;53.12;42.19;12.5;5.47;7.03;23.44;18.0
9;0.02009997158050537;0.32062;0.019486616587638856;0.3491;56.25;50.0;40.62;34.38;26.56;39.06;48.44;29.69;41.41;30.47;10.16;5.47;6.25;17.19;14.0;68.75;50.0;50.0;37.5;40.62;46.88;56.25;47.66;54.69;42.97;12.5;5.47;7.81;21.88;18.0
10;0.019616953091621397;0.33646;0.02075376818180084;0.3342;56.25;50.0;43.75;34.38;28.12;40.62;50.0;31.25;42.97;32.81;10.16;5.47;7.03;15.62;14.0;68.75;50.0;50.0;37.5;39.06;46.88;56.25;48.44;55.47;44.53;11.72;5.47;7.81;21.88;19.0
11;0.019185204310417175;0.35044;0.019218038058280946;0.3601;56.25;50.0;43.75;34.38;29.69;40.62;50.0;32.03;45.31;34.38;10.16;4.69;7.03;15.62;14.0;68.75;50.0;50.0;37.5;40.62;45.31;56.25;49.22;56.25;46.09;11.72;5.47;7.81;21.88;19.0
12;0.018790194673538207;0.36254;0.018287740826606752;0.3872;56.25;50.0;43.75;34.38;29.69;40.62;51.56;33.59;46.88;35.94;10.16;4.69;7.03;15.62;15.0;68.75;50.0;50.0;37.5;39.06;45.31;57.81;49.22;57.03;46.88;11.72;5.47;8.59;20.31;20.0
13;0.018444848043918608;0.37258;0.018222303438186645;0.3872;56.25;50.0;43.75;34.38;29.69;40.62;53.12;34.38;48.44;37.5;10.16;4.69;7.03;15.62;15.0;68.75;50.0;50.0;37.5;39.06;45.31;57.81;50.0;57.81;48.44;11.72;4.69;7.81;20.31;20.0
14;0.018038387427330018;0.38584;0.018635768151283264;0.3763;56.25;50.0;43.75;37.5;31.25;40.62;53.12;35.94;49.22;39.06;10.16;4.69;7.81;15.62;15.0;68.75;50.0;50.0;37.5;39.06;45.31;57.81;50.78;58.59;49.22;11.72;4.69;8.59;20.31;20.0
15;0.017770159084796906;0.39428;0.017889072597026826;0.3929;62.5;50.0;43.75;37.5;31.25;42.19;53.12;36.72;50.0;40.62;10.94;4.69;7.81;17.19;15.0;68.75;50.0;50.0;37.5;39.06;43.75;57.81;50.78;58.59;50.78;10.94;4.69;7.81;20.31;20.0
16;0.017322404804229738;0.40756;0.017341819167137146;0.4239;62.5;50.0;46.88;37.5;31.25;42.19;53.12;37.5;51.56;42.19;10.94;5.47;7.81;17.19;15.0;68.75;50.0;50.0;37.5;40.62;43.75;57.81;51.56;59.38;51.56;11.72;5.47;7.81;21.88;20.0
17;0.017022082118988036;0.41564;0.017289279079437257;0.4208;62.5;50.0;46.88;37.5;31.25;42.19;54.69;38.28;52.34;43.75;10.94;5.47;7.81;18.75;15.0;68.75;50.0;50.0;37.5;40.62;43.75;57.81;52.34;59.38;52.34;11.72;5.47;8.59;21.88;21.0
18;0.01670608289718628;0.4272;0.017016465079784392;0.4325;62.5;50.0;46.88;37.5;31.25;42.19;54.69;39.06;53.12;44.53;11.72;5.47;7.81;18.75;15.0;68.75;50.0;50.0;37.5;40.62;43.75;57.81;52.34;60.16;53.12;11.72;5.47;8.59;23.44;21.0
19;0.01638301577091217;0.43728;0.016526477205753325;0.4396;62.5;50.0;46.88;37.5;32.81;42.19;54.69;39.84;53.91;46.09;11.72;5.47;7.81;20.31;16.0;68.75;50.0;50.0;37.5;40.62;43.75;57.81;53.12;60.94;53.91;11.72;5.47;8.59;23.44;21.0
20;0.01609351372241974;0.44528;0.016310367000102997;0.447;62.5;50.0;46.88;37.5;32.81;42.19;54.69;40.62;54.69;46.88;11.72;5.47;8.59;20.31;16.0;68.75;50.0;46.88;37.5;39.06;43.75;57.81;53.91;60.94;54.69;11.72;5.47;8.59;25.0;22.0
21;0.015789934477806092;0.45604;0.015936907768249513;0.4622;62.5;50.0;43.75;37.5;32.81;42.19;54.69;41.41;55.47;47.66;11.72;5.47;8.59;20.31;16.0;68.75;50.0;46.88;37.5;39.06;43.75;57.81;53.91;61.72;55.47;11.72;5.47;9.38;25.0;22.0
22;0.015490608367919921;0.4639;0.015771976268291472;0.4619;62.5;43.75;46.88;37.5;32.81;42.19;56.25;42.19;56.25;49.22;12.5;5.47;8.59;21.88;16.0;68.75;50.0;46.88;37.5;39.06;43.75;57.81;53.91;61.72;56.25;12.5;5.47;9.38;25.0;22.0
23;0.015339165058135986;0.4699;0.01666847585439682;0.451;62.5;50.0;46.88;37.5;32.81;42.19;56.25;42.97;57.03;50.0;12.5;5.47;8.59;21.88;16.0;68.75;50.0;46.88;37.5;39.06;43.75;57.81;54.69;62.5;57.03;12.5;5.47;9.38;25.0;23.0
24;0.015067829520702363;0.4777;0.015641518199443816;0.4713;62.5;50.0;43.75;37.5;32.81;42.19;56.25;43.75;57.03;50.78;12.5;5.47;8.59;21.88;16.0;68.75;50.0;46.88;37.5;39.06;42.19;57.81;54.69;62.5;57.81;12.5;5.47;9.38;26.56;23.0
25;0.014944450511932373;0.48144;0.015567692005634308;0.4716;62.5;43.75;43.75;37.5;32.81;42.19;56.25;44.53;57.81;51.56;12.5;5.47;9.38;21.88;16.0;68.75;50.0;46.88;37.5;39.06;42.19;57.81;54.69;63.28;57.81;12.5;5.47;9.38;26.56;23.0
26;0.014719885964393616;0.4888;0.01505697410106659;0.491;62.5;43.75;43.75;37.5;32.81;42.19;56.25;44.53;58.59;52.34;13.28;5.47;9.38;21.88;16.0;68.75;50.0;46.88;37.5;39.06;42.19;57.81;55.47;63.28;58.59;13.28;5.47;9.38;26.56;23.0
27;0.014525235958099365;0.49602;0.015438608169555664;0.4856;62.5;50.0;43.75;37.5;34.38;42.19;56.25;45.31;58.59;53.12;13.28;5.47;9.38;21.88;16.0;68.75;43.75;46.88;34.38;39.06;42.19;57.81;55.47;63.28;59.38;13.28;5.47;10.16;26.56;23.0
28;0.014267386872768403;0.50134;0.015175294494628906;0.4872;62.5;43.75;43.75;37.5;34.38;42.19;56.25;45.31;59.38;53.91;13.28;6.25;9.38;21.88;16.0;68.75;43.75;46.88;34.38;39.06;42.19;57.81;55.47;64.06;59.38;13.28;5.47;10.16;26.56;23.0
29;0.014082417068481446;0.51008;0.015388239276409149;0.4831;62.5;43.75;43.75;37.5;34.38;42.19;56.25;46.09;59.38;54.69;13.28;6.25;9.38;21.88;16.0;68.75;43.75;46.88;34.38;39.06;42.19;57.81;55.47;64.06;60.16;13.28;5.47;10.16;26.56;24.0
30;0.01395800094127655;0.51104;0.015015356612205506;0.4946;62.5;43.75;43.75;37.5;34.38;42.19;56.25;46.88;60.16;55.47;14.06;6.25;9.38;21.88;16.0;68.75;43.75;46.88;34.38;39.06;42.19;56.25;56.25;64.06;60.16;13.28;6.25;10.16;26.56;24.0
31;0.013812805666923523;0.51766;0.015428576564788818;0.4874;62.5;43.75;43.75;37.5;34.38;42.19;56.25;46.88;60.94;55.47;14.06;6.25;9.38;21.88;16.0;68.75;43.75;46.88;34.38;39.06;42.19;57.81;56.25;64.84;60.94;14.06;6.25;10.16;26.56;24.0
32;0.01358708208322525;0.52576;0.014971908414363862;0.4982;62.5;43.75;43.75;37.5;34.38;42.19;56.25;47.66;60.94;56.25;14.06;6.25;9.38;21.88;16.0;68.75;43.75;46.88;34.38;39.06;42.19;56.25;56.25;64.84;61.72;14.06;6.25;10.16;26.56;24.0
33;0.013392641327381135;0.53322;0.01472463277578354;0.5088;62.5;43.75;43.75;37.5;34.38;42.19;57.81;47.66;61.72;57.03;14.06;6.25;9.38;21.88;16.0;68.75;43.75;46.88;34.38;39.06;42.19;56.25;56.25;64.84;61.72;14.06;6.25;10.16;26.56;24.0
34;0.013285900104045867;0.53236;0.014591644752025604;0.511;62.5;43.75;43.75;37.5;34.38;42.19;56.25;48.44;61.72;57.81;14.06;6.25;9.38;21.88;16.0;68.75;43.75;46.88;34.38;39.06;42.19;56.25;56.25;64.84;62.5;14.06;6.25;10.16;28.12;24.0
35;0.01319058732509613;0.53666;0.014987651515007019;0.4995;62.5;43.75;43.75;37.5;34.38;42.19;56.25;48.44;62.5;58.59;14.06;6.25;9.38;23.44;16.0;68.75;43.75;46.88;34.38;39.06;42.19;56.25;57.03;65.62;62.5;14.06;6.25;10.16;28.12;24.0
36;0.012999391453266144;0.54328;0.014922226977348328;0.5066;62.5;43.75;43.75;37.5;34.38;42.19;56.25;48.44;62.5;58.59;14.06;6.25;9.38;23.44;16.0;68.75;43.75;46.88;34.38;39.06;40.62;56.25;57.03;65.62;63.28;14.06;6.25;10.16;28.12;24.0
37;0.012843182873725892;0.55072;0.014509446668624878;0.5118;62.5;43.75;43.75;37.5;34.38;42.19;56.25;49.22;62.5;59.38;14.84;6.25;10.16;23.44;16.0;68.75;43.75;46.88;34.38;39.06;40.62;56.25;57.03;65.62;63.28;14.06;6.25;10.16;28.12;24.0
38;0.012635361821651458;0.55484;0.014650973403453827;0.5128;62.5;43.75;43.75;37.5;34.38;42.19;56.25;49.22;63.28;59.38;14.84;7.03;10.16;23.44;17.0;68.75;43.75;46.88;34.38;39.06;40.62;56.25;57.03;65.62;63.28;14.84;6.25;10.16;28.12;24.0
39;0.012552338852882386;0.55678;0.014392634057998658;0.5226;62.5;43.75;43.75;37.5;34.38;42.19;56.25;49.22;63.28;60.16;14.84;7.03;10.16;23.44;17.0;68.75;43.75;43.75;34.38;39.06;40.62;56.25;57.03;65.62;64.06;14.84;6.25;10.16;29.69;25.0
40;0.012363973779678345;0.56266;0.014589098799228668;0.5138;62.5;43.75;43.75;37.5;34.38;42.19;56.25;50.0;63.28;60.16;14.84;7.03;10.16;25.0;17.0;68.75;43.75;43.75;34.38;39.06;40.62;56.25;57.03;66.41;64.06;14.84;6.25;10.94;29.69;25.0
41;0.012268787972927093;0.56796;0.01432675244808197;0.5248;62.5;43.75;43.75;37.5;34.38;42.19;56.25;50.0;64.06;60.94;14.84;7.03;10.16;25.0;17.0;68.75;43.75;43.75;34.38;39.06;40.62;56.25;57.03;66.41;64.84;14.84;6.25;10.94;29.69;25.0
42;0.012096922521591186;0.57024;0.014542253887653352;0.5256;62.5;43.75;43.75;37.5;34.38;42.19;57.81;50.78;64.06;60.94;14.84;7.03;10.16;25.0;17.0;68.75;43.75;43.75;34.38;39.06;40.62;56.25;57.81;66.41;64.84;14.84;6.25;10.94;29.69;25.0
43;0.011963266298770904;0.57746;0.014476305663585662;0.5187;62.5;43.75;43.75;37.5;35.94;42.19;56.25;50.78;64.06;61.72;14.84;7.03;10.16;25.0;17.0;68.75;43.75;43.75;34.38;39.06;40.62;56.25;57.81;66.41;64.84;14.84;6.25;10.94;29.69;25.0
44;0.011868495910167694;0.5791;0.01416210606098175;0.5313;62.5;43.75;43.75;37.5;35.94;42.19;57.81;50.78;64.06;61.72;15.62;7.03;10.16;25.0;17.0;68.75;43.75;43.75;34.38;39.06;40.62;56.25;57.81;66.41;65.62;14.84;7.03;10.94;31.25;25.0
45;0.011796231434345245;0.5768;0.014319114649295807;0.5285;62.5;43.75;43.75;37.5;34.38;42.19;56.25;50.78;64.84;62.5;15.62;7.03;10.94;25.0;17.0;68.75;43.75;43.75;34.38;39.06;40.62;56.25;57.81;66.41;65.62;15.62;7.03;10.94;31.25;25.0
46;0.011616563081741332;0.58712;0.014105310690402984;0.5371;62.5;43.75;43.75;34.38;35.94;42.19;56.25;51.56;64.84;62.5;15.62;7.03;10.16;26.56;17.0;68.75;43.75;43.75;34.38;39.06;40.62;56.25;57.81;66.41;65.62;15.62;7.03;10.94;31.25;25.0
47;0.011503927030563355;0.5929;0.01394847025871277;0.5347;62.5;43.75;43.75;34.38;35.94;42.19;56.25;51.56;64.84;63.28;15.62;7.03;10.16;26.56;17.0;68.75;43.75;43.75;34.38;39.06;40.62;56.25;57.81;67.19;66.41;15.62;7.03;10.94;31.25;25.0
48;0.011382315793037414;0.59362;0.014224736273288727;0.5328;62.5;43.75;43.75;34.38;35.94;40.62;56.25;51.56;64.84;63.28;15.62;7.03;10.94;26.56;17.0;68.75;43.75;43.75;34.38;39.06;40.62;56.25;57.81;67.19;66.41;15.62;7.03;10.94;32.81;25.0
49;0.011313739631175995;0.5955;0.014042855083942414;0.5375;62.5;43.75;43.75;34.38;35.94;40.62;56.25;51.56;64.84;63.28;15.62;7.03;10.94;26.56;17.0;68.75;43.75;43.75;34.38;39.06;39.06;56.25;57.81;67.19;66.41;15.62;7.03;10.94;32.81;25.0
