;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-7;training_accuracy;training_loss
0;7.81;3.0;12.5;28.12;14.06;25.0;26.56;14.06;26.56;25.0;21.88;29.69;29.69;15.62;21.88;0.0705;0.032481291127204895;60.94;12.0;12.5;37.5;25.0;42.19;39.06;32.03;48.44;31.25;50.0;64.06;71.09;63.28;28.12;0.03594;0.034606113319396975
1;14.06;6.0;12.5;34.38;20.31;34.38;32.81;17.19;27.34;37.5;21.88;25.78;20.31;9.38;31.25;0.1302;0.028597519326210023;53.12;8.0;18.75;46.88;35.94;54.69;50.0;37.5;51.56;43.75;50.0;56.25;60.16;48.44;40.62;0.09526;0.030414728484153747
2;17.19;8.0;12.5;40.62;23.44;39.06;37.5;19.53;28.91;43.75;24.22;25.0;18.75;10.16;34.38;0.1594;0.02701271185874939;45.31;10.0;25.0;50.0;40.62;57.81;54.69;41.41;54.69;50.0;51.56;51.56;52.34;36.72;46.88;0.13908;0.027791181035041808
3;20.31;9.0;18.75;43.75;25.0;42.19;40.62;21.09;32.03;50.0;27.34;24.22;18.75;9.38;37.5;0.1981;0.02552516007423401;40.62;11.0;25.0;50.0;43.75;59.38;56.25;42.97;57.03;50.0;53.12;48.44;45.31;28.12;50.0;0.17706;0.0260148308134079
4;21.88;10.0;25.0;43.75;28.12;45.31;43.75;22.66;35.94;50.0;32.03;25.0;18.75;9.38;37.5;0.2407;0.023557560563087464;39.06;12.0;31.25;50.0;45.31;59.38;59.38;44.53;59.38;50.0;55.47;44.53;39.84;22.66;50.0;0.20982;0.02457865303993225
5;23.44;10.0;31.25;43.75;28.12;46.88;46.88;25.0;39.06;50.0;35.94;25.78;18.75;9.38;40.62;0.2696;0.022344454884529113;37.5;13.0;37.5;50.0;45.31;60.94;60.94;46.09;60.94;50.0;57.03;42.19;35.94;18.75;50.0;0.24034;0.023323706197738648
6;25.0;11.0;31.25;43.75;29.69;46.88;48.44;26.56;42.19;50.0;39.06;26.56;17.97;9.38;40.62;0.2749;0.02282470202445984;37.5;14.0;37.5;50.0;45.31;60.94;62.5;46.88;62.5;56.25;58.59;40.62;33.59;16.41;50.0;0.26966;0.022244708132743835
7;25.0;12.0;37.5;43.75;29.69;48.44;50.0;28.91;44.53;50.0;42.19;27.34;17.97;9.38;40.62;0.3215;0.02070791652202606;35.94;15.0;43.75;46.88;45.31;60.94;62.5;48.44;63.28;56.25;60.16;39.84;31.25;14.06;50.0;0.29332;0.021330146222114564
8;26.56;12.0;37.5;43.75;31.25;48.44;53.12;29.69;46.88;50.0;44.53;27.34;17.97;9.38;40.62;0.3316;0.020137289905548094;35.94;16.0;43.75;46.88;45.31;59.38;62.5;49.22;64.06;56.25;61.72;39.06;28.91;12.5;50.0;0.3169;0.020507231912612917
9;26.56;13.0;37.5;43.75;31.25;48.44;54.69;31.25;49.22;50.0;46.88;28.91;18.75;9.38;40.62;0.3632;0.019054692423343657;35.94;17.0;43.75;46.88;45.31;59.38;62.5;50.78;64.84;56.25;63.28;39.06;28.12;11.72;50.0;0.33492;0.019819156489372252
