;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.13044033720970155;0.0549;0.12116601593494415;0.0824;12.5;25.0;18.75;21.88;9.38;17.19;14.06;7.03;7.81;5.47;5.47;3.91;3.12;7.81;5.0;31.25;56.25;50.0;59.38;42.19;56.25;56.25;40.62;51.56;47.66;47.66;43.75;29.69;48.44;18.0
1;0.1157838963985443;0.10952;0.10821825859546662;0.1397;18.75;31.25;25.0;34.38;14.06;23.44;21.88;10.16;12.5;9.38;7.81;4.69;3.91;10.94;9.0;43.75;56.25;56.25;59.38;43.75;59.38;57.81;39.84;49.22;39.84;34.38;23.44;14.84;40.62;26.0
2;0.10834979338169098;0.14606;0.10174113771915436;0.1817;25.0;37.5;31.25;34.38;17.19;28.12;28.12;13.28;16.41;12.5;9.38;5.47;4.69;14.06;11.0;50.0;56.25;59.38;59.38;43.75;57.81;56.25;39.06;47.66;37.5;27.34;15.62;12.5;39.06;29.0
3;0.10223941394329071;0.17672;0.09886121046543121;0.2009;31.25;43.75;31.25;37.5;20.31;32.81;32.81;15.62;21.09;14.84;8.59;5.47;5.47;17.19;14.0;56.25;56.25;59.38;56.25;42.19;54.69;54.69;39.06;47.66;37.5;21.88;11.72;10.94;37.5;31.0
4;0.09752161343097687;0.20452;0.09171648752689361;0.2477;37.5;43.75;34.38;40.62;21.88;34.38;35.94;17.97;25.0;17.19;9.38;5.47;6.25;18.75;16.0;62.5;56.25;56.25;53.12;42.19;51.56;53.12;40.62;48.44;37.5;17.97;8.59;10.16;37.5;31.0
5;0.09369257398605346;0.23062;0.08472935898303986;0.2845;43.75;43.75;37.5;40.62;23.44;34.38;39.06;20.31;29.69;19.53;9.38;5.47;6.25;20.31;17.0;62.5;56.25;56.25;53.12;42.19;51.56;53.12;42.19;50.0;37.5;15.62;7.03;10.94;35.94;31.0
6;0.0906314817905426;0.2511;0.08281489222049714;0.2954;50.0;50.0;37.5;40.62;25.0;35.94;42.19;21.88;32.81;21.09;10.16;4.69;7.03;20.31;18.0;62.5;62.5;56.25;50.0;42.19;50.0;53.12;43.75;51.56;38.28;14.06;5.47;10.94;34.38;32.0
7;0.0880745036649704;0.26798;0.08119217004776001;0.3103;50.0;50.0;40.62;40.62;26.56;35.94;43.75;24.22;35.16;23.44;10.16;4.69;7.03;20.31;18.0;62.5;62.5;56.25;50.0;42.19;48.44;53.12;44.53;52.34;39.84;13.28;5.47;10.94;32.81;31.0
8;0.08591155784845352;0.2799;0.0797381042599678;0.3248;56.25;50.0;40.62;40.62;26.56;37.5;45.31;25.0;38.28;25.0;10.16;4.69;7.81;18.75;19.0;68.75;62.5;56.25;50.0;42.19;48.44;53.12;45.31;53.12;40.62;12.5;4.69;10.94;31.25;31.0
9;0.08395893084287644;0.29642;0.07738705757856369;0.3447;56.25;50.0;40.62;40.62;28.12;39.06;45.31;26.56;39.84;27.34;10.16;4.69;7.81;18.75;19.0;68.75;62.5;56.25;50.0;42.19;46.88;53.12;46.09;53.91;42.19;11.72;4.69;10.94;31.25;31.0
10;0.08228133692026138;0.31014;0.07599557085037231;0.356;56.25;50.0;40.62;40.62;29.69;39.06;46.88;28.12;42.19;28.91;10.16;4.69;8.59;18.75;19.0;68.75;62.5;56.25;46.88;42.19;46.88;53.12;46.88;54.69;42.97;10.94;4.69;11.72;29.69;31.0
11;0.08075480160474777;0.32202;0.07334400262832641;0.3789;56.25;56.25;40.62;43.75;29.69;39.06;48.44;29.69;43.75;30.47;9.38;4.69;8.59;18.75;19.0;68.75;62.5;53.12;46.88;42.19;45.31;53.12;47.66;55.47;43.75;10.94;4.69;11.72;28.12;31.0
12;0.07919629161119461;0.33288;0.07244626971483231;0.3856;56.25;50.0;43.75;43.75;31.25;39.06;48.44;31.25;45.31;32.03;9.38;4.69;8.59;17.19;20.0;68.75;62.5;53.12;46.88;42.19;45.31;53.12;48.44;56.25;44.53;10.16;4.69;11.72;28.12;31.0
13;0.07827652005434037;0.33812;0.07041404312849045;0.4016;56.25;56.25;43.75;43.75;31.25;40.62;48.44;32.03;46.09;34.38;9.38;4.69;9.38;17.19;20.0;68.75;56.25;53.12;46.88;42.19;43.75;53.12;48.44;56.25;46.09;10.16;4.69;11.72;26.56;31.0
14;0.07676032056331634;0.35128;0.07143688294887543;0.3946;56.25;56.25;43.75;43.75;31.25;40.62;50.0;32.81;47.66;35.16;9.38;4.69;9.38;17.19;20.0;68.75;56.25;53.12;46.88;42.19;43.75;53.12;49.22;57.03;46.88;9.38;4.69;11.72;26.56;31.0
15;0.07579915882349014;0.35612;0.06949142524003983;0.4053;56.25;56.25;43.75;43.75;32.81;40.62;50.0;33.59;48.44;36.72;9.38;4.69;9.38;17.19;20.0;68.75;56.25;53.12;46.88;42.19;43.75;53.12;49.22;57.03;47.66;9.38;4.69;11.72;26.56;31.0
16;0.07421972563743591;0.37142;0.06829882054328919;0.4184;56.25;56.25;43.75;43.75;32.81;40.62;50.0;35.16;49.22;38.28;9.38;4.69;9.38;17.19;20.0;68.75;56.25;53.12;43.75;42.19;42.19;53.12;50.0;57.03;48.44;9.38;4.69;11.72;25.0;31.0
17;0.07348918494701386;0.3781;0.06767344074249268;0.4214;56.25;56.25;43.75;43.75;32.81;40.62;50.0;35.16;50.0;39.84;9.38;4.69;9.38;17.19;20.0;68.75;56.25;50.0;46.88;42.19;42.19;53.12;50.0;57.81;49.22;9.38;4.69;10.94;25.0;31.0
18;0.07292289677143098;0.38356;0.06664887200593948;0.4351;56.25;56.25;43.75;43.75;32.81;40.62;50.0;35.94;50.78;40.62;9.38;4.69;9.38;17.19;20.0;68.75;56.25;50.0;46.88;40.62;42.19;53.12;50.0;57.81;50.0;9.38;4.69;10.94;25.0;31.0
19;0.07159983046293258;0.39466;0.0660975182890892;0.4354;56.25;56.25;43.75;43.75;32.81;40.62;51.56;37.5;51.56;42.19;9.38;4.69;9.38;17.19;20.0;68.75;56.25;50.0;46.88;40.62;40.62;53.12;50.78;57.81;50.78;9.38;4.69;10.16;25.0;31.0
20;0.07084275419950485;0.40038;0.06589903120994568;0.4394;56.25;56.25;43.75;43.75;34.38;40.62;51.56;38.28;52.34;42.97;9.38;4.69;8.59;17.19;20.0;68.75;56.25;50.0;43.75;40.62;40.62;53.12;50.78;58.59;51.56;8.59;4.69;10.16;25.0;31.0
21;0.06990296763420105;0.40566;0.06462992949485778;0.4486;56.25;56.25;43.75;43.75;34.38;39.06;51.56;39.06;53.12;44.53;9.38;4.69;8.59;17.19;20.0;68.75;56.25;50.0;43.75;40.62;40.62;53.12;50.78;58.59;52.34;8.59;4.69;9.38;25.0;31.0
22;0.06879801208019257;0.41358;0.06514229898452759;0.4489;56.25;56.25;43.75;43.75;34.38;39.06;51.56;39.84;53.91;45.31;9.38;4.69;8.59;18.75;20.0;68.75;56.25;50.0;43.75;40.62;39.06;53.12;51.56;59.38;52.34;9.38;4.69;9.38;26.56;31.0
23;0.06797528490781785;0.42054;0.06369215302467346;0.456;56.25;56.25;40.62;43.75;34.38;39.06;51.56;39.84;53.91;46.09;9.38;4.69;8.59;18.75;20.0;68.75;56.25;46.88;43.75;40.62;39.06;51.56;51.56;59.38;53.12;9.38;4.69;8.59;28.12;31.0
