;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-7;training_accuracy;training_loss
0;78.12;39.0;12.5;25.0;12.5;28.12;29.69;20.31;50.0;18.75;50.78;68.75;77.34;77.34;15.62;0.0206;0.009172833442687989;82.81;46.0;12.5;25.0;12.5;31.25;31.25;21.88;50.78;18.75;52.34;70.31;78.12;78.91;15.62;0.01378;0.009014382724761964
1;71.88;30.0;12.5;25.0;12.5;28.12;29.69;20.31;48.44;18.75;50.0;67.97;75.78;76.56;18.75;0.0215;0.009085105037689209;81.25;44.0;12.5;25.0;14.06;31.25;31.25;21.88;50.78;18.75;52.34;70.31;78.12;78.12;15.62;0.0211;0.008958961944580079
2;65.62;21.0;12.5;25.0;12.5;28.12;29.69;20.31;47.66;18.75;49.22;67.97;75.78;75.78;18.75;0.024;0.009002277660369873;78.12;40.0;12.5;25.0;14.06;31.25;31.25;21.88;50.0;18.75;51.56;69.53;77.34;77.34;18.75;0.02366;0.008877175674438477
3;60.94;13.0;12.5;21.88;12.5;26.56;29.69;20.31;46.88;18.75;48.44;67.19;75.0;75.0;18.75;0.0233;0.008921447944641113;75.0;34.0;12.5;25.0;14.06;31.25;31.25;21.88;49.22;18.75;50.78;68.75;77.34;76.56;18.75;0.024;0.008800199213027955
4;57.81;8.0;12.5;25.0;12.5;26.56;28.12;20.31;46.09;18.75;48.44;66.41;75.0;74.22;18.75;0.0266;0.008861119985580444;71.88;29.0;12.5;25.0;14.06;31.25;31.25;21.88;49.22;18.75;50.78;68.75;76.56;76.56;18.75;0.02692;0.00873527931213379
5;56.25;4.0;12.5;25.0;12.5;26.56;29.69;20.31;46.09;18.75;47.66;66.41;74.22;73.44;18.75;0.0302;0.008797564268112183;70.31;24.0;12.5;25.0;14.06;31.25;31.25;21.88;48.44;18.75;50.0;68.75;76.56;75.78;18.75;0.02866;0.00867797945022583
6;53.12;3.0;12.5;25.0;12.5;28.12;29.69;20.31;45.31;25.0;47.66;66.41;74.22;73.44;18.75;0.0307;0.00873596749305725;68.75;20.0;12.5;25.0;14.06;31.25;31.25;21.88;48.44;25.0;50.0;67.97;75.78;75.0;18.75;0.03004;0.008621002902984619
7;51.56;2.0;12.5;25.0;12.5;28.12;29.69;20.31;45.31;25.0;47.66;66.41;73.44;72.66;18.75;0.0339;0.008685209512710571;67.19;17.0;12.5;25.0;15.62;31.25;31.25;21.88;48.44;25.0;50.0;67.97;75.78;75.0;18.75;0.03206;0.008570726461410522
8;50.0;2.0;12.5;25.0;14.06;28.12;29.69;20.31;45.31;25.0;46.88;65.62;73.44;72.66;18.75;0.0363;0.008643431138992309;65.62;14.0;12.5;25.0;15.62;31.25;32.81;21.88;47.66;25.0;50.0;67.97;75.78;74.22;18.75;0.03564;0.008523538417816163
9;48.44;2.0;12.5;25.0;14.06;28.12;29.69;20.31;44.53;25.0;46.88;65.62;73.44;71.88;18.75;0.0387;0.008604153776168823;65.62;11.0;12.5;25.0;15.62;31.25;32.81;21.88;47.66;25.0;49.22;67.97;75.0;74.22;18.75;0.0378;0.008480689029693603
10;46.88;2.0;12.5;25.0;14.06;28.12;29.69;20.31;44.53;25.0;46.88;65.62;73.44;71.88;18.75;0.0406;0.008566656446456909;64.06;9.0;12.5;25.0;15.62;31.25;32.81;21.88;47.66;25.0;49.22;67.19;75.0;73.44;18.75;0.04044;0.008445231056213379
11;46.88;2.0;12.5;25.0;14.06;28.12;29.69;20.31;44.53;25.0;46.88;65.62;72.66;71.09;21.88;0.0442;0.008532586669921875;62.5;7.0;12.5;25.0;15.62;31.25;32.81;22.66;47.66;25.0;49.22;67.19;75.0;73.44;21.88;0.04218;0.008409970226287842
12;45.31;2.0;12.5;25.0;14.06;28.12;29.69;21.09;44.53;25.0;46.09;64.84;72.66;71.09;21.88;0.0488;0.008502196407318115;62.5;6.0;12.5;28.12;15.62;32.81;32.81;22.66;46.88;25.0;49.22;67.19;74.22;73.44;21.88;0.04476;0.008376540555953979
13;45.31;2.0;12.5;25.0;14.06;29.69;29.69;21.09;43.75;25.0;46.09;64.84;72.66;70.31;21.88;0.051;0.008467664241790771;62.5;5.0;12.5;28.12;17.19;32.81;32.81;22.66;46.88;25.0;48.44;67.19;74.22;72.66;21.88;0.0469;0.00834564305305481
14;43.75;2.0;12.5;28.12;15.62;29.69;29.69;21.09;43.75;25.0;46.09;64.84;71.88;70.31;21.88;0.052;0.00843779330253601;60.94;5.0;18.75;28.12;17.19;32.81;32.81;22.66;46.88;25.0;48.44;67.19;74.22;72.66;21.88;0.0497;0.008312042465209961
15;43.75;2.0;12.5;28.12;15.62;29.69;29.69;21.09;43.75;25.0;46.09;64.84;71.88;70.31;21.88;0.0541;0.008406724500656129;60.94;4.0;18.75;28.12;17.19;32.81;32.81;22.66;46.88;25.0;48.44;66.41;74.22;71.88;21.88;0.05122;0.008282775402069092
16;43.75;2.0;12.5;28.12;15.62;29.69;29.69;21.09;43.75;25.0;45.31;64.84;71.88;69.53;21.88;0.0559;0.008369412803649902;60.94;4.0;18.75;28.12;17.19;32.81;32.81;22.66;46.09;31.25;48.44;66.41;73.44;71.88;21.88;0.05444;0.00825044379234314
17;43.75;2.0;12.5;28.12;15.62;29.69;29.69;21.09;43.75;25.0;45.31;64.84;71.88;69.53;21.88;0.0605;0.00833244481086731;60.94;4.0;18.75;28.12;17.19;32.81;32.81;22.66;46.09;31.25;47.66;66.41;73.44;71.88;21.88;0.05744;0.008217212476730346
18;43.75;3.0;12.5;28.12;15.62;29.69;31.25;21.09;42.97;31.25;45.31;64.06;71.88;69.53;21.88;0.0652;0.008292402744293213;60.94;4.0;18.75;28.12;17.19;32.81;32.81;22.66;46.09;31.25;47.66;66.41;73.44;71.09;21.88;0.06032;0.008177861833572388
19;43.75;3.0;12.5;28.12;15.62;29.69;31.25;21.09;42.97;31.25;45.31;64.06;71.09;69.53;21.88;0.0725;0.008247469234466552;60.94;4.0;18.75;28.12;17.19;32.81;32.81;22.66;46.09;31.25;47.66;66.41;73.44;71.09;21.88;0.06358;0.008148605823516846
20;43.75;3.0;12.5;28.12;15.62;31.25;31.25;21.09;42.97;31.25;45.31;64.06;71.09;68.75;21.88;0.0738;0.008209153127670288;60.94;4.0;18.75;28.12;17.19;32.81;32.81;22.66;46.09;31.25;47.66;66.41;73.44;71.09;21.88;0.06786;0.00810458420753479
21;43.75;3.0;12.5;28.12;15.62;31.25;31.25;21.09;42.97;31.25;44.53;64.06;71.09;68.75;21.88;0.0785;0.008164191675186156;60.94;4.0;18.75;28.12;17.19;34.38;32.81;22.66;46.09;31.25;47.66;65.62;72.66;71.09;21.88;0.06862;0.008065884227752685
22;43.75;3.0;12.5;28.12;15.62;31.25;31.25;21.09;42.97;31.25;44.53;64.06;71.09;68.75;21.88;0.0799;0.008119260215759278;60.94;5.0;18.75;28.12;17.19;34.38;32.81;22.66;46.09;31.25;46.88;65.62;72.66;70.31;21.88;0.07188;0.008032448377609252
23;43.75;3.0;12.5;28.12;15.62;31.25;31.25;21.09;42.97;31.25;44.53;64.06;71.09;68.75;25.0;0.085;0.008073041868209839;60.94;5.0;18.75;28.12;17.19;34.38;32.81;22.66;45.31;31.25;46.88;65.62;72.66;70.31;25.0;0.07344;0.007989602718353271
24;43.75;4.0;12.5;28.12;17.19;31.25;31.25;21.09;42.97;31.25;44.53;63.28;70.31;67.97;25.0;0.0861;0.008027371573448181;60.94;5.0;18.75;28.12;17.19;34.38;32.81;22.66;45.31;31.25;46.88;65.62;72.66;70.31;25.0;0.07848;0.007946022391319274
25;43.75;4.0;12.5;28.12;17.19;31.25;31.25;21.09;42.19;31.25;44.53;63.28;70.31;67.97;25.0;0.0881;0.007978477168083191;60.94;5.0;18.75;28.12;17.19;34.38;32.81;22.66;45.31;31.25;46.88;65.62;72.66;70.31;25.0;0.08344;0.007903959698677063
26;43.75;4.0;18.75;28.12;17.19;32.81;31.25;21.09;42.19;31.25;44.53;63.28;70.31;67.97;25.0;0.0945;0.007930837202072143;60.94;5.0;18.75;28.12;18.75;34.38;32.81;22.66;45.31;31.25;46.88;65.62;71.88;69.53;25.0;0.08584;0.007857076077461243
