;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.5351560752439499;0.0433;0.492697659778595;0.0825;12.5;25.0;15.62;21.88;10.94;23.44;26.56;14.84;28.91;25.78;45.31;41.41;32.81;7.81;4.0;37.5;56.25;46.88;50.0;37.5;51.56;50.0;38.28;53.91;50.0;66.41;67.19;66.41;56.25;19.0
1;0.4970753587293625;0.0818;0.45273103959560396;0.1291;18.75;37.5;25.0;34.38;15.62;31.25;35.94;19.53;35.16;30.47;46.88;41.41;32.03;14.06;8.0;56.25;62.5;53.12;56.25;40.62;56.25;56.25;40.62;56.25;50.78;64.84;64.06;60.94;51.56;22.0
2;0.4747906284570694;0.10612;0.42946438467502596;0.1656;25.0;43.75;31.25;37.5;20.31;37.5;40.62;21.88;38.28;33.59;48.44;42.19;32.03;20.31;10.0;62.5;62.5;53.12;56.25;40.62;59.38;57.81;42.19;57.03;51.56;63.28;60.94;57.03;48.44;24.0
3;0.45466147011756897;0.13096;0.4082715854048729;0.2051;31.25;50.0;31.25;40.62;21.88;42.19;43.75;24.22;40.62;36.72;49.22;42.97;31.25;23.44;12.0;68.75;62.5;50.0;56.25;42.19;60.94;59.38;43.75;57.81;53.12;62.5;60.16;54.69;50.0;26.0
4;0.43723729835033415;0.15508;0.38594563710689545;0.2262;37.5;50.0;34.38;40.62;23.44;45.31;46.88;25.78;42.97;39.06;49.22;43.75;32.03;28.12;14.0;68.75;62.5;53.12;53.12;42.19;60.94;60.94;44.53;59.38;53.91;60.94;58.59;52.34;50.0;26.0
5;0.42211261536598205;0.17346;0.37009578952789307;0.2531;43.75;50.0;37.5;43.75;25.0;48.44;50.0;27.34;45.31;41.41;48.44;44.53;32.03;31.25;15.0;75.0;62.5;53.12;53.12;42.19;60.94;62.5;46.09;60.16;55.47;60.16;58.59;50.78;51.56;26.0
6;0.40755701972484587;0.19408;0.3522273612380028;0.2746;43.75;56.25;40.62;43.75;26.56;50.0;51.56;28.12;47.66;42.97;48.44;44.53;32.03;34.38;16.0;75.0;62.5;53.12;50.0;42.19;60.94;62.5;46.88;60.94;57.03;58.59;57.81;50.0;53.12;27.0
7;0.3952982621717453;0.21324;0.3394855449557304;0.2985;43.75;56.25;40.62;43.75;28.12;51.56;53.12;29.69;49.22;44.53;48.44;44.53;32.03;35.94;17.0;75.0;62.5;53.12;50.0;42.19;60.94;62.5;46.88;61.72;57.81;57.81;57.03;48.44;54.69;28.0
8;0.38449913266181945;0.22918;0.32843850442171096;0.3198;43.75;56.25;40.62;43.75;28.12;53.12;54.69;30.47;50.78;46.09;47.66;45.31;32.03;39.06;17.0;75.0;62.5;53.12;46.88;42.19;60.94;62.5;47.66;62.5;58.59;57.03;56.25;46.88;54.69;28.0
9;0.3758769041490555;0.24516;0.3214764372467995;0.3257;43.75;50.0;40.62;43.75;29.69;53.12;54.69;31.25;51.56;47.66;48.44;45.31;32.81;40.62;18.0;75.0;62.5;53.12;46.88;42.19;60.94;62.5;48.44;63.28;60.16;56.25;54.69;46.09;56.25;29.0
10;0.3653690545845032;0.26098;0.3082660535752773;0.3466;43.75;50.0;43.75;43.75;29.69;53.12;54.69;32.03;53.12;48.44;48.44;45.31;32.81;42.19;19.0;75.0;56.25;53.12;46.88;42.19;59.38;62.5;49.22;64.06;60.94;55.47;53.91;45.31;56.25;29.0
11;0.3575196050190926;0.27334;0.3030096152424812;0.3617;50.0;50.0;43.75;43.75;31.25;53.12;54.69;32.81;53.91;50.0;48.44;44.53;33.59;42.19;19.0;75.0;56.25;53.12;46.88;42.19;59.38;62.5;50.0;64.06;61.72;55.47;53.12;44.53;56.25;29.0
12;0.3512290595304966;0.28602;0.3014961673378944;0.3725;50.0;50.0;43.75;43.75;31.25;54.69;56.25;34.38;54.69;50.78;48.44;44.53;33.59;42.19;19.0;75.0;56.25;53.12;46.88;42.19;59.38;62.5;50.78;64.84;62.5;54.69;52.34;44.53;56.25;29.0
