;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-7;training_accuracy;training_loss
0;78.12;50.0;25.0;31.25;18.75;37.5;31.25;21.88;53.12;37.5;57.81;68.75;75.0;75.0;25.0;0.5575;0.005517199516296387;81.25;50.0;25.0;37.5;21.88;37.5;34.38;23.44;54.69;37.5;59.38;70.31;76.56;76.56;25.0;0.5283;0.00546387374997139
1;81.25;50.0;25.0;31.25;18.75;37.5;31.25;21.88;54.69;37.5;59.38;70.31;76.56;76.56;25.0;0.5625;0.005475813508033753;81.25;50.0;25.0;37.5;21.88;37.5;34.38;23.44;54.69;37.5;59.38;70.31;76.56;76.56;25.0;0.5403;0.005448045521974564
2;81.25;50.0;25.0;31.25;18.75;37.5;31.25;21.88;54.69;37.5;59.38;70.31;76.56;76.56;25.0;0.5655;0.005436215311288834;81.25;50.0;25.0;37.5;21.88;37.5;34.38;23.44;54.69;37.5;59.38;70.31;76.56;76.56;25.0;0.5449;0.0054263458728790286
3;81.25;50.0;25.0;37.5;18.75;40.62;31.25;23.44;54.69;37.5;59.38;70.31;76.56;76.56;25.0;0.584;0.0053870341777801515;81.25;50.0;25.0;37.5;21.88;37.5;34.38;23.44;54.69;37.5;59.38;70.31;76.56;76.56;25.0;0.5576;0.0053822692930698395
4;81.25;50.0;25.0;37.5;21.88;40.62;31.25;23.44;54.69;50.0;59.38;70.31;76.56;76.56;25.0;0.588;0.005342335730791092;81.25;50.0;25.0;37.5;21.88;40.62;37.5;25.0;54.69;37.5;59.38;70.31;76.56;76.56;25.0;0.5636;0.005365141373872757
5;81.25;50.0;25.0;37.5;21.88;40.62;34.38;23.44;54.69;50.0;59.38;70.31;76.56;75.0;25.0;0.593;0.005334638208150864;81.25;50.0;25.0;37.5;25.0;40.62;37.5;25.0;54.69;37.5;59.38;70.31;76.56;76.56;25.0;0.5778;0.00533439547419548
6;78.12;50.0;37.5;37.5;21.88;40.62;34.38;23.44;53.12;50.0;57.81;70.31;76.56;75.0;25.0;0.601;0.005284072935581207;81.25;50.0;37.5;37.5;25.0;40.62;37.5;25.0;54.69;37.5;59.38;70.31;76.56;76.56;25.0;0.5834;0.005321387881040573
7;78.12;50.0;25.0;37.5;21.88;40.62;34.38;23.44;53.12;50.0;57.81;70.31;76.56;75.0;25.0;0.6085;0.005266604751348496;81.25;50.0;37.5;37.5;25.0;40.62;37.5;25.0;54.69;37.5;59.38;70.31;76.56;76.56;25.0;0.5875;0.005290779626369476
8;78.12;0.0;25.0;37.5;21.88;40.62;34.38;23.44;53.12;50.0;57.81;70.31;76.56;75.0;25.0;0.605;0.005272523462772369;81.25;50.0;37.5;37.5;25.0;40.62;37.5;25.0;54.69;37.5;59.38;70.31;76.56;76.56;25.0;0.591;0.005273228168487549
9;78.12;0.0;25.0;37.5;21.88;40.62;34.38;23.44;53.12;50.0;57.81;70.31;76.56;75.0;25.0;0.6135;0.005213190943002701;81.25;50.0;37.5;37.5;25.0;40.62;37.5;25.0;54.69;37.5;59.38;70.31;76.56;76.56;25.0;0.6009;0.005261988705396652
10;75.0;0.0;25.0;37.5;21.88;40.62;34.38;23.44;53.12;50.0;57.81;70.31;76.56;75.0;25.0;0.615;0.005194080919027328;81.25;50.0;37.5;37.5;25.0;40.62;37.5;25.0;54.69;37.5;59.38;70.31;76.56;76.56;25.0;0.6036;0.005212696099281311
11;75.0;0.0;25.0;37.5;21.88;40.62;34.38;23.44;53.12;50.0;57.81;70.31;76.56;75.0;25.0;0.621;0.00515721669793129;81.25;50.0;37.5;37.5;25.0;40.62;37.5;26.56;54.69;50.0;59.38;70.31;76.56;75.0;25.0;0.6115;0.005189764672517776
12;75.0;0.0;25.0;37.5;25.0;40.62;34.38;25.0;53.12;50.0;57.81;70.31;76.56;75.0;25.0;0.6335;0.005128702044487;81.25;50.0;37.5;37.5;25.0;40.62;37.5;26.56;54.69;50.0;59.38;70.31;76.56;75.0;25.0;0.615;0.005182660794258118
13;75.0;0.0;25.0;37.5;25.0;40.62;34.38;25.0;53.12;50.0;57.81;70.31;76.56;75.0;25.0;0.6395;0.005099379032850265;78.12;50.0;37.5;37.5;25.0;40.62;37.5;26.56;54.69;50.0;59.38;70.31;76.56;75.0;25.0;0.6224;0.005121831399202347
14;75.0;0.0;25.0;37.5;25.0;43.75;34.38;25.0;53.12;50.0;57.81;70.31;75.0;75.0;25.0;0.6415;0.0050654904544353485;78.12;50.0;37.5;37.5;25.0;43.75;37.5;26.56;54.69;50.0;59.38;70.31;76.56;75.0;25.0;0.62;0.0051482034683227535
15;75.0;0.0;25.0;37.5;25.0;43.75;34.38;25.0;53.12;50.0;57.81;70.31;75.0;75.0;25.0;0.634;0.005069755345582962;78.12;50.0;37.5;37.5;28.12;43.75;37.5;26.56;54.69;50.0;59.38;70.31;76.56;75.0;25.0;0.6227;0.00510182483792305
16;75.0;0.0;25.0;37.5;25.0;43.75;34.38;25.0;53.12;50.0;57.81;70.31;75.0;75.0;25.0;0.6375;0.0050291759967803955;78.12;0.0;37.5;37.5;28.12;43.75;37.5;26.56;54.69;50.0;59.38;70.31;76.56;75.0;31.25;0.6314;0.0050683676123619075
17;71.88;0.0;25.0;37.5;25.0;43.75;34.38;25.0;53.12;50.0;57.81;70.31;75.0;75.0;25.0;0.644;0.005004223495721817;78.12;0.0;37.5;37.5;28.12;43.75;37.5;26.56;54.69;50.0;59.38;70.31;76.56;75.0;31.25;0.635;0.005025903850793838
18;71.88;0.0;25.0;37.5;25.0;43.75;34.38;25.0;53.12;50.0;57.81;70.31;75.0;75.0;31.25;0.633;0.005017051488161087;78.12;0.0;37.5;37.5;28.12;43.75;37.5;26.56;54.69;50.0;59.38;70.31;76.56;75.0;31.25;0.6436;0.005007072842121124
19;71.88;0.0;25.0;37.5;25.0;43.75;34.38;25.0;53.12;50.0;57.81;70.31;75.0;73.44;31.25;0.6445;0.004981034100055694;78.12;0.0;25.0;37.5;28.12;43.75;37.5;26.56;54.69;50.0;59.38;70.31;76.56;75.0;31.25;0.6406;0.004984540694952011
