;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.0013839458167552948;0.5216;0.0013854170441627502;0.54;12.5;25.0;12.5;25.0;12.5;25.0;21.88;26.56;50.0;48.44;64.06;67.19;70.31;68.75;50.0;12.5;25.0;18.75;31.25;15.62;34.38;28.12;31.25;57.81;54.69;70.31;76.56;76.56;81.25;50.0
1;0.0013761702120304107;0.5422;0.0013791591227054595;0.54;12.5;25.0;12.5;25.0;12.5;28.12;28.12;29.69;54.69;51.56;68.75;73.44;75.0;75.0;50.0;12.5;25.0;18.75;31.25;15.62;34.38;28.12;31.25;57.81;54.69;70.31;76.56;78.12;81.25;50.0
2;0.001367511808872223;0.5561;0.0013512858152389525;0.569;12.5;25.0;18.75;31.25;15.62;31.25;28.12;29.69;54.69;53.12;68.75;75.0;75.0;75.0;0.0;12.5;25.0;18.75;31.25;15.62;34.38;31.25;32.81;57.81;56.25;70.31;76.56;78.12;81.25;50.0
3;0.0013521945476531983;0.5783;0.0013395537734031677;0.5825;12.5;25.0;18.75;31.25;15.62;31.25;28.12;31.25;54.69;53.12;68.75;75.0;75.0;71.88;0.0;12.5;25.0;18.75;37.5;15.62;34.38;31.25;32.81;57.81;56.25;70.31;76.56;78.12;81.25;50.0
4;0.0013415151476860046;0.5862;0.0013180569112300872;0.5955;25.0;25.0;18.75;31.25;15.62;31.25;28.12;31.25;54.69;53.12;68.75;75.0;75.0;71.88;0.0;12.5;25.0;18.75;37.5;15.62;37.5;31.25;34.38;57.81;56.25;70.31;76.56;78.12;81.25;50.0
5;0.001332330685853958;0.5886;0.0013137041628360749;0.6045;25.0;25.0;18.75;31.25;15.62;34.38;28.12;31.25;54.69;53.12;68.75;75.0;75.0;71.88;0.0;25.0;25.0;18.75;37.5;15.62;37.5;31.25;34.38;57.81;54.69;70.31;76.56;76.56;81.25;50.0
6;0.0013430760085582734;0.5865;0.0013127890825271606;0.604;25.0;25.0;18.75;31.25;15.62;31.25;28.12;31.25;54.69;53.12;68.75;73.44;75.0;71.88;0.0;25.0;25.0;18.75;37.5;15.62;37.5;31.25;34.38;57.81;54.69;70.31;76.56;76.56;78.12;50.0
7;0.0013303051948547362;0.5934;0.0013113254010677338;0.607;25.0;25.0;18.75;31.25;15.62;31.25;28.12;31.25;54.69;53.12;68.75;73.44;75.0;68.75;0.0;25.0;25.0;18.75;37.5;15.62;37.5;31.25;34.38;57.81;54.69;70.31;76.56;76.56;78.12;50.0
8;0.0013394384622573852;0.5912;0.001309783011674881;0.609;25.0;25.0;18.75;31.25;15.62;31.25;28.12;31.25;54.69;53.12;68.75;73.44;75.0;68.75;0.0;25.0;25.0;18.75;37.5;15.62;34.38;31.25;34.38;57.81;54.69;70.31;75.0;76.56;78.12;0.0
9;0.0013302229166030884;0.5928;0.0013061532080173492;0.6105;25.0;25.0;18.75;31.25;15.62;31.25;28.12;31.25;54.69;53.12;68.75;73.44;75.0;68.75;0.0;25.0;25.0;18.75;37.5;15.62;34.38;31.25;32.81;57.81;54.69;70.31;75.0;76.56;78.12;0.0
10;0.0013327678740024567;0.5929;0.0013056891858577728;0.6145;25.0;25.0;18.75;31.25;15.62;31.25;28.12;31.25;54.69;53.12;67.19;73.44;75.0;68.75;0.0;25.0;25.0;18.75;37.5;15.62;34.38;31.25;32.81;57.81;54.69;70.31;75.0;76.56;78.12;0.0
11;0.0013297793745994568;0.5994;0.0013059836626052857;0.608;25.0;25.0;18.75;31.25;15.62;31.25;28.12;31.25;54.69;53.12;67.19;73.44;75.0;68.75;0.0;25.0;25.0;18.75;37.5;15.62;34.38;31.25;32.81;57.81;54.69;70.31;75.0;76.56;78.12;0.0
12;0.001325711089372635;0.6;0.0013064111173152924;0.6065;25.0;25.0;18.75;31.25;15.62;31.25;28.12;31.25;54.69;53.12;67.19;73.44;75.0;68.75;0.0;25.0;25.0;18.75;37.5;15.62;34.38;31.25;32.81;57.81;54.69;70.31;75.0;76.56;75.0;0.0
13;0.0013323373019695282;0.5878;0.0013061164021492004;0.608;25.0;25.0;18.75;31.25;15.62;31.25;28.12;31.25;54.69;53.12;67.19;73.44;75.0;65.62;0.0;25.0;25.0;18.75;37.5;15.62;34.38;31.25;32.81;57.81;54.69;70.31;75.0;76.56;75.0;0.0
14;0.0013284856140613555;0.5964;0.0013067649602890015;0.6115;25.0;25.0;18.75;31.25;12.5;31.25;28.12;31.25;54.69;53.12;67.19;73.44;75.0;65.62;0.0;25.0;25.0;18.75;37.5;15.62;34.38;28.12;32.81;56.25;54.69;70.31;75.0;76.56;75.0;0.0
15;0.00133142329454422;0.5936;0.0013065764009952544;0.611;12.5;25.0;18.75;31.25;12.5;31.25;28.12;31.25;54.69;53.12;67.19;73.44;75.0;65.62;0.0;25.0;25.0;18.75;31.25;15.62;34.38;28.12;32.81;56.25;54.69;68.75;75.0;76.56;75.0;0.0
16;0.001328822535276413;0.593;0.0013059881031513214;0.6125;12.5;25.0;18.75;31.25;12.5;31.25;28.12;31.25;54.69;53.12;67.19;73.44;75.0;65.62;0.0;25.0;25.0;18.75;31.25;15.62;34.38;28.12;32.81;56.25;54.69;68.75;75.0;76.56;75.0;0.0
17;0.0013295809209346772;0.5946;0.0013061105608940125;0.6085;12.5;25.0;18.75;31.25;12.5;31.25;28.12;31.25;54.69;53.12;67.19;73.44;75.0;65.62;0.0;25.0;25.0;18.75;31.25;15.62;34.38;28.12;32.81;56.25;54.69;68.75;75.0;76.56;75.0;0.0
18;0.0013269951343536377;0.5983;0.0013064604997634888;0.6095;12.5;25.0;18.75;31.25;12.5;31.25;28.12;31.25;54.69;53.12;67.19;73.44;75.0;65.62;0.0;25.0;25.0;18.75;31.25;15.62;34.38;28.12;32.81;56.25;54.69;68.75;75.0;76.56;75.0;0.0
19;0.0013280060708522796;0.594;0.0013062201738357545;0.6105;12.5;25.0;18.75;31.25;12.5;31.25;28.12;31.25;54.69;53.12;67.19;73.44;75.0;65.62;0.0;25.0;25.0;18.75;31.25;15.62;34.38;28.12;32.81;56.25;54.69;68.75;75.0;76.56;75.0;0.0
