;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.08369009883105755;0.5874;0.0800371951162815;0.6305;25.0;37.5;18.75;25.0;9.38;18.75;15.62;6.25;4.69;4.69;3.12;1.56;1.56;3.12;0.0;50.0;62.5;50.0;50.0;40.62;56.25;53.12;37.5;46.88;42.19;35.94;43.75;39.06;53.12;50.0
1;0.07889215477705001;0.6484;0.0789211682677269;0.6505;37.5;62.5;31.25;31.25;15.62;25.0;21.88;7.81;7.81;6.25;4.69;4.69;4.69;9.38;0.0;62.5;75.0;56.25;50.0;43.75;53.12;53.12;31.25;31.25;32.81;21.88;28.12;29.69;53.12;0.0
2;0.07346454483568668;0.6911;0.06422251917421817;0.758;37.5;62.5;37.5;37.5;18.75;28.12;21.88;6.25;6.25;6.25;4.69;6.25;6.25;12.5;0.0;62.5;75.0;56.25;56.25;40.62;53.12;53.12;25.0;20.31;25.0;17.19;25.0;25.0;46.88;0.0
3;0.070278139808774;0.7176;0.06309243677556514;0.763;50.0;62.5;37.5;37.5;18.75;28.12;25.0;7.81;6.25;7.81;6.25;7.81;9.38;15.62;0.0;62.5;75.0;56.25;50.0;37.5;53.12;53.12;21.88;15.62;20.31;15.62;21.88;25.0;40.62;0.0
4;0.06871987611502409;0.7258;0.06289521953463555;0.762;50.0;62.5;37.5;43.75;21.88;31.25;28.12;9.38;6.25;9.38;6.25;9.38;10.94;15.62;0.0;62.5;75.0;56.25;50.0;37.5;53.12;53.12;21.88;12.5;20.31;15.62;21.88;25.0;34.38;0.0
5;0.06667991866916419;0.7331;0.061352756015956404;0.7725;50.0;62.5;37.5;43.75;21.88;34.38;31.25;9.38;6.25;9.38;7.81;9.38;10.94;15.62;0.0;62.5;62.5;56.25;50.0;37.5;53.12;56.25;21.88;10.94;20.31;15.62;20.31;25.0;31.25;0.0
6;0.0648351417541504;0.7445;0.056756129913032055;0.79;50.0;62.5;43.75;43.75;21.88;37.5;34.38;10.94;6.25;10.94;7.81;9.38;12.5;15.62;0.0;62.5;62.5;50.0;43.75;37.5;53.12;56.25;21.88;10.94;20.31;15.62;20.31;23.44;28.12;0.0
7;0.06417406248152256;0.7512;0.056622871227562425;0.7845;50.0;62.5;43.75;43.75;21.88;40.62;37.5;10.94;6.25;10.94;9.38;10.94;14.06;15.62;0.0;62.5;62.5;50.0;43.75;34.38;53.12;56.25;21.88;9.38;20.31;15.62;18.75;23.44;25.0;0.0
8;0.06291973185688257;0.7574;0.055370785892009736;0.782;50.0;62.5;43.75;43.75;21.88;40.62;37.5;12.5;6.25;10.94;9.38;9.38;12.5;12.5;0.0;62.5;62.5;50.0;43.75;34.38;53.12;56.25;21.88;9.38;20.31;15.62;17.19;21.88;21.88;0.0
9;0.0622015524238348;0.7621;0.057072793267667295;0.7965;62.5;50.0;43.75;43.75;25.0;43.75;40.62;12.5;6.25;12.5;10.94;10.94;14.06;12.5;0.0;62.5;62.5;50.0;43.75;34.38;53.12;56.25;21.88;7.81;20.31;15.62;15.62;20.31;18.75;0.0
10;0.06176999012082815;0.7644;0.057798149213194844;0.7785;62.5;62.5;43.75;43.75;25.0;43.75;40.62;14.06;6.25;12.5;9.38;9.38;14.06;12.5;0.0;62.5;62.5;50.0;43.75;34.38;56.25;56.25;21.88;7.81;20.31;15.62;14.06;18.75;18.75;0.0
11;0.06029886780381203;0.7767;0.05542034475505352;0.808;62.5;62.5;43.75;43.75;28.12;43.75;43.75;14.06;6.25;14.06;10.94;9.38;14.06;12.5;0.0;62.5;62.5;50.0;43.75;34.38;53.12;56.25;21.88;7.81;20.31;15.62;12.5;17.19;15.62;0.0
12;0.06067134092152119;0.7753;0.055655392445623876;0.7935;62.5;50.0;43.75;43.75;28.12;46.88;43.75;14.06;6.25;14.06;10.94;7.81;14.06;9.38;0.0;62.5;50.0;50.0;43.75;34.38;56.25;56.25;21.88;7.81;20.31;14.06;10.94;15.62;15.62;0.0
13;0.058956688538193705;0.7803;0.05395983152091503;0.8205;62.5;50.0;43.75;43.75;28.12;46.88;43.75;15.62;6.25;14.06;10.94;7.81;14.06;9.38;0.0;62.5;50.0;56.25;43.75;34.38;56.25;56.25;21.88;7.81;20.31;14.06;9.38;15.62;15.62;0.0
