;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.01495178409576416;0.26342;0.012798676562309265;0.3814;25.0;37.5;18.75;31.25;12.5;25.0;28.12;18.75;34.38;34.38;54.69;51.56;40.62;12.5;20.0;62.5;62.5;37.5;50.0;34.38;43.75;46.88;37.5;54.69;53.12;68.75;71.88;67.19;43.75;20.0
1;0.012405815637111664;0.3964;0.011212788331508636;0.4763;37.5;50.0;25.0;37.5;18.75;31.25;34.38;21.88;37.5;37.5;56.25;53.12;40.62;18.75;30.0;62.5;62.5;37.5;50.0;34.38;50.0;53.12;40.62;54.69;53.12;67.19;68.75;62.5;43.75;30.0
2;0.011032551605701447;0.4845;0.010634342634677886;0.5004;50.0;50.0;31.25;43.75;21.88;37.5;43.75;25.0;42.19;42.19;57.81;54.69;42.19;25.0;40.0;75.0;62.5;43.75;50.0;37.5;53.12;56.25;43.75;56.25;54.69;67.19;67.19;59.38;46.88;40.0
3;0.00995701638698578;0.54598;0.010598873805999756;0.5339;62.5;50.0;31.25;43.75;25.0;40.62;46.88;26.56;43.75;43.75;56.25;54.69;42.19;31.25;40.0;75.0;62.5;43.75;50.0;40.62;56.25;59.38;45.31;57.81;54.69;65.62;65.62;57.81;50.0;40.0
4;0.009052800543308257;0.59258;0.008459887653589248;0.6204;62.5;62.5;31.25;43.75;28.12;43.75;50.0;29.69;46.88;45.31;57.81;53.12;42.19;34.38;40.0;75.0;62.5;43.75;50.0;43.75;56.25;59.38;46.88;59.38;56.25;65.62;64.06;56.25;50.0;50.0
5;0.008171849292516709;0.6343;0.0073825823068618774;0.6674;62.5;62.5;31.25;43.75;28.12;43.75;50.0;29.69;46.88;45.31;56.25;53.12;40.62;31.25;50.0;75.0;62.5;43.75;50.0;40.62;56.25;59.38;45.31;59.38;54.69;64.06;62.5;54.69;46.88;50.0
6;0.00796390236735344;0.64492;0.0072712909996509555;0.6737;62.5;62.5;31.25;43.75;28.12;43.75;50.0;31.25;46.88;45.31;56.25;51.56;40.62;31.25;50.0;75.0;62.5;43.75;50.0;40.62;53.12;59.38;45.31;57.81;54.69;62.5;60.94;51.56;43.75;50.0
7;0.007873842310905457;0.65042;0.007228519701957703;0.6729;50.0;62.5;31.25;43.75;28.12;43.75;50.0;31.25;46.88;45.31;54.69;51.56;39.06;31.25;50.0;75.0;62.5;43.75;50.0;37.5;53.12;56.25;43.75;57.81;53.12;60.94;59.38;50.0;40.62;50.0
8;0.0077294827723503115;0.6568;0.007106910449266434;0.682;50.0;50.0;31.25;43.75;28.12;43.75;50.0;31.25;46.88;43.75;54.69;50.0;37.5;28.12;50.0;75.0;62.5;37.5;43.75;37.5;50.0;56.25;42.19;56.25;51.56;60.94;59.38;48.44;37.5;50.0
9;0.007612065281867981;0.661;0.0070190540492534636;0.6834;50.0;50.0;31.25;43.75;28.12;43.75;50.0;31.25;46.88;43.75;54.69;50.0;37.5;28.12;50.0;75.0;62.5;37.5;43.75;34.38;50.0;56.25;42.19;56.25;51.56;59.38;57.81;46.88;37.5;50.0
