;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-7;training_accuracy;training_loss
0;9.38;10.0;25.0;25.0;15.62;31.25;31.25;18.75;32.81;37.5;31.25;42.19;31.25;18.75;25.0;0.2887;0.014535771977901459;59.38;10.0;25.0;37.5;25.0;46.88;50.0;35.94;56.25;50.0;54.69;65.62;71.88;68.75;31.25;0.22034;0.016250643661022187
1;18.75;30.0;25.0;37.5;21.88;37.5;37.5;21.88;37.5;50.0;37.5;42.19;34.38;18.75;31.25;0.4362;0.011919626438617706;53.12;30.0;25.0;43.75;34.38;56.25;53.12;40.62;57.81;62.5;56.25;62.5;65.62;59.38;37.5;0.36802;0.013077410056591033
2;21.88;30.0;25.0;37.5;28.12;43.75;40.62;25.0;39.06;50.0;39.06;40.62;32.81;17.19;31.25;0.5052;0.010655081415176392;50.0;30.0;25.0;50.0;37.5;56.25;56.25;43.75;59.38;62.5;59.38;60.94;62.5;50.0;37.5;0.45288;0.011614171388149262
3;25.0;30.0;25.0;43.75;31.25;43.75;46.88;28.12;42.19;62.5;42.19;40.62;32.81;15.62;37.5;0.5618;0.00962928671836853;46.88;30.0;25.0;50.0;43.75;59.38;59.38;46.88;60.94;62.5;60.94;59.38;59.38;42.19;43.75;0.51114;0.010650141623020172
4;25.0;40.0;25.0;43.75;34.38;46.88;46.88;31.25;46.88;62.5;45.31;40.62;32.81;17.19;37.5;0.5856;0.009088449329137802;43.75;40.0;25.0;50.0;43.75;59.38;59.38;48.44;64.06;62.5;62.5;57.81;56.25;35.94;43.75;0.54912;0.009914883249998093
5;28.12;40.0;25.0;50.0;34.38;50.0;50.0;32.81;48.44;62.5;48.44;40.62;32.81;17.19;37.5;0.6044;0.008783486133813858;43.75;50.0;25.0;50.0;46.88;59.38;59.38;50.0;64.06;62.5;64.06;56.25;53.12;29.69;43.75;0.57824;0.009313204864263534
6;28.12;50.0;25.0;50.0;37.5;50.0;50.0;35.94;50.0;62.5;50.0;40.62;32.81;17.19;37.5;0.625;0.008264913421869278;43.75;50.0;37.5;50.0;46.88;59.38;59.38;51.56;65.62;62.5;65.62;54.69;51.56;25.0;43.75;0.59674;0.008907317860126496
7;28.12;50.0;25.0;50.0;40.62;53.12;53.12;35.94;53.12;62.5;53.12;42.19;32.81;15.62;37.5;0.6354;0.007995443797111512;40.62;50.0;37.5;50.0;50.0;59.38;59.38;53.12;65.62;62.5;67.19;54.69;48.44;23.44;37.5;0.61588;0.00851595752477646
8;31.25;50.0;25.0;50.0;40.62;53.12;53.12;39.06;53.12;62.5;54.69;42.19;31.25;15.62;31.25;0.646;0.007934943556785583;40.62;50.0;37.5;50.0;50.0;59.38;59.38;54.69;65.62;62.5;67.19;54.69;46.88;20.31;37.5;0.63476;0.008148598425388336
9;31.25;50.0;37.5;50.0;40.62;53.12;53.12;40.62;56.25;62.5;56.25;43.75;31.25;15.62;31.25;0.6626;0.00749236536026001;40.62;50.0;37.5;50.0;50.0;59.38;59.38;56.25;65.62;62.5;68.75;53.12;43.75;18.75;37.5;0.64734;0.007891965936422348
10;31.25;50.0;37.5;50.0;43.75;53.12;53.12;42.19;56.25;62.5;57.81;43.75;31.25;15.62;37.5;0.6667;0.00736739946603775;40.62;50.0;37.5;50.0;50.0;59.38;59.38;56.25;67.19;62.5;68.75;53.12;42.19;17.19;37.5;0.66234;0.0075885870909690855
11;31.25;50.0;37.5;50.0;43.75;53.12;53.12;43.75;57.81;62.5;59.38;43.75;31.25;15.62;37.5;0.6841;0.007061926740407944;37.5;50.0;37.5;50.0;53.12;59.38;59.38;57.81;67.19;62.5;70.31;53.12;40.62;17.19;43.75;0.67602;0.00732548564195633
12;31.25;50.0;37.5;50.0;43.75;53.12;53.12;45.31;57.81;62.5;60.94;45.31;31.25;14.06;37.5;0.6881;0.007018738067150116;37.5;50.0;37.5;50.0;53.12;59.38;59.38;57.81;67.19;62.5;70.31;53.12;39.06;15.62;43.75;0.68746;0.007062837747335434
13;31.25;50.0;37.5;50.0;43.75;53.12;56.25;45.31;59.38;62.5;62.5;45.31;29.69;14.06;37.5;0.7044;0.006702744197845459;37.5;50.0;37.5;50.0;53.12;59.38;59.38;59.38;67.19;62.5;71.88;53.12;39.06;15.62;37.5;0.69612;0.006886793595552445
14;31.25;50.0;37.5;50.0;43.75;56.25;56.25;46.88;59.38;62.5;64.06;45.31;29.69;14.06;37.5;0.7102;0.006527349770069122;37.5;50.0;37.5;50.0;53.12;59.38;59.38;59.38;67.19;62.5;71.88;53.12;37.5;14.06;37.5;0.70816;0.006683055825233459
15;31.25;50.0;37.5;50.0;43.75;56.25;56.25;48.44;60.94;62.5;64.06;46.88;29.69;14.06;37.5;0.7182;0.0063621375799179074;37.5;50.0;37.5;50.0;53.12;59.38;59.38;60.94;67.19;62.5;73.44;53.12;35.94;14.06;37.5;0.71528;0.006489694353342056
16;31.25;50.0;37.5;50.0;43.75;56.25;56.25;48.44;60.94;62.5;65.62;46.88;29.69;14.06;37.5;0.7315;0.006160749047994614;37.5;60.0;37.5;50.0;50.0;59.38;59.38;60.94;67.19;62.5;73.44;51.56;35.94;14.06;37.5;0.72498;0.006312857105731964
17;31.25;50.0;37.5;50.0;43.75;56.25;56.25;48.44;60.94;62.5;65.62;46.88;29.69;14.06;37.5;0.7416;0.005925751495361328;37.5;60.0;37.5;50.0;50.0;59.38;62.5;60.94;67.19;62.5;73.44;51.56;34.38;14.06;37.5;0.73052;0.0061794353783130645
18;31.25;50.0;37.5;50.0;46.88;56.25;59.38;50.0;62.5;62.5;67.19;46.88;29.69;14.06;37.5;0.7424;0.005887691760063172;37.5;60.0;37.5;50.0;50.0;59.38;62.5;60.94;67.19;62.5;73.44;51.56;34.38;14.06;37.5;0.7384;0.006032346844673157
19;31.25;60.0;37.5;50.0;46.88;53.12;59.38;50.0;62.5;62.5;67.19;46.88;29.69;14.06;37.5;0.7435;0.005912924367189407;34.38;60.0;37.5;50.0;50.0;59.38;62.5;60.94;67.19;50.0;75.0;51.56;32.81;14.06;37.5;0.74634;0.005839682646393776
