;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-7;training_accuracy;training_loss
0;12.5;20.0;25.0;25.0;12.5;28.12;28.12;17.19;29.69;37.5;29.69;42.19;35.94;26.56;18.75;0.4031;0.19945828201770782;50.0;30.0;62.5;56.25;37.5;56.25;53.12;42.19;54.69;62.5;54.69;62.5;62.5;60.94;50.0;0.25848;0.24419657180070878
1;21.88;30.0;37.5;31.25;15.62;34.38;37.5;20.31;35.94;50.0;34.38;45.31;35.94;29.69;25.0;0.4971;0.171293511646986;53.12;40.0;75.0;50.0;37.5;62.5;56.25;45.31;56.25;75.0;54.69;60.94;57.81;56.25;43.75;0.37424;0.2129662686932087
2;28.12;40.0;50.0;37.5;21.88;40.62;40.62;23.44;40.62;50.0;35.94;48.44;35.94;31.25;31.25;0.5567;0.1568013925164938;53.12;40.0;75.0;50.0;37.5;62.5;59.38;45.31;59.38;75.0;53.12;60.94;54.69;54.69;43.75;0.4447;0.19384568331718444
3;34.38;50.0;50.0;37.5;25.0;43.75;43.75;26.56;45.31;62.5;37.5;50.0;35.94;31.25;37.5;0.593;0.1418040442198515;56.25;50.0;75.0;50.0;37.5;62.5;62.5;46.88;60.94;75.0;53.12;60.94;51.56;51.56;50.0;0.50204;0.1773303059756756
4;37.5;50.0;62.5;43.75;28.12;46.88;46.88;28.12;48.44;62.5;40.62;51.56;35.94;32.81;37.5;0.6316;0.13327023005485536;56.25;50.0;75.0;50.0;40.62;62.5;62.5;48.44;62.5;75.0;53.12;60.94;50.0;51.56;50.0;0.54126;0.1653452665477991
5;43.75;50.0;62.5;43.75;28.12;46.88;50.0;29.69;51.56;62.5;42.19;51.56;35.94;34.38;43.75;0.6568;0.1238953507721424;59.38;50.0;75.0;50.0;40.62;59.38;62.5;50.0;64.06;75.0;54.69;60.94;48.44;51.56;50.0;0.5666;0.1556463134610653
6;46.88;50.0;62.5;43.75;31.25;50.0;53.12;31.25;53.12;62.5;45.31;51.56;35.94;35.94;43.75;0.6757;0.11952208281457424;59.38;50.0;75.0;50.0;40.62;59.38;62.5;50.0;65.62;75.0;56.25;60.94;46.88;50.0;56.25;0.5942;0.1485102747529745
7;46.88;50.0;62.5;50.0;31.25;50.0;53.12;34.38;54.69;62.5;46.88;51.56;35.94;35.94;43.75;0.6954;0.11280971177816392;59.38;60.0;75.0;50.0;40.62;56.25;62.5;51.56;65.62;75.0;56.25;60.94;46.88;50.0;56.25;0.61506;0.14274806276977062
8;50.0;60.0;62.5;50.0;34.38;50.0;53.12;35.94;56.25;75.0;46.88;51.56;35.94;35.94;50.0;0.7008;0.1090974247097969;59.38;60.0;75.0;50.0;40.62;56.25;62.5;53.12;67.19;75.0;57.81;59.38;45.31;50.0;56.25;0.63216;0.13699679053604602
9;50.0;60.0;62.5;50.0;34.38;50.0;53.12;37.5;57.81;75.0;48.44;51.56;35.94;37.5;50.0;0.7174;0.10534019803702831;62.5;60.0;75.0;50.0;40.62;56.25;62.5;53.12;67.19;75.0;57.81;59.38;45.31;50.0;56.25;0.64754;0.13215169255018233
