;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.13463285398960115;0.03914;0.12354498059749604;0.0676;25.0;37.5;25.0;31.25;15.62;21.88;21.88;10.94;14.06;14.06;14.06;7.81;6.25;12.5;3.0;50.0;50.0;37.5;43.75;43.75;59.38;56.25;42.19;56.25;56.25;60.94;60.94;51.56;53.12;9.0
1;0.12211657338142395;0.08016;0.11559922761917114;0.1115;37.5;50.0;31.25;37.5;21.88;34.38;31.25;15.62;21.88;17.19;15.62;9.38;7.81;15.62;6.0;50.0;62.5;43.75;50.0;50.0;62.5;59.38;43.75;57.81;53.12;48.44;39.06;31.25;43.75;14.0
2;0.11688835120677948;0.10636;0.10950536198616027;0.1413;50.0;62.5;37.5;43.75;25.0;40.62;37.5;20.31;28.12;21.88;17.19;10.94;9.38;21.88;8.0;62.5;62.5;43.75;56.25;46.88;62.5;59.38;45.31;59.38;51.56;37.5;28.12;21.88;43.75;17.0
3;0.11334243665218353;0.12382;0.10897258288860322;0.1395;50.0;62.5;37.5;43.75;28.12;43.75;43.75;23.44;32.81;26.56;17.19;10.94;9.38;21.88;8.0;62.5;62.5;50.0;56.25;46.88;59.38;59.38;46.88;59.38;50.0;31.25;20.31;20.31;40.62;18.0
4;0.11020762285232544;0.13748;0.10265071449279785;0.1781;50.0;62.5;43.75;50.0;31.25;46.88;46.88;26.56;37.5;29.69;17.19;10.94;10.94;25.0;9.0;62.5;62.5;50.0;56.25;46.88;59.38;56.25;46.88;59.38;48.44;26.56;15.62;18.75;37.5;19.0
5;0.10765241585254669;0.15108;0.10013904755115509;0.1943;50.0;62.5;43.75;50.0;31.25;46.88;46.88;29.69;40.62;32.81;17.19;10.94;10.94;25.0;10.0;62.5;62.5;50.0;56.25;46.88;59.38;56.25;50.0;59.38;50.0;23.44;14.06;18.75;37.5;19.0
6;0.10520258904457093;0.16812;0.09864083874225617;0.2054;50.0;62.5;43.75;50.0;34.38;50.0;50.0;31.25;43.75;34.38;17.19;10.94;12.5;28.12;10.0;62.5;62.5;50.0;56.25;43.75;59.38;56.25;50.0;59.38;50.0;21.88;12.5;18.75;37.5;20.0
7;0.10220672352313995;0.18228;0.09546459724903107;0.2214;62.5;62.5;50.0;56.25;34.38;50.0;50.0;34.38;46.88;35.94;18.75;10.94;14.06;31.25;11.0;62.5;62.5;50.0;62.5;43.75;56.25;53.12;51.56;60.94;51.56;21.88;12.5;18.75;37.5;20.0
8;0.10004664214134217;0.19368;0.09214624671936035;0.2424;62.5;62.5;50.0;56.25;34.38;50.0;50.0;35.94;48.44;39.06;18.75;9.38;14.06;31.25;12.0;62.5;62.5;50.0;62.5;43.75;56.25;53.12;53.12;60.94;51.56;21.88;10.94;18.75;37.5;20.0
9;0.09854158671379089;0.20572;0.09040994384288788;0.2545;62.5;62.5;50.0;56.25;34.38;50.0;53.12;39.06;50.0;40.62;18.75;9.38;15.62;31.25;12.0;62.5;62.5;50.0;62.5;40.62;56.25;53.12;53.12;62.5;53.12;20.31;10.94;18.75;37.5;20.0
