;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.008773278360366822;0.03652;0.00851536283493042;0.0551;25.0;25.0;31.25;31.25;15.62;28.12;31.25;14.06;23.44;21.88;34.38;25.0;10.94;12.5;3.0;25.0;25.0;37.5;37.5;31.25;43.75;46.88;28.12;45.31;45.31;60.94;59.38;45.31;56.25;11.0
1;0.00803766746044159;0.07232;0.007797473359107971;0.0895;25.0;37.5;37.5;37.5;21.88;34.38;40.62;20.31;28.12;25.0;31.25;23.44;10.94;18.75;4.0;37.5;37.5;43.75;43.75;34.38;50.0;53.12;34.38;48.44;46.88;56.25;54.69;34.38;46.88;6.0
2;0.0075322256565094;0.099;0.007408508777618408;0.1166;37.5;37.5;37.5;43.75;25.0;40.62;43.75;25.0;34.38;31.25;35.94;26.56;12.5;21.88;5.0;37.5;37.5;43.75;50.0;37.5;56.25;56.25;37.5;50.0;48.44;53.12;50.0;28.12;40.62;6.0
3;0.007181758198738098;0.12426;0.007119211459159851;0.1379;37.5;37.5;37.5;43.75;31.25;46.88;50.0;28.12;37.5;35.94;39.06;29.69;14.06;25.0;6.0;37.5;37.5;43.75;50.0;40.62;56.25;56.25;40.62;53.12;51.56;53.12;48.44;25.0;37.5;7.0
4;0.006950893831253052;0.14338;0.0068642156600952145;0.1618;37.5;37.5;43.75;43.75;31.25;46.88;50.0;29.69;42.19;39.06;40.62;31.25;14.06;25.0;7.0;37.5;50.0;50.0;50.0;40.62;56.25;59.38;42.19;54.69;53.12;54.69;48.44;21.88;34.38;8.0
5;0.006765921626091003;0.15806;0.006755418348312378;0.1781;37.5;37.5;43.75;43.75;34.38;50.0;53.12;31.25;45.31;43.75;42.19;32.81;14.06;25.0;7.0;37.5;50.0;50.0;50.0;40.62;56.25;59.38;43.75;56.25;54.69;54.69;46.88;18.75;31.25;8.0
6;0.006595836057662964;0.17306;0.00647001519203186;0.1951;37.5;37.5;43.75;43.75;34.38;50.0;56.25;34.38;48.44;45.31;43.75;32.81;14.06;25.0;7.0;37.5;50.0;50.0;50.0;40.62;56.25;59.38;45.31;57.81;56.25;54.69;45.31;17.19;31.25;8.0
7;0.006465967202186585;0.18772;0.006313742685317993;0.2183;37.5;37.5;43.75;43.75;34.38;50.0;56.25;34.38;50.0;48.44;45.31;34.38;14.06;28.12;8.0;37.5;50.0;50.0;50.0;40.62;56.25;59.38;46.88;59.38;57.81;54.69;45.31;15.62;31.25;9.0
8;0.006330576267242431;0.2003;0.006282956981658936;0.2201;37.5;50.0;43.75;43.75;34.38;50.0;56.25;35.94;51.56;50.0;46.88;35.94;14.06;28.12;8.0;37.5;50.0;50.0;50.0;40.62;56.25;59.38;48.44;60.94;59.38;54.69;45.31;15.62;31.25;9.0
9;0.006219118685722351;0.21196;0.00611523871421814;0.233;37.5;50.0;43.75;43.75;34.38;53.12;56.25;37.5;53.12;51.56;48.44;35.94;14.06;28.12;8.0;50.0;50.0;50.0;50.0;40.62;56.25;59.38;48.44;60.94;60.94;54.69;45.31;14.06;31.25;10.0
10;0.006101343402862548;0.22258;0.005907353401184082;0.251;37.5;50.0;43.75;43.75;37.5;53.12;56.25;39.06;54.69;54.69;50.0;37.5;14.06;28.12;9.0;50.0;50.0;50.0;50.0;40.62;56.25;59.38;48.44;62.5;60.94;56.25;45.31;14.06;31.25;10.0
