;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_classifier-2;train-saturation_classifier-6
0;0.5520557721185684;0.02906;0.5233107285976409;0.045;25.0;37.5;25.0;37.5;15.62;25.0;31.25;17.19;34.38;32.81;46.88;45.31;40.62;12.5;2.0;62.5;62.5;43.75;62.5;43.75;50.0;50.0;40.62;56.25;53.12;65.62;68.75;70.31;50.0;9.0
1;0.5232314109373093;0.04992;0.4902285732030868;0.0804;37.5;62.5;31.25;43.75;21.88;34.38;40.62;18.75;39.06;37.5;50.0;45.31;43.75;21.88;5.0;62.5;75.0;56.25;68.75;46.88;53.12;56.25;42.19;57.81;54.69;64.06;65.62;67.19;50.0;12.0
2;0.501374678697586;0.07018;0.4653706298351288;0.105;37.5;75.0;43.75;50.0;28.12;40.62;46.88;23.44;42.19;39.06;50.0;43.75;42.19;25.0;6.0;62.5;75.0;62.5;68.75;50.0;53.12;59.38;42.19;57.81;56.25;62.5;62.5;62.5;50.0;14.0
3;0.4858669699478149;0.08832;0.45415807232856753;0.1324;37.5;75.0;50.0;56.25;31.25;43.75;50.0;25.0;45.31;42.19;48.44;43.75;42.19;31.25;8.0;62.5;75.0;62.5;68.75;50.0;56.25;62.5;43.75;59.38;56.25;60.94;59.38;60.94;53.12;15.0
4;0.47246161898612976;0.10406;0.4340600003004074;0.1462;50.0;75.0;50.0;56.25;34.38;46.88;53.12;28.12;46.88;43.75;50.0;45.31;42.19;37.5;9.0;62.5;75.0;62.5;68.75;53.12;56.25;62.5;43.75;60.94;56.25;59.38;57.81;57.81;53.12;16.0
5;0.46130505934238436;0.11658;0.4162280356884003;0.1742;50.0;75.0;56.25;56.25;37.5;50.0;56.25;29.69;48.44;45.31;50.0;43.75;42.19;37.5;10.0;75.0;75.0;62.5;62.5;53.12;56.25;62.5;45.31;60.94;56.25;59.38;56.25;56.25;53.12;17.0
6;0.4527497625923157;0.12898;0.40597332096099853;0.1891;50.0;75.0;56.25;56.25;37.5;50.0;59.38;31.25;50.0;46.88;50.0;43.75;42.19;40.62;11.0;75.0;75.0;62.5;62.5;53.12;59.38;62.5;45.31;62.5;57.81;57.81;54.69;54.69;56.25;17.0
7;0.44464765130996703;0.14376;0.4001098396539688;0.1964;50.0;75.0;56.25;56.25;40.62;53.12;59.38;32.81;51.56;48.44;50.0;42.19;42.19;43.75;11.0;75.0;75.0;62.5;56.25;53.12;59.38;65.62;46.88;62.5;59.38;57.81;53.12;54.69;56.25;18.0
8;0.4364794338846207;0.15094;0.3932928595542908;0.2104;62.5;62.5;56.25;56.25;40.62;53.12;62.5;34.38;53.12;50.0;51.56;42.19;42.19;43.75;12.0;75.0;75.0;68.75;56.25;50.0;59.38;65.62;48.44;62.5;59.38;57.81;51.56;53.12;56.25;18.0
9;0.4301484384965897;0.1625;0.38354682223796843;0.2241;62.5;62.5;56.25;56.25;40.62;53.12;62.5;35.94;54.69;51.56;51.56;42.19;42.19;43.75;12.0;75.0;75.0;68.75;56.25;50.0;59.38;65.62;48.44;64.06;60.94;56.25;51.56;51.56;56.25;19.0
10;0.42344273218870165;0.1691;0.36939373333454134;0.254;62.5;62.5;62.5;56.25;40.62;56.25;62.5;37.5;54.69;53.12;51.56;42.19;42.19;43.75;12.0;75.0;75.0;68.75;56.25;50.0;59.38;65.62;50.0;64.06;60.94;56.25;50.0;51.56;56.25;19.0
11;0.41801177706480025;0.1779;0.3649462045669556;0.252;62.5;62.5;62.5;56.25;40.62;56.25;62.5;39.06;56.25;54.69;51.56;42.19;42.19;43.75;13.0;75.0;62.5;68.75;56.25;50.0;59.38;65.62;50.0;64.06;62.5;56.25;50.0;50.0;56.25;19.0
12;0.4129578543829918;0.18688;0.36426479004621504;0.2535;62.5;62.5;62.5;56.25;40.62;56.25;62.5;39.06;57.81;56.25;51.56;42.19;42.19;43.75;13.0;75.0;62.5;68.75;56.25;46.88;59.38;65.62;51.56;65.62;62.5;56.25;48.44;50.0;53.12;20.0
13;0.4088055120611191;0.19502;0.3563156024813652;0.2711;62.5;62.5;62.5;56.25;40.62;56.25;65.62;40.62;59.38;56.25;51.56;40.62;42.19;46.88;13.0;75.0;62.5;68.75;56.25;46.88;59.38;65.62;51.56;65.62;62.5;56.25;46.88;50.0;53.12;20.0
14;0.4041627687835693;0.19946;0.35188960168361666;0.2747;62.5;62.5;62.5;56.25;40.62;56.25;65.62;42.19;59.38;57.81;53.12;40.62;42.19;46.88;13.0;75.0;62.5;62.5;56.25;46.88;59.38;65.62;53.12;67.19;64.06;56.25;46.88;48.44;53.12;20.0
15;0.40014540592432024;0.21052;0.3488724781036377;0.2884;62.5;62.5;62.5;56.25;40.62;56.25;65.62;42.19;60.94;59.38;53.12;40.62;42.19;46.88;13.0;75.0;62.5;62.5;56.25;46.88;59.38;65.62;53.12;67.19;64.06;56.25;45.31;48.44;53.12;20.0
